coroner_concerns,coroner_name,reff_id,report_sent_to
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the inquest, the evidence revealed matters giving rise to concern. In my opinion, there is a risk that future deaths will occur unless action is taken. In the circumstances, it is my statutory duty to report to you.<br> <br>The <strong>MATTERS OF CONCERN </strong>are as follows.<br> <br>On 28 March 2023, Igor refused to get out of the shower [REDACTED]. Hostel staff took various actions, including calling the crisis team. The crisis team decided that Igor did not need daily visits, but told staff to call back if there was any change or further concern.<br> <br>1.      On 14 April 2023, staff found Igor outside, drowsy and incoherent, cold and wet, but did not re-contact the crisis team.<br> <br>2.      Igor was a vulnerable young man, recently homeless, but the last time that any member of staff had a meaningful conversation with him was on 20 April 2023, ten days before he died.<br> <br>3.      The Depaul executive director of services recognised at inquest that there should have been more staff conversation with Igor throughout his time at the London Youth Hub.<br> <br>4.      She also acknowledged that greater attempts should have been made by staff to engage with partner agencies regarding Igor’s care and welfare.<br> <br>5.      Igor was only 18 years old and his father did visit him, but the hostel did not have any contact details for his family.<br> <br>I heard evidence at inquest that Depaul conducted an internal investigation into Igor’s death. The fact of the report was not disclosed to my office in advance of the inquest as it should have been, and I did not see it until it was mentioned in evidence at the inquest.<br> <br>However, I have read the report since. It went into some detail and identified that, when Igor was found at 6.25pm, no staff member had undertaken a welfare check of him since half past midnight, whereas there should have been at least one per shift. I was told at inquest that staff were disciplined about this after Igor’s death.<br> <br>At the time of Igor’s death, there was no national policy on when to increase welfare checks. I was told that there is now national guidance.<br> <br>The Depaul investigation also identified that staff at the London Youth Hub had not attended self harm and suicide awareness training. I heard that training has now increased and is mandatory.<br> <br>The report described the culture at the London Youth Hub as chaotic.</td>",Coroner name: Mary Hassell,Ref: 2023-0445,This report is being sent to: Depaul UK
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the inquest, the evidence revealed matters giving rise to concern. In my opinion, there is a risk that future deaths will occur unless action is taken. In the circumstances, it is my statutory duty to report to you.<br><br>The <strong>MATTERS OF CONCERN</strong> are as follows:<br>1. The notes made by the SPoE Nurse for use during discussion at the screening MDT meeting did not include any reference to the report of a recent suicide attempt and the Court was not satisfied that the risk of suicide had been identified or recognised by the SPoE Nurse<br> <br>2. The Court heard that the practice at the screening MDT meeting was for the SPoE Nurse to read out the contents of the referral to the Psychiatrist who would then advise on next steps. There was no evidence to show that any form of meaningful multi-team discussion took place at the screening MDT meeting<br> <br>3. There was no direct contact between the mental health team and the Deceased (either by telephone or in person) before the decision to reject the referral was made<br> <br>4. The Consultant Psychiatrist present at the MDT meeting has no recollection of discussing the referral and whilst the evidence was that a letter to the GP practice explaining the reason for rejecting the referral was generated there is no record of this letter on the Trust’s electronic systems or having been received by the GP practice<br><br>5. The evidence was that there is no member of staff allocated to deal with referrals when the SPoE Nurse is absent from work which means that during their absence, urgent referrals are not being reviewed.<br> <br>6. There is currently no Standard Operating Procedure on how referrals into the SPoE Older Adults should be managed<br> <br>7. There is currently no system by which the management of referrals into the SPoE and related decision-making are audited. As such there is a risk that poor quality decision-making is going unchecked.<p class=""MsoListParagraph"" style=""margin-top:3.45pt;margin-right:22.9pt;
margin-bottom:0cm;margin-left:89.25pt;margin-bottom:.0001pt;text-indent:-17.95pt;
line-height:105%;mso-list:l0 level2 lfo1;tab-stops:89.05pt""> </p></td>",Coroner name: Catherine McKenna,Ref: 2023-0470,This report is being sent to: Pennine Care NHS Foundation Trust
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br> <br>The <strong>MATTERS OF CONCERN </strong>are as follows:<br>(brief summary of matters of concern)<br> <br>ACCT documents<br>In evidence at the inquest ACCT assessors and case managers accepted that they had not complied with various mandatory actions required under PSI 64/2011: Managing Prisoner Safety in Custody. They were not able to identify in evidence the risk factors it was mandatory to consider for persons at risk of suicide or self-harm. They had not recorded triggers in the relevant section of the ACCT nor recorded all risk factors in the Caremap section. One ACCT case manager stated that they did not know whether it was necessary to record a trigger if action had been taken to mitigate it. They also stated they categorised risk based on ‘remaining’ risk after action had been taken despite having not recorded the trigger.<br> <br>This leads me to have 2 concerns:<br>The first regards the provision and quality of ACCT training and refresher training given this evidence was given some 2 years after the death of Mr Huntley and well after the disruptions brought about by the Covid-19 pandemic.<br> <br>I also heard evidence that despite an ACCT being a ‘whole prison’ document (which can and should be opened by any member of staff) training was not mandatory for non-security staff.<br>In 2019 there was no joint training for prison and heathcare staff on the use of ACCT documents. I am informed by CNWL that under ACCT v6 (which has been in force since July 2021) joint training is provided for and this is reassuring. However I understand that the frequency of this training is determined in relation to operational capacity at individual establishment level. This is of concern given the evidence from witnesses at this inquest some 20 months after this version came into force.<br> <br>The second relates to the quality and effectiveness of ACCT audits. We heard evidence that ACCT documents are reviewed annually. The case manager mentioned above advised that he had not received any adverse feedback about the quality of his ACCT documents and no issues with them had been identified. Given the inadequate nature of the ACCT document opened on Mr Huntley and apparent lack of understanding about completing the documents the quality of the audits is brought into question.<br> <br>Information sharing.<br>In evidence it was clear that the ACCT document was the only written document used for sharing information between the healthcare staff employed by the NHS trust and the prison security staff. Healthcare staff record and share their information within SystemOne which the prison security staff do not have access to. Prison security staff record information within NOMIS which healthcare staff do not have access to.<br> <br>Evidence from witnesses revealed that these information systems are not necessarily fully reviewed for relevant information prior to attending ACCT meetings.<br> <br>In addition a decision relating to Mr Huntley’s care (i.e. the move to a different cell) was taken by healthcare staff at their own meeting when they did not have the benefit of information available to prison staff.<br> <br>[REDACTED] of HMP Winchester informed me that a Safety Intervention Meeting was now carried out weekly, chaired by a Senior Governor and attended by representatives of the prison, physical and mental health care providers and the probation service. This meeting covers each person subject to an ACCT and any relevant information is share via the ACCT case manager, NOMIS and the multi disciplinary team. [REDACTED] could not assist me with whether this was a HMP Winchester initiative or had a wide application across the prison estate.<br> <br>My concern is therefore that the current procedures and policies for sharing information are incomplete or not fully complied with. This renders the information on which separate teams make decisions about a prisoner incomplete and increases the risk that important factors are not considered.<br> <br>Cells<br>At HMP Winchester within the area, considered and referred to by most healthcare and prison staff, as the ‘mental health’ cells there are 2 cells which are not equipped in a way to reduce the amount of available ligature points.<br> <br>It was clear from the evidence of the healthcare staff at the MDT meeting on the 28/05/2020 that they did not consider the contents of the cell when deciding to move Mr Huntley to the ‘mental health cells’ simply due to the fact he was on an ACCT. I heard evidence that the policy of CNWL has now changed and that a cell move risk assessment must now be carried out and that there is now a revised ligature audit process. HMP Winchester informed me that there is now an annual ligature audit carried out in conjunction with the new healthcare provider at that establishment. In addition I was informed that all telephone points in the ‘mental health cells’ at HMP Winchester have now been removed and placed outside the cells. These are welcome developments.<br> <br>However at inquest those representing the HMPPS could not inform me whether all telephone points within cells designed for use by those at risk of self harm across the prison estate had been removed. Nor was any evidence available as to what consideration had been given to reducing the risk of the telephone points by design of the points themselves or the manner of their installation. Those representing were invited to provide this information after the hearing but have not done so.<br> <br>I am concerned that telephone points which provide a ligature point may remain within cells which prison and health care staff consider to be suitable for use by those at risk of self harm.<br> <br>The final area of concern is the lack of certified Safer Cells at HMP Winchester. The inquest heard evidence that these had either never existed at HMP Winchester or had not done so for many years. The evidence from prison governors was that, generally speaking within the prison estate, they were not used or proved too hard to maintain to the certified standard. However certified Safer Cells are still referred to in PSI 64/2011 as a means of managing risk from ligatures. It was heard in evidence that HMP Winchester experience high levels of self-harm and suicide and yet it did not appear that consideration had been given recently to introducing these. Those representing the HMPSS at the were invited to provide information about the status and use of safer certified cells across the prison estate. No such information has been forthcoming.</td>",Coroner name: Robert Simpson,Ref: 2023-0461,This report is being sent to: HM Prison and Probation Service
"<td class=""govuk-table__cell""> <strong>CORONER’S CONCERNS</strong><br>During the course of the inquest, the evidence revealed matters giving rise to concern. In my opinion, there is a risk that future deaths will occur unless action is taken. In the circumstances, it is my statutory duty to report to you.<br><strong> </strong><br>The <strong>MATTERS OF CONCERN </strong>are as follows.<br>I heard evidence that there was no routine mechanism to cross reference what people are prescribed and what medication they are actually collecting, and no automatic notification to GPs who are responsible for the medication prescribing. Zee informed BEH that he had not taken his olanzapine and fluoxetine for two weeks. His GP, who was prescribing that medication, was not informed.<br><br>I am concerned that GPs are not updated, particularly where patients have expressed suicidal ideation, and may not be aware that people are not taking medication and/or that there may be a risk of stockpiling.</td>",Coroner name: Melanie Lee,Ref: 2023-0474,This report is being sent to: Barnet Enfield and Haringey Mental Health NHS Trust
"<td class=""govuk-table__cell""><strong><u>CORONER’S CONCERNS</u></strong> <strong> </strong> <br>During the course of the inquest, the evidence revealed matters giving rise to concern.In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br><strong> </strong><br>The <strong>MATTERS OF CONCERN </strong>are as follows:<br>1. Despite the deceased passing away just shy of 2 years ago, there have been inadequate improvements to manage patients with food intolerances and allergies. The Health Board has been working with other organisations in Wales to create an e-learning module and implement the use of red wrist bands for food intolerances / allergies, but this has taken far too long. The e-learning training module was uploaded to BCUHB system the day prior to the Inquest. It is strongly suspected that this was due to the impending Inquest.<br><strong> </strong><br>2. The Health Board has not investigated the incident at all. A Medical Examiner Report was prepared following the death in November 2021 highlighting the ingestion of gluten in a coeliac patient. I have raised and continue to raise a number of concerns around the inadequacy of governance and poor investigation processes.<br><strong> </strong><br>3. There were other incidences of gluten ingestion at Ysbyty Maelor and Deeside Community Hospital. On the at least 4 occasions at Deeside Community Hospital there were no Datix reports completed at the time. I was provided with no evidence that additional training, refresher training or induction training deals with when such reports should be made. I cannot be satisfied and reassured that all staff are aware of when to make a Datix report and how to complete this.</td>",Coroner name: Kate Robertson,Ref: 2023-0471,This report is being sent to: Betsi Cadwaladr University Local Health Board
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the Inquest the evidence revealed matters giving rise to concern.<br>In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br> <br>The <strong>MATTERS OF CONCERN </strong>are as follows:<br>1. During the Inquest evidence was heard that: <br> <br>i. During the period from the 25th of October 2022 to the 4th of January 2023 there were no visits from a Care Coordinator, or a Community Psychiatric Nurse, and all the 2-week planned visits did not take place, so that 4 or 5 visits were missed.<br> <br>ii. There was no appointment of an interim Care Coordinator or a Community Psychiatric Nurse to cover the 2 weekly planned appointments following the absence of YL.<br> <br>iii. There was no responsibility on a Duty officer to review planned appointments during the absence of a Care Coordinator and to arrange for a Community Psychiatric Nurse to attend any planned appointments.<br> <br>iv. There were no resilience plans in place to cover the absence of a Care Coordinator, either in relation to short term or long- term absences.<br> <br>2. I request that the Greater Manchester Mental Health NHS Foundation Trust reviews their procedures and policies to cover the absence of a Care Coordinator, both in relation to short term and long-term absences, and in relation to the appointment of an interim Care Coordinator.<br> <br>3. I further request that the Trust reviews their procedures and policies in relation to the responsibility of a Duty officer to review planned appointments during the absence of a Care Coordinator and to arrange for a Community Psychiatric Nurse to attend any planned appointments.<br> <br>4. I further request that the Trust reviews the procedures and policies in relation to resilience plans to cover the absence of an appointed Care Coordinator.</td>",Coroner name: Alan Walsh,Ref: 2023-0464,This report is being sent to: Greater Manchester mental Health NHS Foundation Trust
"<td class=""govuk-table__cell""><strong><u>CORONER’S CONCERNS</u></strong>   <br>During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.     <br><br>The <strong>MATTERS OF CONCERN </strong>are as follows. <br>1. Despite recognising Mr Malone needed to be admitted to a psychiatric hospital in June 2023 but there was no bed capacity, BSMHFT’ RCA report identified no remedial action.<br><br>2. The Patient Safety Manager [REDACTED] gave evidence that the lack of psychiatric bed capacity remains an ongoing problem and has not been resolved, and there is a genuine risk of the same problem with another patient in the future.<br>                      <br>3. [REDACTED] added there was an exceptional process, which required a considered decision at a high level, to make a bed available through identifying someone currently occupying a bed space to be discharged. In my view, this process is unsatisfactory as it creates a different set of risks around the patient being discharged, and amplifies the chronic shortage of beds.<br><br>4. There was reference to two preceding Regulation 28 Reports to Prevent Future Deaths (both available publicly on the judiciary website) that focussed on the chronic lack of mental health resources in Birmingham and Solihull. In relation to the specific issue of a lack of psychiatric bed capacity, in the case of Peter Fleming (no bed was available in August 2022) BSMHFT’s response (September 2023) referred to their response in the earlier case of Leroy Hamilton (no bed was available in December 2021). This response (April 2023) stated more resources had been obtained and a collaborative plan had been implemented with NHS Birmingham and Solihull Integrated Care Board.<br> <br>The issue of adequately funding psychiatric beds is a local and national issue. Locally, BSMHFT require their commissioners to provide the necessary funding.<br> <br>My principal concern is that the above dates indicate available psychiatric bed capacity in Birmingham and Solihull remains inadequate. Whilst some action may have been taken it is insufficient to resolve the problem. It follows there is a genuine risk of future deaths directly connected to a shortage of psychiatric bed spaces in Birmingham and Solihull unless further action is taken.</td>",Coroner name: James Bennett,Ref: 2023-0469,This report is being sent to: Birmingham and Solihull Mental Health Foundation Trust | NHS Birmingham and Solihull Integrated Care Board |Department of Health and Social Care
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br> <br>The <strong>MATTERS OF CONCERN </strong>are as follows:<br>(brief summary of matters of concern)<br> <br>Initial referral – there seems to be a gap at the initial referral and admission stage in obtaining information about and recording previous methods of self-harm and suicide. There also appears to be a gap in the seeking and recording of relevant information from an individual’s family at the point of referral and admission. An individual’s family is often able to provide detailed and useful information about events that may not have been previously reported and/or be able to bridge the gap in communications between various health agencies involved in someone’s care.<br> <br>Access to notes – the other concerning issue is the difficulty prevalent within the private sector in the accessing of NHS notes. It appears to be the position across the private sector that access to an individual’s notes is not provided as standard. This means that there may be a significant gap in the information available when someone is admitted to a premises run by a private healthcare provider, even within an NHS allocated bed. This gap in information can have an impact on an individual’s risk assessment and their subsequent care plan.</td>",Coroner name: Laura Bradford,Ref: 2023-0441,This report is being sent to: Langford Centre | NHS England
"<td class=""govuk-table__cell""><strong>CORONER’S CONCERNS</strong><br>During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br> <br>The <strong>MATTERS OF CONCERN </strong>are as follows:<br>(brief summary of matters of concern)<br>During the course of the inquest the evidence revealed matters giving rise to concern. I heard further evidence from the Interested Persons’ at a separate hearing on 17th October 2023 in relation to these concerns.<br> <br>At this hearing I received evidence from both East Suffolk and North Essex NHS Foundation Trust and Northgate High School concerning the measures they had put in place to address the failures identified during the course of the Inquest. I was satisfied that these measures addressed the concerns in relation to each of these Interested Persons and which had arisen from the Inquest.<br><br>I also received helpful evidence from the East of England Provider Collaborative concerning the measures which that organisation had undertaken in their area of responsibility to address my concern in relation to the availability and allocation of Tier 4 beds in a paediatric mental health facilities to children such as Madeleine.<br> <br>In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br> <br>The MATTERS OF CONCERN are as follows.<br>The availability, nationally, of Tier 4 beds in paediatric mental health facilities to allow for the timely allocation to children in need of care in such facilities such as Madeleine Savory.</td>",Coroner name: Darren Stewart,Ref: 2023-0452,This report is being sent to: NHS England
"<td class=""govuk-table__cell""> <strong><u>CORONER’S CONCERNS</u></strong><br>During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.<br><em> </em><br>The <strong>MATTERS OF CONCERN </strong>are as follows. <br>(1) During evidence the matter of monitoring people who attend the bridge in mental health distress was raised. There is a minimum of 2 staff in the control room and 3 staff covering “traffic duties” on the ground. The security staff at the bridge deal with a variety of security issues however this report only seeks to address their role in relation to those suffering from mental health distress. The staff are expected to identify and monitor any person of concern entering the walkways of the bridge.<br><br>This involves looking at their actions, mannerisms, behaviour and body language. Staff are expected to identify those who may require assistance and contact staffing colleagues to approach them.<br><br>It appeared there was no structured training policy in place to ensure that staff are given appropriate training to deal with identifying vulnerable people. On joining, staff have an 8 weeks mentoring course, whereby an experienced colleague shows them the role and advises on what to look for. Staff may also undertake an on line suicide prevention course and mental health first aid at work as well as safety harness/working at height training. However there appeared to be no structure to any of the training for this vital role and of more concern there was no input from a trained medical professional with significant knowledge of working with those suffering from mental health crisis. Nor was there any current input with regard to how to talk and negotiate with people in crisis. I was informed that there were many very competent staff who had good intuition, but I have concerns that without appropriate and structured input from a health care professional, any experience on the job is based on unstable foundations. It was evident that the role is vitally important in identifying those at risk and seeking the appropriate help. Without receiving knowledge from someone trained in mental health, having a substantive input on negotiation and how to interact with those in crisis then the difficult job of assessing people and reacting appropriately with them becomes very difficult.<br><br>(2) While the “Right Care/Right Person” process appears to ensure that the correct emergency service should respond if called, delays in response means often staff are left dealing with a vulnerable person for many hours due to unavailability of emergency services or mental health support.<br><br>(3) I am aware that there is a [REDACTED] Suicide Prevention Meeting where a multi-agency approach can be taken to address the reduction of suicide [REDACTED].  I consider that this may be the correct forum to recognise the unique role the staff play and implement a structured training plan with all agencies input for any person beginning work in that role.<br><br>(4)  I was informed in evidence that a vulnerable person is escorted off the bridge everyday – this shows the extent of the problem and the staff to be provided with the very best training available. I echo the views of Lizzie’s family when talking about the role that the Security Staff have “there is so much responsibility on someone’s head, for them to decide whether someone is likely to jump or not”. I feel that these people should be given a specific set training plan to help them do what is a vital and important role.</td>",Coroner name: Lorraine Harris,Ref: 2023-0439,This report is being sent to: Human Resources
