no;iklan;lokasi;harga;kamar_tidur;kamar_mandi;bangunan(m²);lahan(m²)
1;Rumah Tanpa DP Cibinong Bogor;;Rp 590.000.000;2;1;36;72
2;Jual Rumah 2 Lantai Siap KPR di Bukit Cimanggu City Bogor Harga All In Bisa Nego;Tanah Sareal Bogor;Rp 1.025.000.000;3;1;94;78
3;RUMAH DIJUAL DI SIDOARUM-GODEAN-SLEMAN-YOGYAKARTA;;Rp 2.750.000.000;7;5;300;176
4;Rumah Cahaya Viral Type Anantya Grand Sharon Residence Bandung;;Rp 1.037.250.000;2;1;42;72
5;Rumah American Clasic at boulevard raya Daan mogot Jakarta barat;Daan Mogot Jakarta Barat;Rp 5.700.000.000;7;5;500;200
6;RUMAH MURAH 200 JTAN BUDURAN SIDOARJO;;Rp 248.000.000;2;1;36;72
7;Rumah sudah renovasi bisa untuk kost;Senen Jakarta Pusat;Rp 2.700.000.000;8;3;170;143
8;Rumah Idaman di Bogor Harga All In Nego Siap KPR Bebas Banjir;Bogor Barat - Kota Bogor;Rp 1.025.000.000;3;1;94;78
9;Rumah Strategis Siap KPR Dekat Stasiun Sudimara Harga All In Nego;Ciputat Tangerang Selatan;Rp 4.200.000.000;3;3;150;502
10;RUMAH TELAGA GOLF SAWANGAN DEPOK;;Rp 1.000.000.000;4;2;100;120
11;Rumah Cantik 2 Lantai Harga All In Siap KPR di Permata Wisata;;Rp 1.170.000.000;2;2;120;114
12;ANTOPHILA RESIDENCE, RUMAH MURAH BSD - SERPONG - TANGSEL DEKAT TOL BSD;Serpong Tangerang Selatan;Rp 599.999.000;3;2;50;60
13;Rumah mewah ramah lingkungan amaya eco residence di cikaret;;Rp 1.000.000.000;4;3;68;72
14;Rumah Cantik Cibubur dengan fasilitas lengkap;;Rp 736.000.000;3;2;71;60
15;Rumah murah, Dua lantai daerah Bekasi kota, Murah Dan strategis, DP 0% - Bekasi;;Rp 500.000.000;2;1;50;72
16;Rumah Unit Pojokan Strategis di Batara Residence Bebas Banjir Harga All In KPR;Jatiasih Bekasi;Rp 680.000.000;2;1;36;72
17;Rumah 3 Lantai Strategis Dekat Stasiun KA Bojonggede Harga All In Bisa KPR;Bojonggede Bogor;Rp 780.000.000;3;2;200;90
18;Rumah Luas Siap Huni di Bogor Raya Permai Harga All In Nego Bisa KPR;;Rp 1.500.000.000;3;3;150;144
19;Rumah Luas 2 Lantai Siap KPR di Erfina Kencana Regency Cibinong Harga All In;;Rp 1.380.000.000;3;2;150;105
20;Rumah Siap Huni Strategis Dekat Stasiun Bojong Gede Bogor Harga All In Bisa KPR;;Rp 1.140.000.000;3;2;76;84
21;Rumah Bebas Banjir Dekat Harapan Indah Bekasi Siap Huni Harga All In Bisa KPR;Harapan Indah Bekasi;Rp 950.000.000;3;2;87;66
22;Rumah 2 Lantai Strategis Dekat Jatiasih Bekasi Harga All In Nego Siap KPR;Jatiasih Bekasi;Rp 950.000.000;3;3;164;108
23;Rumah Minimalis 2 Lantai Dekat Sentul City DP Ringan Harga All In Bisa KPR;Sentul City Bogor;Rp 460.000.000;3;1;75;60
24;Rumah Strategis Siap Huni Dekat Sentul City Harga All In Nego Bisa KPR;;Rp 1.380.000.000;3;2;150;105
25;Rumah modern minimalis harga ekonomis di taman wisma asri bekasi;;Rp 999.000.000;3;2;136;86
26;Rumah Minimalis Strategis Dekat Sawangan Siap Huni Harga All In Nego Bisa KPR;Sawangan Depok;Rp 936.000.000;2;1;42;72
27;Jual Rumah Strategis Harga All In Bisa Nego di Palas Asri Town House Siap KPR;Bojong Gede Bogor;Rp 450.000.000;2;1;45;83
28;Rumah Siap Huni 2 Lantai Strategis di Perumahan Modernland Harga All In Bisa KPR;Alam Sutera Tangerang Selatan;Rp 1.425.000.000;2;2;95;90
29;Rumah Unit Pojokan Siap KPR di Citra Raya Bizhome Harga All In Bisa Nego;Curug Tangerang;Rp 500.000.000;2;1;36;94
30;Rumah rasa villa;Pekanbaru Kota Pekanbaru;Rp 625.000.000;3;2;70;140
31;Jual Rumah Minimalis Strategis Dekat Margonda Depok Harga All In Siap KPR;;Rp 699.000.000;2;1;50;69
32;Jual Rumah 2 Lantai di Perumahan Villla Mutiara Bogor Harga All In Siap KPR;Tanah Sareal Bogor;Rp 950.000.000;2;2;200;120
33;Cluster the ayona;Rorotan Jakarta Utara;Rp 900.000.000;2;2;55;78
34;Rumah bagus di pamulang tangsel;;Rp 1.300.000.000;3;2;65;125
35;Rumah Siap Huni Bebas Banjir di Laladon Residence Harga All In Bisa KPR;;Rp 780.000.000;3;2;85;116
36;Rumah Minimalis Strategis Harga All In Dekat RSUD Pesanggrahan Siap KPR;Pesanggrahan Jakarta Selatan;Rp 1.440.000.000;3;2;99;123
37;Rumah Bebas Banjir di Permata Hill Residence Harga All In Nego Bisa KPR;Pamulang Tangerang Selatan;Rp 500.000.000;2;1;36;68
38;Rumah Minimalis 2 Lantai, Lokasi Strategis di Pamulang Tangsel;;Rp 750.000.000;3;2;65;78
39;Rumah Bergaya Townhouse Harga All In Dekat Pamulang Bebas Banjir Siap KPR;Pamulang Tangerang Selatan;Rp 1.080.000.000;2;2;60;104
40;Rumah Murah Strategis di Cluster Pagar Hijau Jatiasih Harga All In Siap KPR;Jatiasih Bekasi;Rp 810.000.000;2;1;45;117
41;Rumah Idaman di Pamulang Tangerang Selatan;;Rp 1.340.000.000;3;2;65;125
42;Rumah Seken Bebas Banjir Siap KPR Dekat Pamulang Harga All In Bisa Nego;;Rp 845.000.000;3;1;140;131
43;Jual Nego Rumah Luas Siap Huni di Bojongsari Depok Harga All In Bisa KPR;;Rp 870.000.000;3;1;140;131
44;Rumah Strategis Bebas Banjir di Perumahan Banjar Wijaya Harga All In Siap KPR;Alam Sutera Tangerang Selatan;Rp 1.860.000.000;3;3;100;144
45;Rumah murah di Jatisari siap huni bebas banjir DP 5% All In;Jatiasih Bekasi;Rp 720.000.000;3;2;58;84
46;Jual Cepat Rumah Strategis Siap Huni Siap KPR di Sawangan;;Rp 1.078.000.000;3;2;96;160
