kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
;1;43;43;Rp 799.000.000;Jagakarsa Jakarta Selatan;Jual Cepat Kios Pinggir Jalan Raya Kebagusan;;;;
;2;50;40;Rp 570.000.000;Cilodong Depok;Rumah.CILODONG 2 lantai Minimalis Cilodong Depok;;;;
;5;400;117;Rp 6.500.000.000;Pluit Jakarta Utara;Rumah Dijual Pluit Sakti. Langka. Full Furnish. Siap Huni. Bagus.; dkt taman; tol; dll.;
;1;40;69;Rp 520.000.000;Buahbatu (Margacinta) Bandung;RUMAH MURAH KOTA BANDUNG; Letak Strategis Di Tengah Kota Sukabumi;;;
;4;400;650;Rp 5.000.000.000;Saba Gianyar;Rumah villa Di jual;;;;
;1;100;2430;Rp 1.800.000.000;Lokasi Diwek Jombang. Diwek Jombang;Jual Cepat Rumah dan Tanah DI Jombang;;;;
;2;55;32;Rp 500.000.000;Wonokromo Surabaya;Rumah Murah 2 Lantai Wonorejo Selatan Rungkut MERR Surabaya;;;;
;1;36;72;Rp 398.000.000;Cileungsi Bogor;Rumah Cluster Siap Huni; dijual cepat rumah dengan luas 300m2;;;
;1;75;100;Rp 980.000.000;Tanah Lot Tabanan;Di Jual Villa Daerah Tanah Lot 2KT dan Privat Kolam Renang;;;;
;1;37;72;Rp 375.000.000;Serang Baru Bekasi;Rumah murah Cempaka Jayasampurna Cikarang;;;;
;2;;;Rp 457.400.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe New Derby - Cifest;;;;
;2;;;Rp 674.750.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Magnolia - Cifest;;;;
;2;;;Rp 500.000.000;Jalan Raya Metland Cibitung Wanajaya Cibitung Bekasi;Metland Cibitung Cluster Spring Terrace Tipe 38;;;;
;2;;;Rp 410.250.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe New Aspen - Cifest;tol jatinegara;rs jayakarta;;
;2;;;Rp 525.000.000;Jl. Olah Raga Loji Jatiwangi Majalengka;Dar es Salaam Residence Tipe 54;;;;
;2;;;Rp 531.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Boston (Timur) - Mutiara Columbus;;;;
;2;;;Rp 381.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe New Derby - Mutiara Columbus;;;;
;1;;;Rp 495.000.000;Jalan Raya Metland Cibitung Wanajaya Cibitung Bekasi;Metland Cibitung Cluster Spring Terrace Tipe 27;;;;
;3;;;Rp 877.710.500;Jalan Raya Metland Cibitung Wanajaya Cibitung Bekasi;Metland Cibitung Cluster Alamanda Tipe Mandeville;;;;
;1;;;Rp 366.550.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Mahogani - Cifest;7M 3 Lantai; 5 menit dari tol Pamulang Serpong;;
;2;;;Rp 540.800.000;Jalan Raya Manyar Sembayat Betoyoguci Betoyokauman Manyar Gresik;Cluster Garnet Place Tipe Millenial Home – AKR GEM City;persahabatan;tol rawamangun shm;;
;3;;;Rp 1.622.000.000;Jl. Puspitek Raya Babakan Setu Tangerang Selatan;Paradise Serpong City Tipe Grayson;;;;
;3;;;Rp 1.500.000.000;Esplanade Ave Lambangjaya Tambun Selatan Bekasi;Grand Wisata Tanamas Tipe 6;;;;
;1;;;Rp 333.200.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Aspen - Cifest;;;;
;2;;;Rp 564.350.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Boston - Cifest; harga teranglah;;;
;2;;;Rp 1.141.000.000;Jl. Puspitek Raya Babakan Setu Tangerang Selatan;Paradise Serpong City Tipe Arstone;;;;
;3;;;Rp 1.640.000.000;Jalan Hang Lekiu Nongsa Batam;The Nove Tipe Terrace House – Nuvasa Bay; 5KT;3KM; 1 Carport; 5teras)
;2;;;Rp 739.150.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Birmingham - Cifest; Harga Murah Mewah; Bonus Kolam Renang;;
;3;;;Rp 1.502.957.500;Jalan Alternatif GOR Pemda Cibinong Bogor;The Anggana Village Tipe 95;;;;
;2;;;Rp 885.205.000;Jalan Alternatif GOR Pemda Cibinong Bogor;The Anggana Village Tipe 45;;;;
;3;;;Rp 650.000.000;Jl. Olah Raga Loji Jatiwangi Majalengka;Dar es Salaam Residence Tipe 69;;;;
;1;;;Rp 331.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Derby - Mutiara Columbus;;;;
;3;;;Rp 1.610.000.000;Jl. Brigjend. H. Saptadji Hadiprawira No. 27 Cilendek Barat Bogor;Anvaya Townhouse Tipe Vasra;;;;
;1;;;Rp 578.604.401;Jalan Raya Metland Cibitung Wanajaya Cibitung Bekasi;Metland Cibitung Cluster Salvia Tipe Lavender;;;;
;2;;;Rp 727.015.200;Jalan Alternatif GOR Pemda Cibinong Bogor;The Anggana Village Tipe 36;;;;
;2;;;Rp 968.162.000;Jalan Alternatif GOR Pemda Cibinong Bogor;The Anggana Village Tipe 54;;;;
;2;;;Rp 565.500.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Ebony - Cifest;;;;
;3;;;Rp 2.600.000.000;Jalan Hang Lekiu Nongsa Batam;The Nove Tipe Semi Detached – Nuvasa Bay;;;;
;2;;;Rp 535.000.000;Jalan Raya Metland Cibitung Wanajaya Cibitung Bekasi;Metland Cibitung Cluster Spring Terrace Tipe 37;;;;
;3;;;Rp 1.465.002.000;Jl. Brigjend. H. Saptadji Hadiprawira No. 27 Cilendek Barat Bogor;Anvaya Townhouse Tipe Vardhana;;;;
;2;;;Rp 1.347.000.000;Jl. Puspitek Raya Babakan Setu Tangerang Selatan;Paradise Serpong City Tipe Valiant;;;;
;3;;;Rp 1.194.736.200;Jalan Alternatif GOR Pemda Cibinong Bogor;The Anggana Village Tipe 72;;;;
;3;;;Rp 935.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Maple - Mutiara Columbus; MURAH SEKALI;Lokasi Terbaik;;
;3;;;Rp 822.850.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Manchester - Mutiara Columbus;;;;
;3;;;Rp 1.058.850.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Manchester - Cifest;;;;
;2;;;Rp 841.500.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Minesotta - Cifest;;;;
;2;;;Rp 674.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Magnolia - Mutiara Columbus; Lokasi Strategis di Pondok Benda Pamulang;;;
;2;;;Rp 732.250.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Canelli - Cifest;;;;
;2;;;Rp 627.800.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Cambridge - Cifest; Cijago Free Biaya DP Ringan;;;
;2;;;Rp 657.000.000;Jl. Bantar Gebang Setu No.51 Cimuning Mustika Jaya Bekasi;Tipe Montana - Mutiara Columbus;;;;
;3;;;Rp 1.232.500.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Washington - Cifest;;;;
;3;;;Rp 1.323.000.000;Pulo Gadung Jakarta Timur;dijual rumah jatinegara lio dekat buaran;;;;
;3;;;Rp 2.093.175.000;Rawamangun Jakarta Timur;dijual rumah cipinang dekat klender;;;;
;4;;;Rp 3.200.000.000;Cluster Pejaten Pasar Minggu Jakarta Selatan Pasar Minggu Jakarta Selatan;Dijual Murah Rumah Cluster Pejaten Pasar Minggu Jakarta Selatan;;;;
;2;;;Rp 1.274.164.000;Cempaka Putih Jakarta Pusat;dijual rumah dekat tol cempaka putih;;;;
;2;;;Rp 550.000.000;Jalan Raya Gas Alam Depok Indonesia Cisalak Depok;Rumah Nempel Tol Cijago dan Cibubur;;;;
;2;;;Rp 968.730.000;Cipinang Muara Jakarta Timur;dijual rumah dekat tol cawang;;;;
;4;;;Rp 2.560.000.000;Jalan Kucica IX Bintaro Tangerang Selatan;Rumah Exclusive di Bintaro Sektor IX; Posisi Di Tengah Kota Sukabumi;;;
;3;;;Rp 1.477.000.000;Rawamangun Jakarta Timur;Rumah minimalis modern shm pemuda rawamangun dekat tol;;;;
;3;;;Rp 1.353.400.000;Klender Jakarta Timur;dijual rumah dekat klender;;;;
;2;;;Rp 796.000.000;Rawamangun Jakarta Timur;dijual rumah pisangan baru dekat tol jatinegara;;;;
;2;;;Rp 750.000.000;Jl. Raya Curug RT. 002 RW.004 sawangan depok Curug Depok;Dijual Rumah Lokasi Sangat Strategis Dekat Tol Sawangan;;;;
;2;;;Rp 1.072.500.000;Senen Jakarta Pusat;djual rumah tanah tinggi semi ruko dekat rscm;;;;
;3;;;Rp 5.900.000.000;Uluwatu Badung;VILLA FAVOR OF GOD;;;;
;3;;;Rp 6.500.000.000;Cinere Depok;TERMURAH RUMAH SIAP HUNI 1 LANTAI KOMPLEK PURI CINERE;;;;
;4;;;Rp 10.500.000.000;RUBY Permata Hijau Jakarta Selatan;RUMAH SIAP HUNI DALAM KOMPLEK PERMATA HIJAU 1 BELAKANG ITC;;;;
;2;;;Rp 285.000.000;Cibinong Bogor;Cluster Murah di Cibinong Bogor;;;;
;2;;;Rp 445.000.000;Jalan Haji Sulaeman Depok 16519 Indonesia Sawangan Depok;Hunian Dengan Model Scandinavian di Sawangan Depok;;;;
;2;;;Rp 619.000.000;Jalan Prabu Kian Santang Tangerang Kota 15132 Indonesia Periuk Tangerang;Duta Indah Residence Rumah Cantik Baru Launching di Kota Tangerang;;;;
;2;;;Rp 600.000.000;Jl. Mutiara Baru Kedung Waringin Kecamatan Bojonggede Kabupaten Bogor Jawa Barat 16923 Bojonggede Bogor;Rumah Dekat Stasiun Bojonggede Bisa jalan kaki Dp 0% Cukup 3 Jt Allin; Rumah Villa Ada Kolam Renang Pribadinya;;;
;2;;;Rp 425.000.000;Nepak Bulurejo Mertoyudan Magelang;Rumah Murah Siap Huni Pakelan Magelang;;;;
;3;;;Rp 2.700.000.000;ingenia eminent bsd city Bumi Serpong Damai Tangerang Selatan;Dijual rumah termurah cluster ingenia eminent bsd tangerang; Buahbatu; Bandung;;
;2;;;Rp 590.000.000;Ciledug Tangerang;Rumah Komplek 2 Lantai Bersih Rapih Siap Huni;;;;
;3;;;Rp 1.150.000.000;Jalan Jatibening Raya Bekasi Kota Indonesia Bintara Jaya Bekasi;Jual rumah baru lokasi jatibening caman akses jatiasih pondok gede;kelapa gading;salemba;kemayoran;
;3;;;Rp 1.200.000.000;Jalan Raya Ir. Juanda Depok Sukmajaya Depok;Rumah diapit 2 Tol Di Depok;;;;
;3;;;Rp 875.000.000;Ungasan Badung;Rumah /Cozy House with Strategic Location in Bali Cliff;;;;
;3;;;Rp 700.000.000;Jalan Raya Tapos Depok 16467 Indonesia Cimanggis Depok;Rumah 2 Lantai di Cimanggis Deket Tol Cimanggis Depok;9 Jt-an;;;
;3;;;Rp 1.200.000.000;Jalan Ir H Djuanda Depok 16418 Indonesia Sukmajaya Depok;Rumah Murah Deket Stasiun UI Depok;;;;
;2;;;Rp 514.680.000;Jl. Raya Pertamina Kedung Jaya Babelan Bekasi Babelan Bekasi;Jual Rumah Bekasi Scandinavian Style Cukup 5-juta All-In;;;;
;2;;;Rp 614.000.000;Jl. Raya Pertamina Kedung Jaya Babelan Bekasi Babelan Bekasi;Perumahan di Bekasi Desain Scandinavian 5-juta All-In; di Villa inti Persada; Pamulang;;
;2;;;Rp 600.000.000;Matraman Jakarta Timur;Rumah Murah 2 Lantai di Pusat Kota Jakarta Timur;;;;
;3;;;Rp 996.200.000;Jalan Raya Bouluvard GDC Depok Jawa Barat Cilodong Depok;Hunian Mewah 2 Lantai Di GDC Termurah;;;;
;2;;;Rp 250.000.000;Rukoh Banda Aceh;Dijual Rumah Dekat Unsyiah dan UIN Ar Raniry Darussalam Banda Aceh;;;;
;2;;;Rp 168.000.000;Jl. Alternatif Cileungsi Jonggol KM.10 Desa Sukamaju Kecamatan Jonggol Kabupaten Bogor 16830 Cileungsi Bogor;Rumah Subsidi Pemerintah Dekat Cibubur Jakarta Puri Asri 3 Cileungsi - Bogor;becakayu;cipinang;rawamangun;bekasi
;2;;;Rp 305.000.000;Menuran Kel. Baki Sukoharjo Indonesia Baki Sukoharjo;Rumah Cluster Ready/ Pesan Bangun di Baki Sukoharjo (IY);;;;
;2;;;Rp 250.000.000;Rukoh Rukoh Banda Aceh;Dijual Perumahan Dekat Kampus Unsyiah dan UIN Darussalam Banda Aceh; wiyung; dkt greenlake; citraland; wbm
;2;;;Rp 159.999.998;Popongan Kec. Banyuurip Kabupaten Purworejo Jawa Tengah Banyu Urip Purworejo;PERUMAHAN MINIMALIS TERMURAH PURWOREJO ANGSURAN 900K/BULAN DP 5% CASA DE VALLEY;;;;
;2;;;Rp 168.000.000;Jln Raya Alternatif Cileungsi Bogor Desa Situsari kecamatan Cileungsi kabupaten Bogor Timur Cileungsi Bogor;KPR Rumah Subsidi Pemerintah Di Cileungsi Bogor Harga Mulai 130 Juta Puri Asri 3;;;;
;3;;;Rp 980.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Baru Ready Stok BSD Serpong 5min Bintaro Pondok Aren Alam Sutera;;;;
;2;;;Rp 795.000.000;Pamulang Tangerang Selatan;RUMAH BARU 2LT SIAP HUNI DI PAMULANG;;;;
;2;;;Rp 168.000.000;Jl. Raya Kali CBL Sukamekar Kec Babelan Bekasi;Perumahan Subisdi Murah Asri Berlokasi Strategis;busway;unj;;
;3;;;Rp 887.800.000;Jalan Kepu Dalam 10 Jakarta Pusat 10620 Indonesia Kemayoran Jakarta Pusat;DiJual Rumah Mewah Minimalis Modern 2 lantai di Kepu Kemayoran Jakpus;;;;
;9;;;Rp 1.550.000.000;Fastrespon WA : 0813 9127 8889 / 0823 2337 4139 Depok Sleman;Dijual Cepat;;;;
;2;;;Rp 369.998.000;JALAN RAYA TAJUR. citeureup-sentul.BOGOR. GREEN SEMESTA CITY. Sentul Bogor;JANGAN SAMPAI TERLEWATKAN PROMO BERKAH HANYA BOOKING 2JT ALL IN HARGA;;;;
;3;;;Rp 995.000.000;Jalan Palem Puri 1 Bintaro Tangerang Selatan;Cluster 2 Lantai Minimalis Dekat Dengan Stasiun Kereta Bintaro Sektor 9;;;;
;3;;;Rp 1.600.000.000;Jatisari Bekasi;Dijual Rumah Jatisari Jatiasih Bekasi LT 176 SHM. PINGGIR JALAN;;;;
;2;;;Rp 168.500.000;Jalan raya Bojong kelapa Nunggal Desa Situsari kecamatan Cileungsi kabupaten Bogor Cileungsi Bogor;Rumah Subsidi Pemerintah Dekat Cibubur Jakarta Pondok Permata Cileungsi - Bogor;;;;
;2;;;Rp 390.000.000;Mojosongo Mojosongo Solo;Rumah Cluster Murah dan Bagus Mojosongo;;;;
;3;;;Rp 1.390.000.000;Serpong Tangerang Selatan;Rumah Minimalis Modern Serpong Jaya;;;;
;2;;;Rp 150.500.000;Jl. Belimbing Natar Natar Lampung Selatan;Cluster Subsidi Murah Dekat Kota Bandar Lampung TANPA DP;;;;
;4;;;Rp 985.000.000;Taman Widya Asri Tahap Ke-1 Serang Serang;Dijual Rumah Siap Huni Pusat Kota Serang Taman Widya Asri;;;;
;2;;;Rp 300.000.000;Tajur Halang Bogor;Griya Amalia Residence;;;;
;2;;;Rp 150.000.000;Kemiling Bandar Lampung;Subsidi Rumah di Kota Bandar Lampung 2 Kamar Tanpa DP;;;;
;4;;;Rp 896.000.000;Taman Madiun;Rumah Bagus di Lingkungan Nyaman dekat Dengan Jalan Salak Madiun;;;;
;2;;;Rp 457.000.000;Citayam Depok;Dijual Rumah Siap Huni Tanpa DP di Ragajaya Citayam;;;;
;2;;;Rp 796.620.000;Rawamangun Jakarta Timur;dijual rumah pisangan baru dekat tol jatinegara;;;;
;3;;;Rp 890.000.000;Margahayu Bandung;Rumah Baru Lux Minimalis Modern Strategis dekat Metro Indah Mall (MIM);;;;
;2;;;Rp 369.996.000;Jalan raya tajur citeureup-sentul. BOGOR. GREEN SEMESTA CITY. Sentul Bogor;RUMAH DIJUAL TERJANGKAU DIBOGOR HANYA BOOKING 2 JUTA ALL IN;;;;
;2;;;Rp 369.997.000;jalan raya tajur citeureup-sentul bogor. GREEN SEMESTA CITY. Sentul Bogor;DIJUAL RUMAH 2LANTAI HARGA 300JTAN DI BOGOR FREE DP BEBAS BANJIR;;;;
;2;;;Rp 762.260.000;Jalan Pisangan Baru Utara Jakarta Timur 13120 Indonesia Matraman Jakarta Timur;DiJual Rumah Mewah Minimalis Modern 2 lantai di Jl Pisangan Baru Utara;;;;
