;title;price;location;kamar_tidur;kamar_mandi;bangunan;lahan;keterangan4;keterangan5;keterangan6;keterangan7;;;;
0;Rumah Tanpa DP Cibinong Bogor;Rp 590.000.000;;Dibangun(Tahun)': '2023'; 'LahanParkir': '1'; 'Kamartidur': '2'; 'Kamarmandi': '1'; 'Bangunan(m²)': '36'; 'Lahan(m²)': '72'; 'Tersediasejak': '08/02/23';;;;;
1;Jual Rumah 2 Lantai Siap KPR di Bukit Cimanggu City Bogor Harga All In Bisa Nego;Rp 1.025.000.000;Tanah Sareal Bogor;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '1'; 'Bangunan(m²)': '94'; 'Lahan(m²)': '78'; 'JumlahLantai': '2';;;;;;
2;RUMAH DIJUAL DI SIDOARUM-GODEAN-SLEMAN-YOGYAKARTA;Rp 2.750.000.000;;LahanParkir': '1'; 'Kamartidur': '7'; 'Kamarmandi': '5'; 'Bangunan(m²)': '300'; 'Lahan(m²)': '176'; 'Tersediasejak': '01/02/23';;;;;;
3;Rumah Cahaya Viral Type Anantya Grand Sharon Residence Bandung;Rp 1.037.250.000;;LahanParkir': '1'; 'Kamartidur': '2'; 'Kamarmandi': '1'; 'Bangunan(m²)': '42'; 'Lahan(m²)': '72'; 'Tersediasejak': '01/02/23';;;;;;
4;Rumah American Clasic at boulevard raya Daan mogot Jakarta barat;Rp 5.700.000.000;Daan Mogot Jakarta Barat;Kamartidur': '7'; 'Kamarmandi': '5'; 'Bangunan(m²)': '500'; 'Lahan(m²)': '200';;;;;;;;
5;RUMAH MURAH 200 JTAN BUDURAN SIDOARJO;Rp 248.000.000;;Kamartidur': '2'; 'Kamarmandi': '1'; 'Bangunan(m²)': '36'; 'Lahan(m²)': '72';;;;;;;;
6;Rumah sudah renovasi bisa untuk kost;Rp 2.700.000.000;Senen Jakarta Pusat;Kamartidur': '8'; 'Kamarmandi': '3'; 'Bangunan(m²)': '170'; 'Lahan(m²)': '143';;;;;;;;
7;Rumah Idaman di Bogor Harga All In Nego Siap KPR Bebas Banjir;Rp 1.025.000.000;Bogor Barat - Kota Bogor;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '1'; 'Bangunan(m²)': '94'; 'Lahan(m²)': '78'; 'JumlahLantai': '2';;;;;;
8;Rumah Strategis Siap KPR Dekat Stasiun Sudimara Harga All In Nego;Rp 4.200.000.000;Ciputat Tangerang Selatan;LahanParkir': '2'; 'Kamartidur': '3'; 'Kamarmandi': '3'; 'Bangunan(m²)': '150'; 'Lahan(m²)': '502'; 'JumlahLantai': '1'; 'KT.Pembantu': '1';;;;;
9;RUMAH TELAGA GOLF SAWANGAN DEPOK;Rp 1.000.000.000;;Bangunan(m²)': '100'; 'Kamarmandi': '2'; 'Lahan(m²)': '120'; 'Fullyfurnished': 'No'; 'LahanParkir': '1'; 'Kamartidur': '4';;;;;;
10;Rumah Cantik 2 Lantai Harga All In Siap KPR di Permata Wisata;Rp 1.170.000.000;;LahanParkir': '1'; 'Kamartidur': '2'; 'Kamarmandi': '2'; 'Bangunan(m²)': '120'; 'Lahan(m²)': '114'; 'JumlahLantai': '2';;;;;;
11;ANTOPHILA RESIDENCE, RUMAH MURAH BSD - SERPONG - TANGSEL DEKAT TOL BSD;Rp 599.999.000;Serpong Tangerang Selatan;Dibangun(Tahun)': '2023'; 'Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '50'; 'Lahan(m²)': '60'; 'JumlahLantai': '2'; 'Kondisiharga': 'nego'; 'Tersediasejak': '25/01/23';;;;
12;Rumah mewah ramah lingkungan amaya eco residence di cikaret;Rp 1.000.000.000;;LahanParkir': '2'; 'Kamartidur': '4'; 'Kamarmandi': '3'; 'Bangunan(m²)': '68'; 'Lahan(m²)': '72'; 'JumlahLantai': '2';;;;;;
13;Rumah Cantik Cibubur dengan fasilitas lengkap;Rp 736.000.000;;Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '71'; 'Lahan(m²)': '60';;;;;;;;
14;Rumah murah, Dua lantai daerah Bekasi kota, Murah Dan strategis, DP 0% - Bekasi;Rp 500.000.000;;Kamartidur': '2'; 'Kamarmandi': '1'; 'Bangunan(m²)': '50'; 'Lahan(m²)': '72'; 'Tersediasejak': '04/08/22';;;;;;;
15;Rumah Unit Pojokan Strategis di Batara Residence Bebas Banjir Harga All In KPR;Rp 680.000.000;Jatiasih Bekasi;LahanParkir': '1'; 'Kamartidur': '2'; 'Kamarmandi': '1'; 'Fullyfurnished': 'Tidak'; 'JumlahLantai': '1'; 'Bangunan(m²)': '36'; 'Lahan(m²)': '72';;;;;
16;Rumah 3 Lantai Strategis Dekat Stasiun KA Bojonggede Harga All In Bisa KPR;Rp 780.000.000;Bojonggede Bogor;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '200'; 'Lahan(m²)': '90'; 'JumlahLantai': '3';;;;;;
17;Rumah Luas Siap Huni di Bogor Raya Permai Harga All In Nego Bisa KPR;Rp 1.500.000.000;;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '3'; 'Bangunan(m²)': '150'; 'Lahan(m²)': '144'; 'JumlahLantai': '2'; 'KT.Pembantu': '1';;;;;
18;Rumah Luas 2 Lantai Siap KPR di Erfina Kencana Regency Cibinong Harga All In;Rp 1.380.000.000;;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '150'; 'Lahan(m²)': '105'; 'JumlahLantai': '2'; 'KT.Pembantu': '1';;;;;
19;Rumah Siap Huni Strategis Dekat Stasiun Bojong Gede Bogor Harga All In Bisa KPR;Rp 1.140.000.000;;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '76'; 'Lahan(m²)': '84'; 'JumlahLantai': '2';;;;;;
20;Rumah Bebas Banjir Dekat Harapan Indah Bekasi Siap Huni Harga All In Bisa KPR;Rp 950.000.000;Harapan Indah Bekasi;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '2'; 'Bangunan(m²)': '87'; 'Lahan(m²)': '66'; 'JumlahLantai': '2';;;;;;
21;Rumah 2 Lantai Strategis Dekat Jatiasih Bekasi Harga All In Nego Siap KPR;Rp 950.000.000;Jatiasih Bekasi;LahanParkir': '1'; 'Kamartidur': '3'; 'Kamarmandi': '3'; 'Bangunan(m²)': '164'; 'Lahan(m²)': '108'; 'JumlahLantai': '2';;;;;;
