channel name;channel url;subscribers;language
@naturebird;https://www.youtube.com/@naturebird;100K;chinese
@Bebefinn_CN;https://www.youtube.com/@Bebefinn_CN;107K;chinese
@KidsChannelChina;https://www.youtube.com/@KidsChannelChina;11,7K;chinese
@xstmusic;https://www.youtube.com/@xstmusic;131K;chinese
@123GOLIKEChinese;https://www.youtube.com/@123GOLIKEChinese;137K;chinese
@kidsplayground168;https://www.youtube.com/@kidsplayground168;184K;chinese
@Booba_CN;https://www.youtube.com/@Booba_CN;20,3K;chinese
@gaoxiaolongge;https://www.youtube.com/@gaoxiaolongge;20,3K;chinese
@user-kp3jq6zp5n;https://www.youtube.com/@user-kp3jq6zp5n;22,2K;chinese
@SydneyDaddy1;https://www.youtube.com/@SydneyDaddy1;256K;chinese
@laoschen;https://www.youtube.com/@laoschen;32,6K;chinese
@DaWenHeHaiErMen;https://www.youtube.com/@DaWenHeHaiErMen;38,5K;chinese
@MyLittlePonyCantoneseOfficial;https://www.youtube.com/@MyLittlePonyCantoneseOfficial;43,8K;chinese
@Pinkfong_CN;https://www.youtube.com/@Pinkfong_CN;450K;chinese
@xuxiaodong1979;https://www.youtube.com/@xuxiaodong1979;481K;chinese
@LiuYujia;https://www.youtube.com/@LiuYujia;7,23K;chinese
@-chinese2837;https://www.youtube.com/@-chinese2837;7,55K;chinese
@SuperEntourage;https://www.youtube.com/@SuperEntourage;775K;chinese
@wenxiangshuodangshi;https://www.youtube.com/@wenxiangshuodangshi;85,5K;chinese
@1905-MovieTheater;https://www.youtube.com/@1905-MovieTheater;878K;chinese
@SuperTruck_Chinese;https://www.youtube.com/@SuperTruck_Chinese;94,2K;chinese
@SuperTruck_Chinese;https://www.youtube.com/@SuperTruck_Chinese;94,2K;chinese
