channel name;channel url;subscribers;language
@PetitMondeTV;https://www.youtube.com/@PetitMondeTV;1,1M;french
@KidsTvFrancaiseChansonsdeBebe;https://www.youtube.com/@KidsTvFrancaiseChansonsdeBebe;1,41M;french
@123GOFrench;https://www.youtube.com/@123GOFrench;1,56M;french
@icctvlome6354;https://www.youtube.com/@icctvlome6354;10,2K;french
@OSONINKARATV;https://www.youtube.com/@OSONINKARATV;11,2K;french
@ECOITV;https://www.youtube.com/@ECOITV;11,3K;french
@EnfantsdeMarie;https://www.youtube.com/@EnfantsdeMarie;13,3K;french
@leclubdes5677;https://www.youtube.com/@leclubdes5677;144K;french
@IncrediTales_French;https://www.youtube.com/@IncrediTales_French;15,4K;french
@LESENFANTSDABRAHAM;https://www.youtube.com/@LESENFANTSDABRAHAM;15,9K;french
@lemondedesenfants576;https://www.youtube.com/@lemondedesenfants576;16,2K;french
@MorningKombat;https://www.youtube.com/@MorningKombat;168K;french
@Labotaniqueducoeur;https://www.youtube.com/@Labotaniqueducoeur;19,5K;french
@Clubdevaleur;https://www.youtube.com/@Clubdevaleur;20,5K;french
@enfants_jp;https://www.youtube.com/@enfants_jp;20K;french
@videosmoviesbebebabyatfale9760;https://www.youtube.com/@videosmoviesbebebabyatfale9760;244K;french
@bouncepatrol;https://www.youtube.com/@bouncepatrol;28,3M;french
@HeyKids_fr;https://www.youtube.com/@HeyKids_fr;3,13M;french
@PeppaPigFrancaisOfficielle;https://www.youtube.com/@PeppaPigFrancaisOfficielle;3,42M;french
@pocoyofrench;https://www.youtube.com/@pocoyofrench;319K;french
@Coucoulesjouets;https://www.youtube.com/@Coucoulesjouets;34,3K;french
@ChantsChretiensPourEnfants;https://www.youtube.com/@ChantsChretiensPourEnfants;35,3K;french
@tam-tam-tv;https://www.youtube.com/@tam-tam-tv;357K;french
@videosmoviesbebebabyatfale5979;https://www.youtube.com/@videosmoviesbebebabyatfale5979;388K;french
@jesuisundinosaur;https://www.youtube.com/@jesuisundinosaur;39,1K;french
@LittleAngelFrancais;https://www.youtube.com/@LittleAngelFrancais;4,84M;french
@lesenfantsdespersonnalites5038;https://www.youtube.com/@lesenfantsdespersonnalites5038;43,1K;french
@korraobidi;https://www.youtube.com/@korraobidi;430K;french
@MagicFingersArt;https://www.youtube.com/@MagicFingersArt;5,09M;french
@franceinfo;https://www.youtube.com/@franceinfo;530K;french
@PowerRangersEnfantsOfficielle;https://www.youtube.com/@PowerRangersEnfantsOfficielle;580K;french
@BabyFirstTVFrancais;https://www.youtube.com/@BabyFirstTVFrancais;61,7K;french
@tannyenfrancais;https://www.youtube.com/@tannyenfrancais;65,5K;french
@ragna-rock1012;https://www.youtube.com/@ragna-rock1012;69K;french
@PSG;https://www.youtube.com/@PSG;7,38M;french
@EnfantsSagesProduction;https://www.youtube.com/@EnfantsSagesProduction;7,9K;french
@EnfantsdelEst;https://www.youtube.com/@EnfantsdelEst;74,1K;french
@FrenchCartoons;https://www.youtube.com/@FrenchCartoons;785K;french
@lesenfantsdemarie;https://www.youtube.com/@lesenfantsdemarie;8,8K;french
@TOUSLESENFANTS;https://www.youtube.com/@TOUSLESENFANTS;82,7K;french
@InvestirAuPays;https://www.youtube.com/@InvestirAuPays;885K;french
@thegrimstv;https://www.youtube.com/@thegrimstv;977K;french
@natgeokids;https://www.youtube.com/@natgeokids;990K;french
@SimonSuperlapin;https://www.youtube.com/@SimonSuperlapin;990K;french
