channel name;channel url;subscribers;language
@alexandnastya-laguanak-anak;https://www.youtube.com/@alexandnastya-laguanak-anak;1,02M;indonesian
@CocodanNana;https://www.youtube.com/@CocodanNana;1,04M;indonesian
@AnakAgungDuwiArsana;https://www.youtube.com/@AnakAgungDuwiArsana;1,04M;indonesian
@nokgita;https://www.youtube.com/@nokgita;1,13M;indonesian
@UnboxingMainanAnak;https://www.youtube.com/@UnboxingMainanAnak;1,16M;indonesian
@Pinkfong_Indonesian;https://www.youtube.com/@Pinkfong_Indonesian;1,1M;indonesian
@LittleWorldIndonesia;https://www.youtube.com/@LittleWorldIndonesia;1,24M;indonesian
@rumah.belajaranak;https://www.youtube.com/@rumah.belajaranak;1,24M;indonesian
@RiriCeritaAnakInteraktif;https://www.youtube.com/@RiriCeritaAnakInteraktif;1,45M;indonesian
@MEDIAMAINANANAK420;https://www.youtube.com/@MEDIAMAINANANAK420;1,47K;indonesian
@SHANTY-DI-CHINA;https://www.youtube.com/@SHANTY-DI-CHINA;1,55M;indonesian
@oliviasusanto04;https://www.youtube.com/@oliviasusanto04;1,62M;indonesian
@oliviasusanto04;https://www.youtube.com/@oliviasusanto04;1,62M;indonesian
@BabyBoxIndonesia;https://www.youtube.com/@BabyBoxIndonesia;1,68M;indonesian
@BabyBoxIndonesia;https://www.youtube.com/@BabyBoxIndonesia;1,68M;indonesian
@anakbaba;https://www.youtube.com/@anakbaba;1,96M;indonesian
@KartunAnakCVZANIMATE;https://www.youtube.com/@KartunAnakCVZANIMATE;10,2K;indonesian
@dreamworks-kartununtukanak4608;https://www.youtube.com/@dreamworks-kartununtukanak4608;10,6K;indonesian
@vokaliskids;https://www.youtube.com/@vokaliskids;10,8K;indonesian
@FarmeesMalaysia;https://www.youtube.com/@FarmeesMalaysia;103K;indonesian
@KidsTvDongengCeritaIndonesia;https://www.youtube.com/@KidsTvDongengCeritaIndonesia;104K;indonesian
@athaanakkolong1544;https://www.youtube.com/@athaanakkolong1544;11,1K;indonesian
@babalilitata;https://www.youtube.com/@babalilitata;11,3M;indonesian
@LittleAngelIndonesia;https://www.youtube.com/@LittleAngelIndonesia;11,9M;indonesian
@channelanaksholeh;https://www.youtube.com/@channelanaksholeh;110K;indonesian
@smurfbahasaindonesia8741;https://www.youtube.com/@smurfbahasaindonesia8741;118K;indonesian
@TayoBahasaIndonesia;https://www.youtube.com/@TayoBahasaIndonesia;12,2M;indonesian
@TALENTAANAKTERANG;https://www.youtube.com/@TALENTAANAKTERANG;12,3K;indonesian
@kompilasi-lagu-anak-anak;https://www.youtube.com/@kompilasi-lagu-anak-anak;12,6K;indonesian
@AnakeSDe;https://www.youtube.com/@AnakeSDe;122K;indonesian
@Baby_Zoo_INDONESIAN;https://www.youtube.com/@Baby_Zoo_INDONESIAN;128K;indonesian
@dianaromaind;https://www.youtube.com/@dianaromaind;13,3M;indonesian
@ANAKJAJANdiary;https://www.youtube.com/@ANAKJAJANdiary;14,1K;indonesian
@KakSetoSahabatAnak;https://www.youtube.com/@KakSetoSahabatAnak;14,5K;indonesian
