channel name;channel url;subscribers;language
@coconatchan_1;https://www.youtube.com/@coconatchan_1;1,11M;japanese
@hayayabo;https://www.youtube.com/@hayayabo;1,14M;japanese
@natsume_sanchi;https://www.youtube.com/@natsume_sanchi;1,15M;japanese
@PAWPatrolJapan;https://www.youtube.com/@PAWPatrolJapan;1,27M;japanese
@mommywolf;https://www.youtube.com/@mommywolf;1,31M;japanese
@LittleAngelJapanese;https://www.youtube.com/@LittleAngelJapanese;1,33M;japanese
@tamamyyyyy;https://www.youtube.com/@tamamyyyyy;1,74M;japanese
@TRexRanchJapanese;https://www.youtube.com/@TRexRanchJapanese;11,2K;japanese
@saitamachildrenszoo8712;https://www.youtube.com/@saitamachildrenszoo8712;11,6K;japanese
@haldion88;https://www.youtube.com/@haldion88;11,6K;japanese
@kamisamagamierukodomotati;https://www.youtube.com/@kamisamagamierukodomotati;114K;japanese
@TERU_kosodate;https://www.youtube.com/@TERU_kosodate;114K;japanese
@user-nm1gb4hh4w;https://www.youtube.com/@user-nm1gb4hh4w;12,4K;japanese
@SeegiKawaii;https://www.youtube.com/@SeegiKawaii;12,8K;japanese
@storemanager.children;https://www.youtube.com/@storemanager.children;13,3K;japanese
@chichitoko-bento;https://www.youtube.com/@chichitoko-bento;130K;japanese
@sister_ena;https://www.youtube.com/@sister_ena;14,6K;japanese
@puffsky2833;https://www.youtube.com/@puffsky2833;15,5K;japanese
@penchannel;https://www.youtube.com/@penchannel;150K;japanese
@user-do8dy5gf7c;https://www.youtube.com/@user-do8dy5gf7c;16,7K;japanese
@IncrediTales_Japanese;https://www.youtube.com/@IncrediTales_Japanese;17,3K;japanese
@TV-fk7rc;https://www.youtube.com/@TV-fk7rc;17,8K;japanese
@user-jp8qu7wj7h;https://www.youtube.com/@user-jp8qu7wj7h;170K;japanese
@MeowMiFamilyShowJP;https://www.youtube.com/@MeowMiFamilyShowJP;178K;japanese
@WildBrainJapanese;https://www.youtube.com/@WildBrainJapanese;1M;japanese
@SuperJoJoJP;https://www.youtube.com/@SuperJoJoJP;2,31M;japanese
@gokubuto;https://www.youtube.com/@gokubuto;228K;japanese
@migihayamikohaku;https://www.youtube.com/@migihayamikohaku;23,2K;japanese
@haconori_cotori;https://www.youtube.com/@haconori_cotori;23K;japanese
@BingJapan;https://www.youtube.com/@BingJapan;24,1K;japanese
@poli_jp;https://www.youtube.com/@poli_jp;24,4K;japanese
@ucyuniikucodomo;https://www.youtube.com/@ucyuniikucodomo;25,1K;japanese
@PororoJapanese;https://www.youtube.com/@PororoJapanese;260K;japanese
@fishinkidsdaiki5083;https://www.youtube.com/@fishinkidsdaiki5083;27,9K;japanese
@user-ls1tt6kl6s;https://www.youtube.com/@user-ls1tt6kl6s;29,1K;japanese
@funachan3kidsmom;https://www.youtube.com/@funachan3kidsmom;29,9K;japanese
@nippon-kibou;https://www.youtube.com/@nippon-kibou;30,9K;japanese
@addy_ch;https://www.youtube.com/@addy_ch;32,7K;japanese
@bilingualbaby-english;https://www.youtube.com/@bilingualbaby-english;354K;japanese
@BabyBusJP;https://www.youtube.com/@BabyBusJP;4,79M;japanese
@user-bm1ud8xw1p;https://www.youtube.com/@user-bm1ud8xw1p;40,6K;japanese
@thatgamecompanyJP;https://www.youtube.com/@thatgamecompanyJP;42,8K;japanese
@nakayoshidaikazoku;https://www.youtube.com/@nakayoshidaikazoku;453K;japanese
@AYUKURUKIRAKIRATVTV;https://www.youtube.com/@AYUKURUKIRAKIRATVTV;46,8K;japanese
@haremama;https://www.youtube.com/@haremama;489K;japanese
@kokomichan9;https://www.youtube.com/@kokomichan9;5,15K;japanese
@takeuchirikiya;https://www.youtube.com/@takeuchirikiya;5,15K;japanese
