channel name;channel url;subscribers;language
@JunyTonyKO;https://www.youtube.com/@JunyTonyKO;1,22M;korean
@kigletv_ko;https://www.youtube.com/@kigletv_ko;1,57M;korean
@LittleAngelKorean;https://www.youtube.com/@LittleAngelKorean;1,58M;korean
@genikids_kor;https://www.youtube.com/@genikids_kor;1,74M;korean
@uzuhama;https://www.youtube.com/@uzuhama;1,77M;korean
@Bebefinn_Korean;https://www.youtube.com/@Bebefinn_Korean;1,82M;korean
@oryunchurch;https://www.youtube.com/@oryunchurch;102K;korean
@gjbox0301;https://www.youtube.com/@gjbox0301;105K;korean
@seobyeok_child;https://www.youtube.com/@seobyeok_child;10K;korean
@gilbutkid;https://www.youtube.com/@gilbutkid;11,3K;korean
@Pinkfong_Korean;https://www.youtube.com/@Pinkfong_Korean;11,3M;korean
@kidstv_official;https://www.youtube.com/@kidstv_official;11,4K;korean
@NATV_korea;https://www.youtube.com/@NATV_korea;131K;korean
@BobTheTrainKorea;https://www.youtube.com/@BobTheTrainKorea;132K;korean
@woorikidss;https://www.youtube.com/@woorikidss;147K;korean
@MBC-dm8xm;https://www.youtube.com/@MBC-dm8xm;151K;korean
@BluPhantKidsTVinKorean;https://www.youtube.com/@BluPhantKidsTVinKorean;17,8K;korean
@basiccommunitychurch;https://www.youtube.com/@basiccommunitychurch;170K;korean
@cocobicolors_ko;https://www.youtube.com/@cocobicolors_ko;18,1K;korean
@cocobitoys_ko;https://www.youtube.com/@cocobitoys_ko;181K;korean
@musiclifebalance9851;https://www.youtube.com/@musiclifebalance9851;196K;korean
@CarrieAndToys;https://www.youtube.com/@CarrieAndToys;2,04M;korean
@kebikids_official;https://www.youtube.com/@kebikids_official;2,05M;korean
@ryujehong1;https://www.youtube.com/@ryujehong1;206K;korean
@ezreal977;https://www.youtube.com/@ezreal977;21,4K;korean
@8LJAYWALKING;https://www.youtube.com/@8LJAYWALKING;210K;korean
@user-hy7dg8ec1q;https://www.youtube.com/@user-hy7dg8ec1q;215K;korean
@tv.6773;https://www.youtube.com/@tv.6773;227K;korean
@donlinee;https://www.youtube.com/@donlinee;28,8K;korean
@Drunk_MoodLamp;https://www.youtube.com/@Drunk_MoodLamp;293K;korean
@HeyJini;https://www.youtube.com/@HeyJini;3,83M;korean
@BundangWooriChurch;https://www.youtube.com/@BundangWooriChurch;315K;korean
@kagwang;https://www.youtube.com/@kagwang;349K;korean
@lottyfriendsKR;https://www.youtube.com/@lottyfriendsKR;349K;korean
@JesusMary_Catholic;https://www.youtube.com/@JesusMary_Catholic;36,8K;korean
@LimeAndToys;https://www.youtube.com/@LimeAndToys;4,5M;korean
@MayaandMaryKor;https://www.youtube.com/@MayaandMaryKor;4,78M;korean
@CompassionKR;https://www.youtube.com/@CompassionKR;41,2K;korean
@chirisu;https://www.youtube.com/@chirisu;48,8K;korean
@lemongstory;https://www.youtube.com/@lemongstory;5,05K;korean
@IrvineOnnuriChurch;https://www.youtube.com/@IrvineOnnuriChurch;5,12K;korean
@user-lt8mq7oh7o;https://www.youtube.com/@user-lt8mq7oh7o;5,13K;korean
@chilllpan_;https://www.youtube.com/@chilllpan_;5,37K;korean
@BabyBusKo;https://www.youtube.com/@BabyBusKo;5,43M;korean
@Shingilchurch;https://www.youtube.com/@Shingilchurch;5,46K;korean
@user-cl8im6qn6v;https://www.youtube.com/@user-cl8im6qn6v;5,47K;korean
@nlcy2006;https://www.youtube.com/@nlcy2006;5,53K;korean
@user-dd8fg2lm4l;https://www.youtube.com/@user-dd8fg2lm4l;5,5K;korean
@cefkorea1;https://www.youtube.com/@cefkorea1;5,6K;korean
@cokggiri;https://www.youtube.com/@cokggiri;52,9K;korean
@newsoundchurch;https://www.youtube.com/@newsoundchurch;6,12K;korean
@yumkwang_official;https://www.youtube.com/@yumkwang_official;6,18K;korean
@2017scijoy;https://www.youtube.com/@2017scijoy;6,19K;korean
@TV-ts2bc;https://www.youtube.com/@TV-ts2bc;6,67K;korean
@kimjunpyo;https://www.youtube.com/@kimjunpyo;610K;korean
@matsangmu;https://www.youtube.com/@matsangmu;639K;korean
@japster1980;https://www.youtube.com/@japster1980;67,9K;korean
@wooridlechurch;https://www.youtube.com/@wooridlechurch;68,2K;korean
@Froebelofficial;https://www.youtube.com/@Froebelofficial;7,05K;korean
@_TV-hp1rx;https://www.youtube.com/@_TV-hp1rx;7,44K;korean
@MariAndKids;https://www.youtube.com/@MariAndKids;7,64M;korean
@GODpeopleMall;https://www.youtube.com/@GODpeopleMall;7,84K;korean
@kidskiki;https://www.youtube.com/@kidskiki;81,1K;korean
@5MinuteCraftsPlay_korean;https://www.youtube.com/@5MinuteCraftsPlay_korean;822K;korean
@braintv2377;https://www.youtube.com/@braintv2377;9,73K;korean
@TV-cs2pp;https://www.youtube.com/@TV-cs2pp;9,79K;korean
@toctocsia;https://www.youtube.com/@toctocsia;915K;korean
@LittleWorldKorean;https://www.youtube.com/@LittleWorldKorean;92,6K;korean
@ChildfundKorea;https://www.youtube.com/@ChildfundKorea;94,1K;korean
