channel name;channel url;subscribers;language
@AmirHamza40041;https://www.youtube.com/@AmirHamza40041;10,8K;persian
@DonyayeAnimationExtras;https://www.youtube.com/@DonyayeAnimationExtras;11,4K;persian
@arvinzed12;https://www.youtube.com/@arvinzed12;12,7K;persian
@AliRedox;https://www.youtube.com/@AliRedox;12,9K;persian
@SonicOctavesKidsPersian;https://www.youtube.com/@SonicOctavesKidsPersian;12,9K;persian
@MariaTV2;https://www.youtube.com/@MariaTV2;15,7K;persian
@AmooTheoryOfficial;https://www.youtube.com/@AmooTheoryOfficial;158K;persian
@Mohmad_javid;https://www.youtube.com/@Mohmad_javid;16,5K;persian
@MRLALAY;https://www.youtube.com/@MRLALAY;17,1K;persian
@farsifriend;https://www.youtube.com/@farsifriend;179K;persian
@ehsanboxter;https://www.youtube.com/@ehsanboxter;18,5K;persian
@KhanoomKhorshid;https://www.youtube.com/@KhanoomKhorshid;20,4K;persian
@rdivax;https://www.youtube.com/@rdivax;299K;persian
@BadBand2021;https://www.youtube.com/@BadBand2021;5,63K;persian
@MEHDIOMEGAA;https://www.youtube.com/@MEHDIOMEGAA;6,24K;persian
@FantasyZone_y;https://www.youtube.com/@FantasyZone_y;60,7K;persian
@TorajShow;https://www.youtube.com/@TorajShow;69,9K;persian
@PeymanSPYT;https://www.youtube.com/@PeymanSPYT;8,12K;persian
@BBCNewsPersian;https://www.youtube.com/@BBCNewsPersian;864K;persian
@TG_Speaker;https://www.youtube.com/@TG_Speaker;9,88K;persian
