channel name;channel url;subscribers;language
@CriancasDT;https://www.youtube.com/@CriancasDT;1,02M;portuguese
@criancasinteligentes;https://www.youtube.com/@criancasinteligentes;1,05M;portuguese
@KidsChannelPortugues;https://www.youtube.com/@KidsChannelPortugues;1,12M;portuguese
@CartoonsinPortuguese;https://www.youtube.com/@CartoonsinPortuguese;1,23M;portuguese
@BoomBuddiesPortugues;https://www.youtube.com/@BoomBuddiesPortugues;1,2M;portuguese
@TVparacriancas;https://www.youtube.com/@TVparacriancas;1,32M;portuguese
@EuaPatroaeasCriancasTV;https://www.youtube.com/@EuaPatroaeasCriancasTV;1,45M;portuguese
@BobTheTrainPortuguese;https://www.youtube.com/@BobTheTrainPortuguese;1,5M;portuguese
@SuperSupremesPortugues;https://www.youtube.com/@SuperSupremesPortugues;1,65M;portuguese
@leaozinhovoador;https://www.youtube.com/@leaozinhovoador;1,75M;portuguese
@aquibebescantam;https://www.youtube.com/@aquibebescantam;1,88M;portuguese
@DanielTigreemPortugues;https://www.youtube.com/@DanielTigreemPortugues;1,89M;portuguese
@BabyBusPT;https://www.youtube.com/@BabyBusPT;10M;portuguese
@evangelhoparacriancas9193;https://www.youtube.com/@evangelhoparacriancas9193;11,5K;portuguese
@VidadeCriancas;https://www.youtube.com/@VidadeCriancas;12,6K;portuguese
@PeppaPigPortuguesOficial;https://www.youtube.com/@PeppaPigPortuguesOficial;13,5M;portuguese
@AsAventurasdeSunnyBunnies;https://www.youtube.com/@AsAventurasdeSunnyBunnies;141K;portuguese
@LittleAngelBrasil;https://www.youtube.com/@LittleAngelBrasil;15,3M;portuguese
@feliz7kids;https://www.youtube.com/@feliz7kids;154K;portuguese
@MinisterioInfantil;https://www.youtube.com/@MinisterioInfantil;185K;portuguese
@Mashaurso;https://www.youtube.com/@Mashaurso;19,7M;portuguese
@SPCriancas;https://www.youtube.com/@SPCriancas;199K;portuguese
@campodascriancas-kidscampb7421;https://www.youtube.com/@campodascriancas-kidscampb7421;2,04M;portuguese
@cleoecuquin;https://www.youtube.com/@cleoecuquin;2,86M;portuguese
@LeothetruckinPortuguese;https://www.youtube.com/@LeothetruckinPortuguese;2,86M;portuguese
@BlippiPortugues;https://www.youtube.com/@BlippiPortugues;2,91M;portuguese
@JoseComilaoTotoy;https://www.youtube.com/@JoseComilaoTotoy;20,7M;portuguese
@MissaoComCriancasBelem;https://www.youtube.com/@MissaoComCriancasBelem;21,5K;portuguese
@olaCeliomusicasinfantis;https://www.youtube.com/@olaCeliomusicasinfantis;240K;portuguese
@Cancoesparacriancas;https://www.youtube.com/@Cancoesparacriancas;247K;portuguese
@TransformersCriancasOficial;https://www.youtube.com/@TransformersCriancasOficial;256K;portuguese
@kentoelefante;https://www.youtube.com/@kentoelefante;257K;portuguese
@EducacaoInfantilemFoco;https://www.youtube.com/@EducacaoInfantilemFoco;261K;portuguese
@acasamagicadagabby;https://www.youtube.com/@acasamagicadagabby;269K;portuguese
@ZigaluZigalu;https://www.youtube.com/@ZigaluZigalu;3,04M;portuguese
@MorphleBrasil;https://www.youtube.com/@MorphleBrasil;3,4M;portuguese
@Pinkfong_Portuguese;https://www.youtube.com/@Pinkfong_Portuguese;3,56M;portuguese
@euapatroaeascriancasbrasil2479;https://www.youtube.com/@euapatroaeascriancasbrasil2479;30,3K;portuguese
@JogosparaCriancasTV;https://www.youtube.com/@JogosparaCriancasTV;30,9K;portuguese
@ninjakidz_tv_portugues;https://www.youtube.com/@ninjakidz_tv_portugues;328K;portuguese
@SharkAcademy_Portuguese;https://www.youtube.com/@SharkAcademy_Portuguese;367K;portuguese
@SheriffLabradorPT;https://www.youtube.com/@SheriffLabradorPT;392K;portuguese
@daniellafdefaria;https://www.youtube.com/@daniellafdefaria;395K;portuguese
@ShowdaFamiliaGato;https://www.youtube.com/@ShowdaFamiliaGato;397K;portuguese
@musicas-infantis;https://www.youtube.com/@musicas-infantis;401K;portuguese
@PaulaFrati;https://www.youtube.com/@PaulaFrati;45,5K;portuguese
@ograndelivro;https://www.youtube.com/@ograndelivro;477K;portuguese
@BobEsponjaemPortugues;https://www.youtube.com/@BobEsponjaemPortugues;5,16M;portuguese
@gmcjl;https://www.youtube.com/@gmcjl;5,25K;portuguese
@KidsTvPortugues;https://www.youtube.com/@KidsTvPortugues;5,41M;portuguese
@decriancaparacrianca;https://www.youtube.com/@decriancaparacrianca;55,7K;portuguese
@praalinesantosq;https://www.youtube.com/@praalinesantosq;6,07K;portuguese
@pocoyomusicainfantil;https://www.youtube.com/@pocoyomusicainfantil;635K;portuguese
@PowerRangersCriancasOficial;https://www.youtube.com/@PowerRangersCriancasOficial;657K;portuguese
@BabyFirstBrasil;https://www.youtube.com/@BabyFirstBrasil;663K;portuguese
@abruxinhaTatty;https://www.youtube.com/@abruxinhaTatty;667K;portuguese
@MinhaBibliaEuVouLer;https://www.youtube.com/@MinhaBibliaEuVouLer;67K;portuguese
@BabyAlivePortugueseOficial;https://www.youtube.com/@BabyAlivePortugueseOficial;735K;portuguese
@bibliapracriancasbr;https://www.youtube.com/@bibliapracriancasbr;8,24K;portuguese
@universidadedascriancasufm1312;https://www.youtube.com/@universidadedascriancasufm1312;8,4K;portuguese
@mundodascriancas8622;https://www.youtube.com/@mundodascriancas8622;8,92K;portuguese
@Baby_Zoo_PORTUGUESE;https://www.youtube.com/@Baby_Zoo_PORTUGUESE;909K;portuguese
@cocobi_pt;https://www.youtube.com/@cocobi_pt;91,5K;portuguese
