channel name;channel url;subscribers;language
@user-rg6zg2sb2f;https://www.youtube.com/@user-rg6zg2sb2f;1,03M;russian
@wolfoorussian-1425;https://www.youtube.com/@wolfoorussian-1425;1,03M;russian
@radiq.barber;https://www.youtube.com/@radiq.barber;1,05M;russian
@user-qt3sd1ld9h;https://www.youtube.com/@user-qt3sd1ld9h;1,09M;russian
@SandboxRU;https://www.youtube.com/@SandboxRU;1,18M;russian
@kidsaclub;https://www.youtube.com/@kidsaclub;1,26M;russian
@deti_bela;https://www.youtube.com/@deti_bela;1,26M;russian
@user-zc4zl7bv8j;https://www.youtube.com/@user-zc4zl7bv8j;1,27M;russian
@user-cv4rp5vd5d;https://www.youtube.com/@user-cv4rp5vd5d;1,29M;russian
@UmnyeDeti;https://www.youtube.com/@UmnyeDeti;1,45M;russian
@user-in6ur6ki2o;https://www.youtube.com/@user-in6ur6ki2o;1,5M;russian
@kornilov-online;https://www.youtube.com/@kornilov-online;1,63M;russian
@PrivetBianca;https://www.youtube.com/@PrivetBianca;1,65M;russian
@lflche5717;https://www.youtube.com/@lflche5717;1,6M;russian
@Icetheflame;https://www.youtube.com/@Icetheflame;1,72M;russian
@Detyiroditeli;https://www.youtube.com/@Detyiroditeli;1,76M;russian
@user-cn6ie4jt8r;https://www.youtube.com/@user-cn6ie4jt8r;1,77M;russian
@user-um7qv4zs1l;https://www.youtube.com/@user-um7qv4zs1l;1,78M;russian
@user-gm5jj4lp1r;https://www.youtube.com/@user-gm5jj4lp1r;1,78M;russian
@user-yc2lj8fh9w;https://www.youtube.com/@user-yc2lj8fh9w;1,84M;russian
@No-gr8lm;https://www.youtube.com/@No-gr8lm;1,93M;russian
@sakhaasia;https://www.youtube.com/@sakhaasia;1,99M;russian
@fhmoscowplus6359;https://www.youtube.com/@fhmoscowplus6359;10,3M;russian
@KapukiLive;https://www.youtube.com/@KapukiLive;105M;russian
@TeremokSongs;https://www.youtube.com/@TeremokSongs;12,3M;russian
@novoseltsev;https://www.youtube.com/@novoseltsev;128M;russian
@dsl_nsk;https://www.youtube.com/@dsl_nsk;13,1M;russian
@novotv_NVKZ;https://www.youtube.com/@novotv_NVKZ;13,9M;russian
@childrenscience;https://www.youtube.com/@childrenscience;135M;russian
@kratkiy_pereskaz;https://www.youtube.com/@kratkiy_pereskaz;138M;russian
@user-wn9il6nl5l;https://www.youtube.com/@user-wn9il6nl5l;13M;russian
@_skzoo_20;https://www.youtube.com/@_skzoo_20;14,1M;russian
@DetiMatritsy;https://www.youtube.com/@DetiMatritsy;14,4M;russian
@dyslexia.russia;https://www.youtube.com/@dyslexia.russia;15,5M;russian
@CleverCars;https://www.youtube.com/@CleverCars;156M;russian
@user-ql9is6yb9m;https://www.youtube.com/@user-ql9is6yb9m;160M;russian
@Kollektivfortuna;https://www.youtube.com/@Kollektivfortuna;165M;russian
@fairytales_rus;https://www.youtube.com/@fairytales_rus;166M;russian
@foxsongsforkids3317;https://www.youtube.com/@foxsongsforkids3317;171M;russian
@mchildrenru;https://www.youtube.com/@mchildrenru;19,2M;russian
@PunkMonkPM;https://www.youtube.com/@PunkMonkPM;193M;russian
@user-dj3gt6pf4z;https://www.youtube.com/@user-dj3gt6pf4z;2,12M;russian
@natashainamericalife;https://www.youtube.com/@natashainamericalife;2,17M;russian
@autismkorrekciya.online;https://www.youtube.com/@autismkorrekciya.online;2,2M;russian
@user-yu1kd8ob6j;https://www.youtube.com/@user-yu1kd8ob6j;2,32M;russian
