channel name;channel url;subscribers;language
@SharkAcademy_Spanish;https://www.youtube.com/@SharkAcademy_Spanish;1,16M;spanish
@los-pollitos;https://www.youtube.com/@los-pollitos;1,1M;spanish
@billionsurprisetoys_spanish;https://www.youtube.com/@billionsurprisetoys_spanish;1,31M;spanish
@SuperSupremesEspanol;https://www.youtube.com/@SuperSupremesEspanol;1,34M;spanish
@BobelTrenEspanol;https://www.youtube.com/@BobelTrenEspanol;1,39M;spanish
@JuniorSquadEspanolLatino;https://www.youtube.com/@JuniorSquadEspanolLatino;1,39M;spanish
@TRexRanchEspanol;https://www.youtube.com/@TRexRanchEspanol;1,41M;spanish
@DondeEstaChicky;https://www.youtube.com/@DondeEstaChicky;1,42M;spanish
@Spanishvideosforkids;https://www.youtube.com/@Spanishvideosforkids;1,68M;spanish
@abebescontentos;https://www.youtube.com/@abebescontentos;1,72M;spanish
@DaveandAvaCancionesInfantiles;https://www.youtube.com/@DaveandAvaCancionesInfantiles;1,89M;spanish
@JunyTonyES;https://www.youtube.com/@JunyTonyES;1,97M;spanish
@grandesabcparaninos181;https://www.youtube.com/@grandesabcparaninos181;1,98M;spanish
@meditacionesinfantiles;https://www.youtube.com/@meditacionesinfantiles;10,2K;spanish
@fairytales_spa;https://www.youtube.com/@fairytales_spa;104K;spanish
@ElRincondelosNinos1;https://www.youtube.com/@ElRincondelosNinos1;11,3K;spanish
@cleoycuquin;https://www.youtube.com/@cleoycuquin;11,5M;spanish
@amigodelosninos9909;https://www.youtube.com/@amigodelosninos9909;11,7K;spanish
@artdoodlesparaninos;https://www.youtube.com/@artdoodlesparaninos;110K;spanish
@oncetvninosoficial9986;https://www.youtube.com/@oncetvninosoficial9986;112K;spanish
@PeliculasCristianasInfantiles_;https://www.youtube.com/@PeliculasCristianasInfantiles_;113K;spanish
@carrosparaninos8674;https://www.youtube.com/@carrosparaninos8674;113K;spanish
@soloninos2088;https://www.youtube.com/@soloninos2088;114K;spanish
@MisterMakerCSP;https://www.youtube.com/@MisterMakerCSP;118K;spanish
@MilikiFamily_Spanish;https://www.youtube.com/@MilikiFamily_Spanish;118K;spanish
@Pinkfong_Spanish;https://www.youtube.com/@Pinkfong_Spanish;12,1M;spanish
@NinoDoctorTepeaca;https://www.youtube.com/@NinoDoctorTepeaca;12,7K;spanish
@pocoyo;https://www.youtube.com/@pocoyo;12,7M;spanish
@ninosdeahora1;https://www.youtube.com/@ninosdeahora1;123K;spanish
@HeidiandZidaneEsp;https://www.youtube.com/@HeidiandZidaneEsp;13,2M;spanish
