channel name;channel url;subscribers;laguage 
@listenbeatsmusic;https://www.youtube.com/@listenbeatsmusic;59,2K;simple chinese
@ZJSTV-Music;https://www.youtube.com/@ZJSTV-Music;1,85M;simple chinese
@MangoTV-Music;https://www.youtube.com/@MangoTV-Music;2,27M;simple chinese
@-relaxingmusic9786;https://www.youtube.com/@-relaxingmusic9786;111K;simple chinese
@yinyuejiang;https://www.youtube.com/@yinyuejiang;415K;simple chinese
@hififashaomusic;https://www.youtube.com/@hififashaomusic;48,1K;simple chinese
@user-mu7sc9jk5f;https://www.youtube.com/@user-mu7sc9jk5f;27K;simple chinese
@2olive153;https://www.youtube.com/@2olive153;779K;simple chinese
@user-ny5md6fd5t;https://www.youtube.com/@user-ny5md6fd5t;11,2K;simple chinese
@Classical_Music798;https://www.youtube.com/@Classical_Music798;5,02K;simple chinese
@user-sj2tx8nw7p;https://www.youtube.com/@user-sj2tx8nw7p;5,61K;simple chinese
@AaaChoo;https://www.youtube.com/@AaaChoo;9,63K;simple chinese
@user-ow9ce2yj3w;https://www.youtube.com/@user-ow9ce2yj3w;56,5K;simple chinese
@guzhengchinesemusic;https://www.youtube.com/@guzhengchinesemusic;28,4K;simple chinese
@sankamusic2023;https://www.youtube.com/@sankamusic2023;3,02K;simple chinese
@Chinesetraditiona6822;https://www.youtube.com/@Chinesetraditiona6822;5,32K;simple chinese
@meowmusicsunny;https://www.youtube.com/@meowmusicsunny;21,8K;simple chinese
@ericmusicchanneleric4943;https://www.youtube.com/@ericmusicchanneleric4943;10,6K;simple chinese
@bannermusic4294;https://www.youtube.com/@bannermusic4294;10,1K;simple chinese
@gem0816lyrics;https://www.youtube.com/@gem0816lyrics;8,34K;simple chinese
@dakayinyuexiu;https://www.youtube.com/@dakayinyuexiu;21,2K;simple chinese
@cdmuzikcds7125;https://www.youtube.com/@cdmuzikcds7125;10,2K;simple chinese
@buddhistsongs572;https://www.youtube.com/@buddhistsongs572;35,9K;simple chinese
@bestrelaxmusic-;https://www.youtube.com/@bestrelaxmusic-;38K;simple chinese
@eb8410;https://www.youtube.com/@eb8410;74K;simple chinese
@-chinesemusic1316;https://www.youtube.com/@-chinesemusic1316;68,7K;simple chinese
@BuddhistMusic15;https://www.youtube.com/@BuddhistMusic15;139K;simple chinese
@OddbodsAndFriends;https://www.youtube.com/@OddbodsAndFriends;5,76M;simple chinese
@LiveNow24H;https://www.youtube.com/@LiveNow24H;364K;simple chinese
