channel name;channel url;subscribers;language
@LaBelleMusique;https://www.youtube.com/@LaBelleMusique;1,72M;french
@TheGoodLiferadio;https://www.youtube.com/@TheGoodLiferadio;811K;french
@musiqueromantique3667;https://www.youtube.com/@musiqueromantique3667;403K;french
@MusiqueCharmante;https://www.youtube.com/@MusiqueCharmante;43,6K;french
@Musique-pe2dy;https://www.youtube.com/@Musique-pe2dy;172K;french
@RelaxanteMusique;https://www.youtube.com/@RelaxanteMusique;1,45M;french
@Musique-Head;https://www.youtube.com/@Musique-Head;10,1K;french
@HitsMeilleureMusique;https://www.youtube.com/@HitsMeilleureMusique;62,4K;french
@musiclassroomcoursdemusiqu7414;https://www.youtube.com/@musiclassroomcoursdemusiqu7414;120K;french
@DanielaDeFrance;https://www.youtube.com/@DanielaDeFrance;10,4K;french
@RomantiqueMusique_dreamlin;https://www.youtube.com/@RomantiqueMusique_dreamlin;312K;french
@musiquepourtoi3979;https://www.youtube.com/@musiquepourtoi3979;32,7K;french
@likemusique3785;https://www.youtube.com/@likemusique3785;13,8K;french
@musiquepourtoi3979;https://www.youtube.com/@musiquepourtoi3979;32,7K;french
@likemusique3785;https://www.youtube.com/@likemusique3785;13,8K;french
@MusiqueDintroyoutubeurs;https://www.youtube.com/@MusiqueDintroyoutubeurs;11,7K;french
@francaismusique3126;https://www.youtube.com/@francaismusique3126;6,38K;french
@celinedionwebmusic;https://www.youtube.com/@celinedionwebmusic;8,99K;french
@akdmusiquemali2798;https://www.youtube.com/@akdmusiquemali2798;19K;french
@musiqueeternelle2125;https://www.youtube.com/@musiqueeternelle2125;10,1K;french
@toutelamusiqueclassique6627;https://www.youtube.com/@toutelamusiqueclassique6627;11,5K;french
@liledelamusique1593;https://www.youtube.com/@liledelamusique1593;7,88K;french
@musiquefrance3049;https://www.youtube.com/@musiquefrance3049;49K;french
@musiquerelaxante1649;https://www.youtube.com/@musiquerelaxante1649;12,3K;french
@vieillesmusique4571;https://www.youtube.com/@vieillesmusique4571;16,6K;french
@blackmusiquemixtv;https://www.youtube.com/@blackmusiquemixtv;10,4K;french
@djhakoumusique3287;https://www.youtube.com/@djhakoumusique3287;8,31K;french
@musiquefrancaise9487;https://www.youtube.com/@musiquefrancaise9487;16,9K;french
@ProducteuraSucces;https://www.youtube.com/@ProducteuraSucces;44,4K;french
@collectiondemusique8850;https://www.youtube.com/@collectiondemusique8850;55,1K;french
@musiquedumonde7322;https://www.youtube.com/@musiquedumonde7322;32,1K;french
@onirik-musiquerelaxante568;https://www.youtube.com/@onirik-musiquerelaxante568;1,65K;french
@holyspiritmusique2049;https://www.youtube.com/@holyspiritmusique2049;46,7K;french
@musiquecinemaetserietelevi455;https://www.youtube.com/@musiquecinemaetserietelevi455;38,1K;french
@tous_pour_la_musique;https://www.youtube.com/@tous_pour_la_musique;19,6K;french
@musiquelyrique5860;https://www.youtube.com/@musiquelyrique5860;5,33K;french
@lamusiquedumessagedutempsd4228;https://www.youtube.com/@lamusiquedumessagedutempsd4228;8,01K;french
@radiofanfanmizik;https://www.youtube.com/@radiofanfanmizik;14,9K;french
@leksmusique;https://www.youtube.com/@leksmusique;5,06K;french
@musique-no-copyright;https://www.youtube.com/@musique-no-copyright;22,7K;french
@bonnemusique3668;https://www.youtube.com/@bonnemusique3668;74,2K;french
@talentmusique2243;https://www.youtube.com/@talentmusique2243;5,89K;french
@cieldemusique252;https://www.youtube.com/@cieldemusique252;5,29K;french
@musiqueadoration5240;https://www.youtube.com/@musiqueadoration5240;45K;french
@lamusiquerai4905;https://www.youtube.com/@lamusiquerai4905;28,1K;french
@mangoz009;https://www.youtube.com/@mangoz009;157K;french
@musiqueadoration5240;https://www.youtube.com/@musiqueadoration5240;45K;french
@pianoclassicalmusic;https://www.youtube.com/@pianoclassicalmusic;5,52K;french
