channel name;channel url;subscribers;language
@bandbaajasangeet1699;https://www.youtube.com/@bandbaajasangeet1699;11,9K;hindi
@Brijsagar.Sangeet;https://www.youtube.com/@Brijsagar.Sangeet;5,91K;hindi
@sunainadevi5213;https://www.youtube.com/@sunainadevi5213;10K;hindi
@BarsanaSangeet;https://www.youtube.com/@BarsanaSangeet;78,7K;hindi
@satgurubhaktisangeet;https://www.youtube.com/@satgurubhaktisangeet;34,7K;hindi
@MAMTA27RNEHRU;https://www.youtube.com/@MAMTA27RNEHRU;52,6K;hindi
@MAMTA27RNEHRU;https://www.youtube.com/@MAMTA27RNEHRU;52,6K;hindi
@MandsaurSangeetSandhya;https://www.youtube.com/@MandsaurSangeetSandhya;12,1K;hindi
@MandsaurSangeetSandhya;https://www.youtube.com/@MandsaurSangeetSandhya;12,1K;hindi
@anshu072;https://www.youtube.com/@anshu072;43K;hindi
@BhojpuriSangeetBirha;https://www.youtube.com/@BhojpuriSangeetBirha;134K;hindi
@bhaktinetwork-bhaktisangeet;https://www.youtube.com/@bhaktinetwork-bhaktisangeet;5,98M;hindi
@lesnyc05;https://www.youtube.com/@lesnyc05;6,19K;hindi
@bhojpuritiptop;https://www.youtube.com/@bhojpuritiptop;251K;hindi
@vashantprajapati7444;https://www.youtube.com/@vashantprajapati7444;15,4K;hindi
@singerkrantimala;https://www.youtube.com/@singerkrantimala;7,45K;hindi
@SangeetaRFilmsEntertainment;https://www.youtube.com/@SangeetaRFilmsEntertainment;55,3K;hindi
@ravanifilms1;https://www.youtube.com/@ravanifilms1;22,3K;hindi
@AlakhRecordsBhakti0;https://www.youtube.com/@AlakhRecordsBhakti0;12,8K;hindi
@hindisadmusic5631;https://www.youtube.com/@hindisadmusic5631;343K;hindi
@maabhaktidarshan9547;https://www.youtube.com/@maabhaktidarshan9547;35,4K;hindi
@KailashMusicBhojpuri;https://www.youtube.com/@KailashMusicBhojpuri;19,4K;hindi
@MagadhiRecords;https://www.youtube.com/@MagadhiRecords;40,7K;hindi
@user-gg7kf2ct6t;https://www.youtube.com/@user-gg7kf2ct6t;10,6K;hindi
@virajdeepakmusicworld;https://www.youtube.com/@virajdeepakmusicworld;37,5K;hindi
@YashviSandhya;https://www.youtube.com/@YashviSandhya;5,59K;hindi
@lpgujral;https://www.youtube.com/@lpgujral;12,4K;hindi
@ganacompany;https://www.youtube.com/@ganacompany;45K;hindi
@LovelyMusicPradeepsah;https://www.youtube.com/@LovelyMusicPradeepsah;106K;hindi
@lekaiah04;https://www.youtube.com/@lekaiah04;299K;hindi
