channel name;channel url;subscribers;language
@discomusic8506;https://www.youtube.com/@discomusic8506;1,01M;indonesian
@BeningMusicEntertainment;https://www.youtube.com/@BeningMusicEntertainment;1,05M;indonesian
@CollegeMusic;https://www.youtube.com/@CollegeMusic;1,23M;indonesian
@alexrainbirdMusic;https://www.youtube.com/@alexrainbirdMusic;1,27M;indonesian
@DgMusic-BassBoosted;https://www.youtube.com/@DgMusic-BassBoosted;1,32M;indonesian
@musicbrokers;https://www.youtube.com/@musicbrokers;1,37M;indonesian
@YouTubeMusic;https://www.youtube.com/@YouTubeMusic;1,43M;indonesian
@ATVMusic;https://www.youtube.com/@ATVMusic;1,49M;indonesian
@impactmusikindonesia;https://www.youtube.com/@impactmusikindonesia;1,58M;indonesian
@NGIZENMUSIKINDONESIA;https://www.youtube.com/@NGIZENMUSIKINDONESIA;10,3K;indonesian
@NGIZENMUSIKINDONESIA;https://www.youtube.com/@NGIZENMUSIKINDONESIA;10,3K;indonesian
@respenmusic8284;https://www.youtube.com/@respenmusic8284;10,6K;indonesian
@SoothingRelaxation;https://www.youtube.com/@SoothingRelaxation;10,6M;indonesian
@GDCMusik;https://www.youtube.com/@GDCMusik;10,7K;indonesian
@alatmusikislami;https://www.youtube.com/@alatmusikislami;10,7K;indonesian
@CeesMusik;https://www.youtube.com/@CeesMusik;10,7K;indonesian
@duabelasmusik;https://www.youtube.com/@duabelasmusik;101K;indonesian
@AmanahCiptaMusik;https://www.youtube.com/@AmanahCiptaMusik;103K;indonesian
@ChindeMusik;https://www.youtube.com/@ChindeMusik;105K;indonesian
@minimaltechnoradio;https://www.youtube.com/@minimaltechnoradio;105K;indonesian
@PolarisMusikOfficial;https://www.youtube.com/@PolarisMusikOfficial;107K;indonesian
@LadivaMusicPONOROGOchannel;https://www.youtube.com/@LadivaMusicPONOROGOchannel;10K;indonesian
@DinastyMusik;https://www.youtube.com/@DinastyMusik;11,3K;indonesian
@babalilitata;https://www.youtube.com/@babalilitata;11,3M;indonesian
@musikindonesia5423;https://www.youtube.com/@musikindonesia5423;11,6K;indonesian
@DISYA_MUSIK_Official;https://www.youtube.com/@DISYA_MUSIK_Official;11,7K;indonesian
@LittleAngelIndonesia;https://www.youtube.com/@LittleAngelIndonesia;11,8M;indonesian
@LampungSaiMusik;https://www.youtube.com/@LampungSaiMusik;111K;indonesian
@koleksimusik;https://www.youtube.com/@koleksimusik;112K;indonesian
@k_alivemusik;https://www.youtube.com/@k_alivemusik;113K;indonesian
@k_alivemusik;https://www.youtube.com/@k_alivemusik;113K;indonesian
@KopiMusik.;https://www.youtube.com/@KopiMusik.;114K;indonesian
@musikhits7710;https://www.youtube.com/@musikhits7710;114K;indonesian
@NaffMusik;https://www.youtube.com/@NaffMusik;115K;indonesian
@chmusik580;https://www.youtube.com/@chmusik580;116K;indonesian
@27MusikIndonesiaID;https://www.youtube.com/@27MusikIndonesiaID;119K;indonesian
@MusikPlaylistid19;https://www.youtube.com/@MusikPlaylistid19;12,1K;indonesian
@musikcadas9679;https://www.youtube.com/@musikcadas9679;12,3K;indonesian
@RMusikIndonesia;https://www.youtube.com/@RMusikIndonesia;12,4K;indonesian
@KawanMusikku;https://www.youtube.com/@KawanMusikku;12,5K;indonesian
@lirikmusikID;https://www.youtube.com/@lirikmusikID;12,9K;indonesian
@fantasimusik9653;https://www.youtube.com/@fantasimusik9653;12,9K;indonesian
@adyamusik;https://www.youtube.com/@adyamusik;120K;indonesian
@BANDUNGSELATANMUSIK;https://www.youtube.com/@BANDUNGSELATANMUSIK;123K;indonesian
