channel name;channel url;subscribers;language
@MusicaItaliana-es2cf;https://www.youtube.com/@MusicaItaliana-es2cf;88,6K;italian
@musicaitaliana6137;https://www.youtube.com/@musicaitaliana6137;16,7K;italian
@musicaitaliana286;https://www.youtube.com/@musicaitaliana286;17,3K;italian
@musicaitalia3806;https://www.youtube.com/@musicaitalia3806;69,7K;italian
@radioitaliaweb;https://www.youtube.com/@radioitaliaweb;153K;italian
@musicaitaliana4531;https://www.youtube.com/@musicaitaliana4531;7,86K;italian
@lecanzoni;https://www.youtube.com/@lecanzoni;5,34K;italian
@musicaitaliana344;https://www.youtube.com/@musicaitaliana344;5,9K;italian
@MusicaItaliana-lu3kt;https://www.youtube.com/@MusicaItaliana-lu3kt;11,8K;italian
@MusicaItaliana-wy5pt;https://www.youtube.com/@MusicaItaliana-wy5pt;9,34K;italian
@AllmusicitaliaIt;https://www.youtube.com/@AllmusicitaliaIt;10,3K;italian
@canzonidamoreitaliane2406;https://www.youtube.com/@canzonidamoreitaliane2406;135K;italian
@canzoniitaliana8024;https://www.youtube.com/@canzoniitaliana8024;32K;italian
@k9musicaitaliana182;https://www.youtube.com/@k9musicaitaliana182;115K;italian
@karaokeitaliano;https://www.youtube.com/@karaokeitaliano;14,6K;italian
@musicaestateitaliana7778;https://www.youtube.com/@musicaestateitaliana7778;24,9K;italian
@justitalianmusic;https://www.youtube.com/@justitalianmusic;240K;italian
@warnermusicitalia;https://www.youtube.com/@warnermusicitalia;6M;italian
@ciaoitalia3974;https://www.youtube.com/@ciaoitalia3974;20,8K;italian
@italiamusicselection;https://www.youtube.com/@italiamusicselection;86,5K;italian
@LilianaCavaliereTheBestMusic;https://www.youtube.com/@LilianaCavaliereTheBestMusic;34,2K;italian
@DjRicardoMorra1987;https://www.youtube.com/@DjRicardoMorra1987;166K;italian
@ErosRamazzotti;https://www.youtube.com/@ErosRamazzotti;2,6M;italian
@topmusicalltime6588;https://www.youtube.com/@topmusicalltime6588;140K;italian
@italiamusic159;https://www.youtube.com/@italiamusic159;6,35K;italian
@italianmusictv4018;https://www.youtube.com/@italianmusictv4018;43,9K;italian
@sonolamadame_;https://www.youtube.com/@sonolamadame_;481K;italian
@blanchitobebe;https://www.youtube.com/@blanchitobebe;507K;italian
@FarmeesItaliano;https://www.youtube.com/@FarmeesItaliano;478K;italian
@WarnerChappellMusicItaliana;https://www.youtube.com/@WarnerChappellMusicItaliana;8,76K;italian
@musicaitaliana1440;https://www.youtube.com/@musicaitaliana1440;6,96K;italian
@delciotavaresofficial;https://www.youtube.com/@delciotavaresofficial;16K;italian
@MusicforBodyandSpirit;https://www.youtube.com/@MusicforBodyandSpirit;3,81M;italian
@musicaitaliana2603;https://www.youtube.com/@musicaitaliana2603;47,6K;italian
@mellyANDkrissy;https://www.youtube.com/@mellyANDkrissy;6,8K;italian
@italianmusiclegend4349;https://www.youtube.com/@italianmusiclegend4349;9,84K;italian
@ITmYOUsic;https://www.youtube.com/@ITmYOUsic;175K;italian
@canzoniitaliana;https://www.youtube.com/@canzoniitaliana;33,6K;italian
@MecontroTeMusic;https://www.youtube.com/@MecontroTeMusic;1,9M;italian
@cantantiitaliani2259;https://www.youtube.com/@cantantiitaliani2259;51,6K;italian
@diamantedellamusica;https://www.youtube.com/@diamantedellamusica;20,5K;italian
@Mahmood-Official;https://www.youtube.com/@Mahmood-Official;1,16M;italian
@gustoitaliano_;https://www.youtube.com/@gustoitaliano_;7,51K;italian
@MusicBistrot;https://www.youtube.com/@MusicBistrot;226K;italian
@ItaliansDoItBetterMusic;https://www.youtube.com/@ItaliansDoItBetterMusic;91,7K;italian
@raccoltamusica1279;https://www.youtube.com/@raccoltamusica1279;83,1K;italian
@ItalyMusic;https://www.youtube.com/@ItalyMusic;9,82K;italian
@xfactoritalia;https://www.youtube.com/@xfactoritalia;1,24M;italian
@bluemusic7659;https://www.youtube.com/@bluemusic7659;29,5K;italian
@arrebolmusic7992;https://www.youtube.com/@arrebolmusic7992;9,34K;italian
@ThebestofILVolo;https://www.youtube.com/@ThebestofILVolo;84K;italian
@mydeejay;https://www.youtube.com/@mydeejay;239K;italian
@TaDaBoomITALIA;https://www.youtube.com/@TaDaBoomITALIA;330K;italian
@veronicapisano4054;https://www.youtube.com/@veronicapisano4054;43,3K;italian
@luckyplanets;https://www.youtube.com/@luckyplanets;16,4K;italian
@meditativemind;https://www.youtube.com/@meditativemind;5,45M;italian
@IDOLFACTORY;https://www.youtube.com/@IDOLFACTORY;2,11M;italian
@PodcastItaliano;https://www.youtube.com/@PodcastItaliano;174K;italian
@bellaDiana;https://www.youtube.com/@bellaDiana;343K;italian
@pocoyoitaliano;https://www.youtube.com/@pocoyoitaliano;798K;italian
@repubblica;https://www.youtube.com/@repubblica;733K;italian
@AndreaScanzi74;https://www.youtube.com/@AndreaScanzi74;69K;italian
@TayoEspanol;https://www.youtube.com/@TayoEspanol;3,47M;italian
@GMUSE12-gz5go;https://www.youtube.com/@GMUSE12-gz5go;5,04K;italian
@MayaAndMary;https://www.youtube.com/@MayaAndMary;24,5M;italian
@lpxibymarcozanoni;https://www.youtube.com/@lpxibymarcozanoni;25,1K;italian
@VaticanNewsIT;https://www.youtube.com/@VaticanNewsIT;232K;italian
@LaLaLifeGold;https://www.youtube.com/@LaLaLifeGold;424K;italian
@pokemonkidstv;https://www.youtube.com/@pokemonkidstv;14M;italian
@KidsTvItaliano;https://www.youtube.com/@KidsTvItaliano;1,95M;italian
@AntonioOcchiatoTVlive;https://www.youtube.com/@AntonioOcchiatoTVlive;9,78K;italian
@LittleBabyBum;https://www.youtube.com/@LittleBabyBum;40,9M;italian
@rai;https://www.youtube.com/@rai;5,24M;italian
@PuddingTVen;https://www.youtube.com/@PuddingTVen;177K;italian
@LittleTreehouseNurseryRhymes;https://www.youtube.com/@LittleTreehouseNurseryRhymes;14M;italian
@breakingitaly;https://www.youtube.com/@breakingitaly;815K;italian
@Littlelovesoul;https://www.youtube.com/@Littlelovesoul;59,7K;italian
@BabyJakeofficial;https://www.youtube.com/@BabyJakeofficial;1,67M;italian
@ElmerOLockerjr;https://www.youtube.com/@ElmerOLockerjr;277K;italian
@MimiandDaddy;https://www.youtube.com/@MimiandDaddy;1,81M;italian
@graceonyourdash;https://www.youtube.com/@graceonyourdash;656K;italian
@onedayalex888;https://www.youtube.com/@onedayalex888;7,78M;italian
@NgalSoVideos;https://www.youtube.com/@NgalSoVideos;106K;italian
@jaidenanimations;https://www.youtube.com/@jaidenanimations;12,1M;italian
@123GO_;https://www.youtube.com/@123GO_;12,3M;italian
@SuperWingsTV_EN;https://www.youtube.com/@SuperWingsTV_EN;3,36M;italian
@vladhungrygen;https://www.youtube.com/@vladhungrygen;1,16M;italian
@BabyTV;https://www.youtube.com/@BabyTV;2,32M;italian
@ItalianocomAngelaAmarante;https://www.youtube.com/@ItalianocomAngelaAmarante;8,65K;italian
@UnicornAcademyOfficial;https://www.youtube.com/@UnicornAcademyOfficial;66,1K;italian
@nickjr;https://www.youtube.com/@nickjr;28,2M;italian
@RainbowHigh;https://www.youtube.com/@RainbowHigh;877K;italian
@podcastparanormal;https://www.youtube.com/@podcastparanormal;703K;italian
@pokemon;https://www.youtube.com/@pokemon;5,52M;italian
@ujamInstruments;https://www.youtube.com/@ujamInstruments;13,1K;italian
