channel name;channel url;subscribers;language
@Tomm2kk;https://www.youtube.com/@Tomm2kk;66,9K;japanese
@user-gb1wi8xz5v;https://www.youtube.com/@user-gb1wi8xz5v;15,9K;japanese
@relaxing8887;https://www.youtube.com/@relaxing8887;36,8K;japanese
@musicalisotope423;https://www.youtube.com/@musicalisotope423;105K;japanese
@shionsensei;https://www.youtube.com/@shionsensei;7,22K;japanese
@FM_ThomasOomori;https://www.youtube.com/@FM_ThomasOomori;44,5K;japanese
@takuyamusic;https://www.youtube.com/@takuyamusic;14,1K;japanese
@user-wi8gz2jn4m;https://www.youtube.com/@user-wi8gz2jn4m;5,27K;japanese
@user-my2ph8qs4p;https://www.youtube.com/@user-my2ph8qs4p;5,09K;japanese
@user-ty5bf2bd3w;https://www.youtube.com/@user-ty5bf2bd3w;10K;japanese
@soohthingtony;https://www.youtube.com/@soohthingtony;5,84K;japanese
@user-wi8hp9kh1b;https://www.youtube.com/@user-wi8hp9kh1b;6,02K;japanese
@solfeggiomusic1111;https://www.youtube.com/@solfeggiomusic1111;46,2K;japanese
@user-up9cu8sd5n;https://www.youtube.com/@user-up9cu8sd5n;8,56K;japanese
@wanke8456;https://www.youtube.com/@wanke8456;8,58K;japanese
@Idol.news1;https://www.youtube.com/@Idol.news1;6,37K;japanese
@user-zd3lg9sz4c;https://www.youtube.com/@user-zd3lg9sz4c;19,6K;japanese
@user-jo9cw3vl9s;https://www.youtube.com/@user-jo9cw3vl9s;7,66K;japanese
@nacoclassic;https://www.youtube.com/@nacoclassic;194K;japanese
@-bgm9732;https://www.youtube.com/@-bgm9732;9,37K;japanese
@shota_hashimoto;https://www.youtube.com/@shota_hashimoto;183K;japanese
@piyotaku3;https://www.youtube.com/@piyotaku3;5,19K;japanese
@TV-uk8tv;https://www.youtube.com/@TV-uk8tv;5,16K;japanese
@musiclibrary_1374;https://www.youtube.com/@musiclibrary_1374;6,85K;japanese
@AKKami;https://www.youtube.com/@AKKami;136K;japanese
@user-kk6nx8vh6n;https://www.youtube.com/@user-kk6nx8vh6n;9,13K;japanese
@gymmotivation7979;https://www.youtube.com/@gymmotivation7979;14,1K;japanese
@user-st3ng7yy2n;https://www.youtube.com/@user-st3ng7yy2n;26,1K;japanese
@user-td9xz4hi8c;https://www.youtube.com/@user-td9xz4hi8c;5,82K;japanese
@90jpopmedley;https://www.youtube.com/@90jpopmedley;5,37K;japanese
@Relaxingmusicworldwide1;https://www.youtube.com/@Relaxingmusicworldwide1;5,13K;japanese
@fenghuangrelaxing-bgm4754;https://www.youtube.com/@fenghuangrelaxing-bgm4754;40,4K;japanese
@bgm-hj2zx;https://www.youtube.com/@bgm-hj2zx;6,35K;japanese
