channel name;channel url;subscribers;language
@TidoKang;https://www.youtube.com/@TidoKang;1,62M;korean
@typhoonremix;https://www.youtube.com/@typhoonremix;10,2K;korean
@seol_hyenu;https://www.youtube.com/@seol_hyenu;10,7K;korean
@hyunkyung9557;https://www.youtube.com/@hyunkyung9557;10,8K;korean
@NAMMSE;https://www.youtube.com/@NAMMSE;103K;korean
@-relaxingmusic9357;https://www.youtube.com/@-relaxingmusic9357;105K;korean
@SodyPiano;https://www.youtube.com/@SodyPiano;107K;korean
@user-kg5ti5pd3f;https://www.youtube.com/@user-kg5ti5pd3f;11,1K;korean
@user-vs4ri8rn1z;https://www.youtube.com/@user-vs4ri8rn1z;117K;korean
@gsuwvsv2921;https://www.youtube.com/@gsuwvsv2921;12,9K;korean
@samtv4508;https://www.youtube.com/@samtv4508;12K;korean
@park_turtle;https://www.youtube.com/@park_turtle;142K;korean
@user-pi2yn6fc9d;https://www.youtube.com/@user-pi2yn6fc9d;146K;korean
@essence2034;https://www.youtube.com/@essence2034;15,2K;korean
@mindfulnessmusic1321;https://www.youtube.com/@mindfulnessmusic1321;15,6K;korean
@diary7432;https://www.youtube.com/@diary7432;16,4K;korean
@1min_music;https://www.youtube.com/@1min_music;164K;korean
@user-nd7xv6lp7q;https://www.youtube.com/@user-nd7xv6lp7q;16K;korean
@Hyewon_T;https://www.youtube.com/@Hyewon_T;17,8K;korean
@WoodenChair;https://www.youtube.com/@WoodenChair;177K;korean
@musicjinmo;https://www.youtube.com/@musicjinmo;17K;korean
@Noonsol;https://www.youtube.com/@Noonsol;17K;korean
@a_letter;https://www.youtube.com/@a_letter;17K;korean
@koreanmusic67;https://www.youtube.com/@koreanmusic67;18,3K;korean
@-relaxingmusic1999;https://www.youtube.com/@-relaxingmusic1999;18,9K;korean
@user-zy8tu8ew5n;https://www.youtube.com/@user-zy8tu8ew5n;181K;korean
@relaxing-2938;https://www.youtube.com/@relaxing-2938;188K;korean
@user-bz5hh3sy8g;https://www.youtube.com/@user-bz5hh3sy8g;19,5K;korean
@TROTMEDLEY68;https://www.youtube.com/@TROTMEDLEY68;19,9K;korean
@-healingmusic2163;https://www.youtube.com/@-healingmusic2163;20,3K;korean
@yumissemusic;https://www.youtube.com/@yumissemusic;22,4K;korean
