channel name;channel url;subscribers;language
@amanda64;https://www.youtube.com/@amanda64;11,3K;persian
@user-tg8or9mp6x;https://www.youtube.com/@user-tg8or9mp6x;16,3K;persian
@NimaFereidooniMI;https://www.youtube.com/@NimaFereidooniMI;20,4K;persian
@Ahmed-Alaa111;https://www.youtube.com/@Ahmed-Alaa111;20,8K;persian
@Ahmed-Alaa111;https://www.youtube.com/@Ahmed-Alaa111;20,8K;persian
@hafdangmusic;https://www.youtube.com/@hafdangmusic;25,3K;persian
@musicinsimplelanguage4661;https://www.youtube.com/@musicinsimplelanguage4661;29,7K;persian
@-aboukandil;https://www.youtube.com/@-aboukandil;30,4K;persian
@-aboukandil;https://www.youtube.com/@-aboukandil;30,4K;persian
@withoutmusicXX;https://www.youtube.com/@withoutmusicXX;5,62K;persian
@Black-yh4li;https://www.youtube.com/@Black-yh4li;6,86K;persian
