channel name;channel url;subscribers;language
@Top_Music;https://www.youtube.com/@Top_Music;908K;russian
@theBESTMUSICA;https://www.youtube.com/@theBESTMUSICA;975K;russian
@losevmusic;https://www.youtube.com/@losevmusic;469K;russian
@MaxiMusicPro;https://www.youtube.com/@MaxiMusicPro;389K;russian
@detimusic;https://www.youtube.com/@detimusic;540K;russian
@user-ix2pd3ty1l;https://www.youtube.com/@user-ix2pd3ty1l;25,3K;russian
@ochenplohayamuzik;https://www.youtube.com/@ochenplohayamuzik;69,5K;russian
@larisaOshibert;https://www.youtube.com/@larisaOshibert;56K;russian
@dag-music;https://www.youtube.com/@dag-music;599K;russian
@muzyou_tv;https://www.youtube.com/@muzyou_tv;72,8K;russian
@musicforyou9542;https://www.youtube.com/@musicforyou9542;5,56K;russian
@XXcentury80s90s;https://www.youtube.com/@XXcentury80s90s;9,96K;russian
@Best_Lullaby_to_Sleep;https://www.youtube.com/@Best_Lullaby_to_Sleep;290K;russian
@ensadeband;https://www.youtube.com/@ensadeband;77,3K;russian
@Dosvidary;https://www.youtube.com/@Dosvidary;24,5K;russian
@vtrendemusic;https://www.youtube.com/@vtrendemusic;1,13M;russian
@timjanis;https://www.youtube.com/@timjanis;1,59M;russian
@lifemusic6415;https://www.youtube.com/@lifemusic6415;1,1M;russian
@SergO_1980;https://www.youtube.com/@SergO_1980;801K;russian
@LofiGirl;https://www.youtube.com/@LofiGirl;13,6M;russian
@OddbodsAndFriends;https://www.youtube.com/@OddbodsAndFriends;5,76M;russian
@CartoonsforkidsRussia;https://www.youtube.com/@CartoonsforkidsRussia;819K;russian
@recrule-chechenmusic;https://www.youtube.com/@recrule-chechenmusic;184K;russian
