channel name;channel url;subscribers;language
@kralmuzik;https://www.youtube.com/@kralmuzik;1,52M;turkish
@muzikdunyasi23;https://www.youtube.com/@muzikdunyasi23;10,4K;turkish
@1saatlikmuzik914;https://www.youtube.com/@1saatlikmuzik914;10,6K;turkish
@hivrojmuzik331;https://www.youtube.com/@hivrojmuzik331;101K;turkish
@BKMMuzik;https://www.youtube.com/@BKMMuzik;109K;turkish
@HFMMUZIK;https://www.youtube.com/@HFMMUZIK;10K;turkish
@ozelmuzik501;https://www.youtube.com/@ozelmuzik501;11,4K;turkish
@youtubemuzikindir558;https://www.youtube.com/@youtubemuzikindir558;11,7K;turkish
@STMuzik;https://www.youtube.com/@STMuzik;115K;turkish
@eylemmuzik8870;https://www.youtube.com/@eylemmuzik8870;12,1K;turkish
@MuzikBankas;https://www.youtube.com/@MuzikBankas;12,4K;turkish
@IgdrMuzikAjans;https://www.youtube.com/@IgdrMuzikAjans;12,9K;turkish
@turkcepopmuzik2595;https://www.youtube.com/@turkcepopmuzik2595;13,2K;turkish
@MajorMuzik;https://www.youtube.com/@MajorMuzik;13K;turkish
@UlusMusic;https://www.youtube.com/@UlusMusic;155K;turkish
@deepmuzik2908;https://www.youtube.com/@deepmuzik2908;16,2K;turkish
@AJSMUSICCOMPANYTR;https://www.youtube.com/@AJSMUSICCOMPANYTR;165K;turkish
@aycanmuzik1330;https://www.youtube.com/@aycanmuzik1330;18,4K;turkish
@muziktutkusu7538;https://www.youtube.com/@muziktutkusu7538;19,2K;turkish
@muziktutkusu7538;https://www.youtube.com/@muziktutkusu7538;19,2K;turkish
@GrandMuzik;https://www.youtube.com/@GrandMuzik;190K;turkish
@ozgunmuzikveturkuler7658;https://www.youtube.com/@ozgunmuzikveturkuler7658;19K;turkish
@kurtcemuzik3057;https://www.youtube.com/@kurtcemuzik3057;21,3K;turkish
@borproduksiyon;https://www.youtube.com/@borproduksiyon;212K;turkish
@turkmuzik4848;https://www.youtube.com/@turkmuzik4848;22,5K;turkish
@duygumuzikplak;https://www.youtube.com/@duygumuzikplak;22,8K;turkish
@muzik8099;https://www.youtube.com/@muzik8099;22K;turkish
@kilicmuzikklip;https://www.youtube.com/@kilicmuzikklip;23,2K;turkish
@AsiaMuzik;https://www.youtube.com/@AsiaMuzik;23,8K;turkish
@turkcemuzik4848;https://www.youtube.com/@turkcemuzik4848;24,3K;turkish
@eniyimuzik7281;https://www.youtube.com/@eniyimuzik7281;24,4K;turkish
@netdmuzik;https://www.youtube.com/@netdmuzik;24,7M;turkish
@guncelpaylasimlartv;https://www.youtube.com/@guncelpaylasimlartv;248K;turkish
@AhmetSelimBuyuksoy;https://www.youtube.com/@AhmetSelimBuyuksoy;25,1K;turkish
@vocemusic7311;https://www.youtube.com/@vocemusic7311;25,2K;turkish
@bumpmuzik;https://www.youtube.com/@bumpmuzik;26,1K;turkish
@damarmuzikadresi1131;https://www.youtube.com/@damarmuzikadresi1131;28,8K;turkish
@muzikdurag5314;https://www.youtube.com/@muzikdurag5314;29,7K;turkish
@kalanmusicofficial;https://www.youtube.com/@kalanmusicofficial;2M;turkish
@YashTalwarOfficial;https://www.youtube.com/@YashTalwarOfficial;3,63K;turkish
@adressmuzik;https://www.youtube.com/@adressmuzik;30,5K;turkish
@rdmuzikresuldindar;https://www.youtube.com/@rdmuzikresuldindar;341K;turkish
@BestMusicMixTV;https://www.youtube.com/@BestMusicMixTV;420K;turkish
@SakiMuzik;https://www.youtube.com/@SakiMuzik;45,4K;turkish
@idobaymuzikofficial;https://www.youtube.com/@idobaymuzikofficial;469K;turkish
@PandamiMusic;https://www.youtube.com/@PandamiMusic;48,6K;turkish
@MuzikTV0;https://www.youtube.com/@MuzikTV0;5,02K;turkish
@muzikart5415;https://www.youtube.com/@muzikart5415;5,14K;turkish
@arabeskmuzik8910;https://www.youtube.com/@arabeskmuzik8910;5,25K;turkish
@dunyamuzik8371;https://www.youtube.com/@dunyamuzik8371;5,44K;turkish
@MUZIKKANALIMERTBARAN;https://www.youtube.com/@MUZIKKANALIMERTBARAN;5,47K;turkish
@MuzikDunyas1;https://www.youtube.com/@MuzikDunyas1;5,56K;turkish
@muzikdiyar;https://www.youtube.com/@muzikdiyar;5,67K;turkish
@NetMuzik2;https://www.youtube.com/@NetMuzik2;5,73K;turkish
@MuhammedBayhan;https://www.youtube.com/@MuhammedBayhan;5,87K;turkish
@cihanmuzik5664;https://www.youtube.com/@cihanmuzik5664;5,96K;turkish
@MelankoliaMuzikTV;https://www.youtube.com/@MelankoliaMuzikTV;51,5K;turkish
@akmuzik4279;https://www.youtube.com/@akmuzik4279;6,02K;turkish
@muzikkeyfi5594;https://www.youtube.com/@muzikkeyfi5594;6,1K;turkish
@numberonemuzik1723;https://www.youtube.com/@numberonemuzik1723;6,2K;turkish
@khkmuzik6893;https://www.youtube.com/@khkmuzik6893;6,67K;turkish
@YunusMuzik;https://www.youtube.com/@YunusMuzik;6,83K;turkish
@ozelmuzik3874;https://www.youtube.com/@ozelmuzik3874;60,6K;turkish
@muzikkarsm5810;https://www.youtube.com/@muzikkarsm5810;7,72K;turkish
@sozdemuzik4577;https://www.youtube.com/@sozdemuzik4577;7,74K;turkish
@temkesmuzik;https://www.youtube.com/@temkesmuzik;73,6K;turkish
@CallMuzik;https://www.youtube.com/@CallMuzik;73,7K;turkish
@kopru_muzik;https://www.youtube.com/@kopru_muzik;75,6K;turkish
@kurtcemuzikmuzikakurdi3109;https://www.youtube.com/@kurtcemuzikmuzikakurdi3109;8,2K;turkish
@helyamuzik4244;https://www.youtube.com/@helyamuzik4244;8,51K;turkish
@dfskmuzik3919;https://www.youtube.com/@dfskmuzik3919;8,64K;turkish
@stoynamuzik;https://www.youtube.com/@stoynamuzik;80,2K;turkish
@trend.muzik.dijital;https://www.youtube.com/@trend.muzik.dijital;89,7K;turkish
@notmuzik3557;https://www.youtube.com/@notmuzik3557;9,47K;turkish
@popturkcemuzik9979;https://www.youtube.com/@popturkcemuzik9979;9,49K;turkish
@BayarMuzik;https://www.youtube.com/@BayarMuzik;909K;turkish
@sesegitimi;https://www.youtube.com/@sesegitimi;992K;turkish
