channel name;channel url;subscriber;language
@user-vj6qv6dg1l;https://www.youtube.com/@user-vj6qv6dg1l;10,2K ;chinese
@RJplaygame;https://www.youtube.com/@RJplaygame;103K ;chinese
@Kicas;https://www.youtube.com/@Kicas;11,2K ;chinese
@lanyigaming;https://www.youtube.com/@lanyigaming;110K ;chinese
@Leaguefunnygames;https://www.youtube.com/@Leaguefunnygames;111K ;chinese
@XiaoQiangYouXiJieShuo;https://www.youtube.com/@XiaoQiangYouXiJieShuo;12,5K ;chinese
@AQiangYouXiJieShuo;https://www.youtube.com/@AQiangYouXiJieShuo;13,7K ;chinese
@NNYXW;https://www.youtube.com/@NNYXW;13,8K ;chinese
@LR_Game;https://www.youtube.com/@LR_Game;130K ;chinese
@edisonnnn;https://www.youtube.com/@edisonnnn;133K ;chinese
@Huigeyouxijieshuo;https://www.youtube.com/@Huigeyouxijieshuo;138K ;chinese
@Moyuyouxi;https://www.youtube.com/@Moyuyouxi;14,6K ;chinese
@baijialedusheng;https://www.youtube.com/@baijialedusheng;146K ;chinese
@mtyg0119;https://www.youtube.com/@mtyg0119;15,2K ;chinese
@tangxinyouxi;https://www.youtube.com/@tangxinyouxi;153K ;chinese
@AAAarcade;https://www.youtube.com/@AAAarcade;16,1K ;chinese
@gameworker666;https://www.youtube.com/@gameworker666;17,2K ;chinese
@user-tt5qp7fd1x;https://www.youtube.com/@user-tt5qp7fd1x;17,4K ;chinese
@YouXiAiHaoZheQiMei;https://www.youtube.com/@YouXiAiHaoZheQiMei;17,6K ;chinese
@user-ub2vm1eb9s;https://www.youtube.com/@user-ub2vm1eb9s;17,9K ;chinese
@user-xy3pf3rf9s;https://www.youtube.com/@user-xy3pf3rf9s;187K ;chinese
@Jack6616;https://www.youtube.com/@Jack6616;19,5K ;chinese
@user-mu4xe8ds1s;https://www.youtube.com/@user-mu4xe8ds1s;19,6K ;chinese
@user-jz7bd9io2p;https://www.youtube.com/@user-jz7bd9io2p;19,9K ;chinese
@playwhatthe;https://www.youtube.com/@playwhatthe;196K ;chinese
@DouJie;https://www.youtube.com/@DouJie;20,5K ;chinese
@HungerGames123;https://www.youtube.com/@HungerGames123;205K ;chinese
@HeiMaoWanYouXi;https://www.youtube.com/@HeiMaoWanYouXi;21,2K ;chinese
@OGS_Yuki;https://www.youtube.com/@OGS_Yuki;212K ;chinese
@shinegamertw;https://www.youtube.com/@shinegamertw;22,6K ;chinese
@JiuWeiYouXi;https://www.youtube.com/@JiuWeiYouXi;22K ;chinese
@hAcKe_520;https://www.youtube.com/@hAcKe_520;22K ;chinese
@et7165;https://www.youtube.com/@et7165;23,9K ;chinese
@user-co7hp4dl9z;https://www.youtube.com/@user-co7hp4dl9z;231K ;chinese
@kuaizero;https://www.youtube.com/@kuaizero;232K ;chinese
@XiaoBeiOfficial;https://www.youtube.com/@XiaoBeiOfficial;240K ;chinese
@WaWaWaYouXiJieShuo;https://www.youtube.com/@WaWaWaYouXiJieShuo;26,3K ;chinese
@PikaLu;https://www.youtube.com/@PikaLu;274K ;chinese
@JianJiuyouxijieshuo;https://www.youtube.com/@JianJiuyouxijieshuo;30,5K ;chinese
