channel name;channel url;subscribers;Language
@GoatedGang;https://www.youtube.com/@GoatedGang;1,01M ;english
@CKNGaming;https://www.youtube.com/@CKNGaming;1,03M ;english
@GamingHistorian;https://www.youtube.com/@GamingHistorian;1,03M ;english
@KairosGaming;https://www.youtube.com/@KairosGaming;1,04M ;english
@MohiTGaminGWorlD;https://www.youtube.com/@MohiTGaminGWorlD;1,05M ;english
@FatihGAMINGYT;https://www.youtube.com/@FatihGAMINGYT;1,06M ;english
@FMRadioGaming;https://www.youtube.com/@FMRadioGaming;1,08M ;english
@SopoSquadGaming;https://www.youtube.com/@SopoSquadGaming;1,11M ;english
@HipsterGaming;https://www.youtube.com/@HipsterGaming;1,12M ;english
@hsgaming67;https://www.youtube.com/@hsgaming67;1,12M ;english
@HudsonsPlaygroundGaming;https://www.youtube.com/@HudsonsPlaygroundGaming;1,12M ;english
@GamingFollow;https://www.youtube.com/@GamingFollow;1,15M ;english
@TeddyGaming;https://www.youtube.com/@TeddyGaming;1,17M ;english
@ArpanGaming8;https://www.youtube.com/@ArpanGaming8;1,17M ;english
@MissSnap;https://www.youtube.com/@MissSnap;1,17M ;english
@SamTaborGaming;https://www.youtube.com/@SamTaborGaming;1,17M ;english
@rifkyars_;https://www.youtube.com/@rifkyars_;1,19M ;english
@4KGamingNepal;https://www.youtube.com/@4KGamingNepal;1,1M ;english
@Luigikid;https://www.youtube.com/@Luigikid;1,1M ;english
@ThorGaming77;https://www.youtube.com/@ThorGaming77;1,23M ;english
@JasonGamingyt;https://www.youtube.com/@JasonGamingyt;1,26M ;english
@DragonGaming_Official;https://www.youtube.com/@DragonGaming_Official;1,27M ;english
@PriGaming;https://www.youtube.com/@PriGaming;1,27M ;english
@NemoGaming1;https://www.youtube.com/@NemoGaming1;1,27M ;english
@TAMPANGAMING;https://www.youtube.com/@TAMPANGAMING;1,29M ;english
@JKrewGaming;https://www.youtube.com/@JKrewGaming;1,2M ;english
@gaming_foodie;https://www.youtube.com/@gaming_foodie;1,32M ;english
@ArekkzGaming;https://www.youtube.com/@ArekkzGaming;1,36M ;english
@HOKAGO_GAMING_LIFE;https://www.youtube.com/@HOKAGO_GAMING_LIFE;1,38M ;english
@MessYourselfGaming;https://www.youtube.com/@MessYourselfGaming;1,38M ;english
@HindGaming;https://www.youtube.com/@HindGaming;1,3M ;english
@LuxxyGamingg;https://www.youtube.com/@LuxxyGamingg;1,41M ;english
@shivgamgaming4677;https://www.youtube.com/@shivgamgaming4677;1,41M ;english
@fulkigaming;https://www.youtube.com/@fulkigaming;1,43K ;english
@Funhaus;https://www.youtube.com/@Funhaus;1,43M ;english
@eybelgaming;https://www.youtube.com/@eybelgaming;1,44M ;english
@darlunggaming1412;https://www.youtube.com/@darlunggaming1412;1,46M ;english
@KCityGaming;https://www.youtube.com/@KCityGaming;1,47M ;english
@BilashGaming;https://www.youtube.com/@BilashGaming;1,48M ;english
@KaztroGAMINGYT;https://www.youtube.com/@KaztroGAMINGYT;1,4M ;english
@SnaxGaming;https://www.youtube.com/@SnaxGaming;1,62M ;english
@NAFIGaming;https://www.youtube.com/@NAFIGaming;1,64M ;english
@MisterCemprengGaming;https://www.youtube.com/@MisterCemprengGaming;1,65M ;english
@itswhateverok;https://www.youtube.com/@itswhateverok;1,66M ;english
@mrbeastgamingbrasil;https://www.youtube.com/@mrbeastgamingbrasil;1,68M ;english
@Zgamingofficial;https://www.youtube.com/@Zgamingofficial;1,72M ;english
@WhatCultureGaming;https://www.youtube.com/@WhatCultureGaming;1,73M ;english
@UnqGamer;https://www.youtube.com/@UnqGamer;1,74M ;english
@CouRageGaming;https://www.youtube.com/@CouRageGaming;1,88M ;english
@PresidenGaming;https://www.youtube.com/@PresidenGaming;1,8M ;english
@bindasskavyagaming;https://www.youtube.com/@bindasskavyagaming;1,8M ;english
@RonGamingLive;https://www.youtube.com/@RonGamingLive;1,9M ;english
@Shivang02;https://www.youtube.com/@Shivang02;1,9M ;english
@SocietyOfGaming;https://www.youtube.com/@SocietyOfGaming;10,2K ;english
@ESG1;https://www.youtube.com/@ESG1;10,7K ;english
@archidickygaming;https://www.youtube.com/@archidickygaming;100K ;english
@InfomniaGaming;https://www.youtube.com/@InfomniaGaming;100K ;english
@PrettexGaming;https://www.youtube.com/@PrettexGaming;101K ;english
@hareedgaming;https://www.youtube.com/@hareedgaming;105K ;english
@somebrosgaming;https://www.youtube.com/@somebrosgaming;106K ;english
@QAYZERGAMING;https://www.youtube.com/@QAYZERGAMING;106K ;english
@MODGaming25;https://www.youtube.com/@MODGaming25;107K ;english
@Stealth17Gaming;https://www.youtube.com/@Stealth17Gaming;107K ;english
@IntelligentGaming2020;https://www.youtube.com/@IntelligentGaming2020;10K ;english
@BulletCatcherGaming;https://www.youtube.com/@BulletCatcherGaming;11,1K ;english
@NezeruGaming;https://www.youtube.com/@NezeruGaming;11,2K ;english
@XenGamingChannel;https://www.youtube.com/@XenGamingChannel;11,6K ;english
@GamingWithKev;https://www.youtube.com/@GamingWithKev;11,7M ;english
@MrKeGaming;https://www.youtube.com/@MrKeGaming;11,8K ;english
@FrontaLGaming;https://www.youtube.com/@FrontaLGaming;11,9M ;english
@gamingshow;https://www.youtube.com/@gamingshow;110K ;english
@Strat-Guides;https://www.youtube.com/@Strat-Guides;111K ;english
@ASQDGAMING;https://www.youtube.com/@ASQDGAMING;111K ;english
@PoliceGamingYT;https://www.youtube.com/@PoliceGamingYT;115K ;english
@HAHoneyGaming;https://www.youtube.com/@HAHoneyGaming;116K ;english
@PsychoghostGaming;https://www.youtube.com/@PsychoghostGaming;118K ;english
@GamingMickeyMouse;https://www.youtube.com/@GamingMickeyMouse;118K ;english
@MissClickGaming;https://www.youtube.com/@MissClickGaming;118K ;english
@intelgaming;https://www.youtube.com/@intelgaming;119K ;english
@ItsDaveTVGaming;https://www.youtube.com/@ItsDaveTVGaming;12,1K ;english
@amber-gaming;https://www.youtube.com/@amber-gaming;12,7K ;english
@OhShiitakeMushroomsGaming;https://www.youtube.com/@OhShiitakeMushroomsGaming;121K ;english
@fishstickonastick-gaming;https://www.youtube.com/@fishstickonastick-gaming;121K ;english
@GLPTVee;https://www.youtube.com/@GLPTVee;122K ;english
@OnChainGaming;https://www.youtube.com/@OnChainGaming;125K ;english
@fsgnews;https://www.youtube.com/@fsgnews;126K ;english
@brandonstilleygaming;https://www.youtube.com/@brandonstilleygaming;126K ;english
@xgfofficial;https://www.youtube.com/@xgfofficial;127K ;english
@Channel5Gaming;https://www.youtube.com/@Channel5Gaming;127K ;english
@HRgaming;https://www.youtube.com/@HRgaming;128K ;english
@GamesGraphics;https://www.youtube.com/@GamesGraphics;129K ;english
@BUDI01GAMING;https://www.youtube.com/@BUDI01GAMING;13,6M ;english
@thraungaming824;https://www.youtube.com/@thraungaming824;13,8K ;english
@MADHYPERGAMING13;https://www.youtube.com/@MADHYPERGAMING13;130K ;english
@CinematicSeriesGaming;https://www.youtube.com/@CinematicSeriesGaming;131K ;english
@GetIndieGaming;https://www.youtube.com/@GetIndieGaming;131K ;english
