channel name;channel url;subscriber;language
@MohiTGaminGWorlD;https://www.youtube.com/@MohiTGaminGWorlD;1,05M ;hindi
@FatihGAMINGYT;https://www.youtube.com/@FatihGAMINGYT;1,07M ;hindi
@GlockGamingYt;https://www.youtube.com/@GlockGamingYt;1,11M ;hindi
@GamingRaju;https://www.youtube.com/@GamingRaju;1,11M ;hindi
@GamingGuruOp;https://www.youtube.com/@GamingGuruOp;1,12M ;hindi
@hsgaming67;https://www.youtube.com/@hsgaming67;1,12M ;hindi
@GamingGurujisp;https://www.youtube.com/@GamingGurujisp;1,15M ;hindi
@TeddyGaming;https://www.youtube.com/@TeddyGaming;1,17M ;hindi
@MissSnap;https://www.youtube.com/@MissSnap;1,17M ;hindi
@GamingInsects;https://www.youtube.com/@GamingInsects;1,18M ;hindi
@AkshayGamingFF;https://www.youtube.com/@AkshayGamingFF;1,21M ;hindi
@YugPlayz;https://www.youtube.com/@YugPlayz;1,21M ;hindi
@ThorGaming77;https://www.youtube.com/@ThorGaming77;1,23M ;hindi
@5StarGaming_3;https://www.youtube.com/@5StarGaming_3;1,26M ;hindi
@DragonGaming_Official;https://www.youtube.com/@DragonGaming_Official;1,27M ;hindi
@NemoGaming1;https://www.youtube.com/@NemoGaming1;1,27M ;hindi
@YGamingYuvraj;https://www.youtube.com/@YGamingYuvraj;1,31M ;hindi
@rohitgamingstudio6902;https://www.youtube.com/@rohitgamingstudio6902;1,37M ;hindi
@GAMINGWITHPAHADI;https://www.youtube.com/@GAMINGWITHPAHADI;1,37M ;hindi
@nikugaming95;https://www.youtube.com/@nikugaming95;1,38M ;hindi
@HindGaming;https://www.youtube.com/@HindGaming;1,3M ;hindi
@GamingArmy01;https://www.youtube.com/@GamingArmy01;1,3M ;hindi
@shivgamgaming4677;https://www.youtube.com/@shivgamgaming4677;1,41M ;hindi
@MayurGaming;https://www.youtube.com/@MayurGaming;1,42M ;hindi
@LoLzZzGaming;https://www.youtube.com/@LoLzZzGaming;1,44M ;hindi
@BilashGaming;https://www.youtube.com/@BilashGaming;1,48M ;hindi
@FaujicjGaming1;https://www.youtube.com/@FaujicjGaming1;1,55M ;hindi
@Gamingicon19;https://www.youtube.com/@Gamingicon19;1,55M ;hindi
@SnaxGaming;https://www.youtube.com/@SnaxGaming;1,62M ;hindi
@RAHULGAMING920;https://www.youtube.com/@RAHULGAMING920;1,65M ;hindi
@Zgamingofficial;https://www.youtube.com/@Zgamingofficial;1,72M ;hindi
@arrowgaming2;https://www.youtube.com/@arrowgaming2;1,77M ;hindi
@TotalGamingShorts093;https://www.youtube.com/@TotalGamingShorts093;1,84M ;hindi
@friendlygaming4271;https://www.youtube.com/@friendlygaming4271;1,84M ;hindi
@bindasskavyagaming;https://www.youtube.com/@bindasskavyagaming;1,8M ;hindi
@RonGamingLive;https://www.youtube.com/@RonGamingLive;1,9M ;hindi
@Shivang02;https://www.youtube.com/@Shivang02;1,9M ;hindi
