channel name;channel url;subscribers;language;
@BingItaliano;https://www.youtube.com/@BingItaliano;1,34M;italian;
@FamigliaGBR;https://www.youtube.com/@FamigliaGBR;1,88M;italian;
@FamigliaGBR;https://www.youtube.com/@FamigliaGBR;1,88M;italian;
@lottotony;https://www.youtube.com/@lottotony;10,4K;italian;
@GhiocskyMadalin;https://www.youtube.com/@GhiocskyMadalin;102K;italian;
@gioconerazzurro8333;https://www.youtube.com/@gioconerazzurro8333;10K;italian;
@mikeslotnew;https://www.youtube.com/@mikeslotnew;11,9K;italian;
@Fabio_Nicolini;https://www.youtube.com/@Fabio_Nicolini;114K;italian;
@MaueAcrax;https://www.youtube.com/@MaueAcrax;12,1K;italian;
@illottodimassimoroasio;https://www.youtube.com/@illottodimassimoroasio;12,3K;italian;
@cicciomerrino2636;https://www.youtube.com/@cicciomerrino2636;146K;italian;
@cicciomerrino2636;https://www.youtube.com/@cicciomerrino2636;146K;italian;
@LeoTigITALIA;https://www.youtube.com/@LeoTigITALIA;23,5K;italian;
@MatteoHSGaming;https://www.youtube.com/@MatteoHSGaming;235K;italian;
@illottoindiretta1500;https://www.youtube.com/@illottoindiretta1500;29,5K;italian;
@OttolinaTV;https://www.youtube.com/@OttolinaTV;32K;italian;
@giox97;https://www.youtube.com/@giox97;336K;italian;
@jasonvlogsitalia;https://www.youtube.com/@jasonvlogsitalia;360K;italian;
@impactwrestling;https://www.youtube.com/@impactwrestling;4,76M;italian;
@parliamodivg;https://www.youtube.com/@parliamodivg;489K;italian;
@parliamodivg;https://www.youtube.com/@parliamodivg;489K;italian;
@QDSG;https://www.youtube.com/@QDSG;598K;italian;
@GCLS;https://www.youtube.com/@GCLS;6,14K;italian;
@SuperGioMasteR;https://www.youtube.com/@SuperGioMasteR;62,6K;italian;
@DadoBaxGiocoquindisono;https://www.youtube.com/@DadoBaxGiocoquindisono;63,5K;italian;s
@LaTanaDeiGoblin;https://www.youtube.com/@LaTanaDeiGoblin;7,64K;italian;
@Gioconauta_GiochidaTavolo;https://www.youtube.com/@Gioconauta_GiochidaTavolo;8,58K;italian;
@FateilnostrogiocoIt;https://www.youtube.com/@FateilnostrogiocoIt;9,76K;italian;
@FateilnostrogiocoIt;https://www.youtube.com/@FateilnostrogiocoIt;9,76K;italian;
@CoopTv_YouTube;https://www.youtube.com/@CoopTv_YouTube;95,8K;italian;
@ErDT;https://www.youtube.com/@ErDT;967K;italian;
