channel name;channel url;subsscribers;language
@DFM_nephrite;https://www.youtube.com/@DFM_nephrite;977K ;japanese
@Odaaaaken;https://www.youtube.com/@Odaaaaken;960K ;japanese
@miruge;https://www.youtube.com/@miruge;96,8K ;japanese
@HackyGames;https://www.youtube.com/@HackyGames;95,2K ;japanese
@Ryushen_2nd;https://www.youtube.com/@Ryushen_2nd;94,9K ;japanese
@user-hh7rl7xw9p;https://www.youtube.com/@user-hh7rl7xw9p;94,7K ;japanese
@yoshinama0130;https://www.youtube.com/@yoshinama0130;933K ;japanese
@leo_playground;https://www.youtube.com/@leo_playground;931K ;japanese
@gaming;https://www.youtube.com/@gaming;93,7M ;japanese
@kotoragame;https://www.youtube.com/@kotoragame;92,5K ;japanese
@ADCgame2424;https://www.youtube.com/@ADCgame2424;9,82K ;japanese
@gameman13;https://www.youtube.com/@gameman13;9,67K ;japanese
@UnouGame;https://www.youtube.com/@UnouGame;9,52K ;japanese
@naopon;https://www.youtube.com/@naopon;9,37K ;japanese
@user-rn8ts6ut3x;https://www.youtube.com/@user-rn8ts6ut3x;9,24K ;japanese
@esturksenpai;https://www.youtube.com/@esturksenpai;9,02K ;japanese
@FuwaMinato;https://www.youtube.com/@FuwaMinato;890K ;japanese
@unapon;https://www.youtube.com/@unapon;88,8K ;japanese
@yuyugames;https://www.youtube.com/@yuyugames;87,7K ;japanese
@ichigo_Gamebeat;https://www.youtube.com/@ichigo_Gamebeat;87,6K ;japanese
@BakkenGames;https://www.youtube.com/@BakkenGames;84,8K ;japanese
@RetoroGame;https://www.youtube.com/@RetoroGame;84,4K ;japanese
@asuka-channel;https://www.youtube.com/@asuka-channel;827K ;japanese
@aogiri1027;https://www.youtube.com/@aogiri1027;827K ;japanese
@daichimiuragame;https://www.youtube.com/@daichimiuragame;82,7K ;japanese
@SiroGame;https://www.youtube.com/@SiroGame;81K ;japanese
@user-yo4mp4qo9m;https://www.youtube.com/@user-yo4mp4qo9m;80,6K ;japanese
@zumasan;https://www.youtube.com/@zumasan;8,91K ;japanese
@user-hp2uh3lp7n;https://www.youtube.com/@user-hp2uh3lp7n;8,73K ;japanese
@I_Niel;https://www.youtube.com/@I_Niel;8,5K ;japanese
@giga_gamech;https://www.youtube.com/@giga_gamech;8,42K ;japanese
@ggjpn;https://www.youtube.com/@ggjpn;8,42K ;japanese
@shima-game;https://www.youtube.com/@shima-game;8,39K ;japanese
@user-mu2jf1zx4s;https://www.youtube.com/@user-mu2jf1zx4s;8,39K ;japanese
@dmmgamesch9849;https://www.youtube.com/@dmmgamesch9849;8,36K ;japanese
@Stell-GameStory;https://www.youtube.com/@Stell-GameStory;8,24K ;japanese
@KojisetoGames;https://www.youtube.com/@KojisetoGames;793K ;japanese
@shinchancompany;https://www.youtube.com/@shinchancompany;79,5K ;japanese
@mackey_game_ch;https://www.youtube.com/@mackey_game_ch;78,5K ;japanese
@guujikkyou;https://www.youtube.com/@guujikkyou;78,3K ;japanese
@HimeHina;https://www.youtube.com/@HimeHina;774K ;japanese
@user-mv5lu2lq9t;https://www.youtube.com/@user-mv5lu2lq9t;77,2K ;japanese
@kumaoka_horror;https://www.youtube.com/@kumaoka_horror;73,9K ;japanese
@tokyogameshow;https://www.youtube.com/@tokyogameshow;72,9K ;japanese
@hirohasu;https://www.youtube.com/@hirohasu;72,8K ;japanese
@Kohsgamechannel;https://www.youtube.com/@Kohsgamechannel;71,6K ;japanese
@kanachannel25;https://www.youtube.com/@kanachannel25;71,5K ;japanese
@shinagawake;https://www.youtube.com/@shinagawake;71,3K ;japanese
@gensouGC;https://www.youtube.com/@gensouGC;70,4K ;japanese
@you0067;https://www.youtube.com/@you0067;7,85K ;japanese
@kpop_bosatsu;https://www.youtube.com/@kpop_bosatsu;7,67K ;japanese
@umaaaaaa;https://www.youtube.com/@umaaaaaa;7,67K ;japanese
@oshintomotomo;https://www.youtube.com/@oshintomotomo;7,65K ;japanese
@saika_hattori;https://www.youtube.com/@saika_hattori;7,5K ;japanese
@user-pl5xx6wx7l;https://www.youtube.com/@user-pl5xx6wx7l;7,47K ;japanese
@user-wv9wz2md7i;https://www.youtube.com/@user-wv9wz2md7i;7,43K ;japanese
@zoniki_;https://www.youtube.com/@zoniki_;7,32K ;japanese
@aya_sanran;https://www.youtube.com/@aya_sanran;7,31K ;japanese
@hinadayo;https://www.youtube.com/@hinadayo;7,21K ;japanese
@sakura_ch;https://www.youtube.com/@sakura_ch;697K ;japanese
@mihoco24;https://www.youtube.com/@mihoco24;68,9K ;japanese
@GameGengo;https://www.youtube.com/@GameGengo;68,7K ;japanese
@fujimiya;https://www.youtube.com/@fujimiya;67,2K ;japanese
@MonsterHunterLove;https://www.youtube.com/@MonsterHunterLove;67,1K ;japanese
@user-wu3qx5jf6i;https://www.youtube.com/@user-wu3qx5jf6i;66,2K ;japanese
@custardgames;https://www.youtube.com/@custardgames;65,6K ;japanese
@kakigame;https://www.youtube.com/@kakigame;65,4K ;japanese
@user-rs3re5vn7l;https://www.youtube.com/@user-rs3re5vn7l;65,1K ;japanese
@ikugame;https://www.youtube.com/@ikugame;61K ;japanese
@gccx20th;https://www.youtube.com/@gccx20th;618K ;japanese
@pirochanBanzai;https://www.youtube.com/@pirochanBanzai;61,9K ;japanese
@kazubochannel;https://www.youtube.com/@kazubochannel;60,7K ;japanese
@user-wd7gq6fb9h;https://www.youtube.com/@user-wd7gq6fb9h;60,3K ;japanese
@user-zd4mw6th6h;https://www.youtube.com/@user-zd4mw6th6h;6,92K ;japanese
@monikiBG;https://www.youtube.com/@monikiBG;6,89K ;japanese
@chome416;https://www.youtube.com/@chome416;6,86K ;japanese
@seikaihamandai;https://www.youtube.com/@seikaihamandai;6,7K ;japanese
@user-dn2jn7kq1n;https://www.youtube.com/@user-dn2jn7kq1n;6,71K ;japanese
@VGM_Robot;https://www.youtube.com/@VGM_Robot;6,65K ;japanese
@yurushisu;https://www.youtube.com/@yurushisu;6,64K ;japanese
@KidsGame-Guide;https://www.youtube.com/@KidsGame-Guide;6,51K ;japanese
@user-wx6jm7sp3s;https://www.youtube.com/@user-wx6jm7sp3s;6,49K ;japanese
@Game_craft12;https://www.youtube.com/@Game_craft12;6,45K ;japanese
@ILOILO_Games;https://www.youtube.com/@ILOILO_Games;6,44K ;japanese
@dotabataneru;https://www.youtube.com/@dotabataneru;6,18K ;japanese
