channel name;channel url;subscribers;language;;;;
@GCL;https://www.youtube.com/@GCL;1,01M ;korean;;;;
@wolfgame__offical;https://www.youtube.com/@wolfgame__offical;1,31M ;korean;;;;
@kimjaewonworld;https://www.youtube.com/@kimjaewonworld;1,62M ;korean;;;;
@woowakgood;https://www.youtube.com/@woowakgood;1,6M ;korean;;;;
@uzuhama;https://www.youtube.com/@uzuhama;1,77M ;korean;;;;
@user-wx7de9zq8n;https://www.youtube.com/@user-wx7de9zq8n;10,1K ;korean;;;;
@user-ld9jm6sh5j;https://www.youtube.com/@user-ld9jm6sh5j;10,1K ;korean;;;;
@shadeTV;https://www.youtube.com/@shadeTV;10,2K ;korean;;;;
@user-uj6wd7gc2q;https://www.youtube.com/@user-uj6wd7gc2q;10,4K ;korean;;;;
@GameBankerTV;https://www.youtube.com/@GameBankerTV;10,5K ;korean;;;;
@Bj_jino;https://www.youtube.com/@Bj_jino;10,6K ;korean;;;;
@balguldan;https://www.youtube.com/@balguldan;10,7K ;korean;;;;
@Dalyongyong;https://www.youtube.com/@Dalyongyong;10,7K ;korean;;;;
@reptv9039;https://www.youtube.com/@reptv9039;10,8K ;korean;;;;
@user-hu1nx2lw7z;https://www.youtube.com/@user-hu1nx2lw7z;10,8K ;korean;;;;
@airshowerse;https://www.youtube.com/@airshowerse;101K ;korean;;;;
@efocusgameplus;https://www.youtube.com/@efocusgameplus;11,2K ;korean;;;;
@PS-wc1zz;https://www.youtube.com/@PS-wc1zz;11,3K ;korean;;;;
@yong4;https://www.youtube.com/@yong4;11,4K ;korean;;;;
@dandelion_game;https://www.youtube.com/@dandelion_game;11,4K ;korean;;;;
@gameky;https://www.youtube.com/@gameky;11,6K ;korean;;;;
@Vanilla_Retro;https://www.youtube.com/@Vanilla_Retro;11,7K ;korean;;;;
@gameyonge;https://www.youtube.com/@gameyonge;116K ;korean;;;;
@Car3D;https://www.youtube.com/@Car3D;117K ;korean;;;;
@GameBomb;https://www.youtube.com/@GameBomb;11K ;korean;;;;
@Doong-El__l;https://www.youtube.com/@Doong-El__l;11K ;korean;;;;
@user-mr2mc4ij5s;https://www.youtube.com/@user-mr2mc4ij5s;12,6K ;korean;;;;
@gamerinna;https://www.youtube.com/@gamerinna;12,9K ;korean;;;;
@rattel;https://www.youtube.com/@rattel;12K ;korean;;;;
@imyoongoon;https://www.youtube.com/@imyoongoon;13,5K ;korean;;;;
@GCE;https://www.youtube.com/@GCE;13,5K ;korean;;;;
@tv-7269;https://www.youtube.com/@tv-7269;13,9K ;korean;;;;
@GameDO;https://www.youtube.com/@GameDO;132K ;korean;;;;
@sinyongin;https://www.youtube.com/@sinyongin;134K ;korean;;;;
@-woogo;https://www.youtube.com/@-woogo;139K ;korean;;;;
@gnyang;https://www.youtube.com/@gnyang;14,3K ;korean;;;;
@wergia;https://www.youtube.com/@wergia;14,4K ;korean;;;;
@kimdoeland;https://www.youtube.com/@kimdoeland;142K ;korean;;;;
@user-sl1le7ns5o;https://www.youtube.com/@user-sl1le7ns5o;146K ;korean;;;;
@user-kv4vj1hu1x;https://www.youtube.com/@user-kv4vj1hu1x;15,1K ;korean;;;;
@8BitDrLee;https://www.youtube.com/@8BitDrLee;15,3K ;korean;;;;
@AssortRockGameAcademy;https://www.youtube.com/@AssortRockGameAcademy;15,4K ;korean;;;;
@user-cb8tg7dj9y;https://www.youtube.com/@user-cb8tg7dj9y;15,5K ;korean;;;;
@balcon_channel;https://www.youtube.com/@balcon_channel;15,6K ;korean;;;;
@bandainamcoentkorea;https://www.youtube.com/@bandainamcoentkorea;16,2K ;korean;;;;
@wonnugget;https://www.youtube.com/@wonnugget;16,2K ;korean;;;;
@gameggu;https://www.youtube.com/@gameggu;16,3K ;korean;;;;
