channel name;channel url;subscribers;language
@BALEEIROGAMES;https://www.youtube.com/@BALEEIROGAMES;1,1M ;portuguese
@LUCCASTOONGAMES;https://www.youtube.com/@LUCCASTOONGAMES;1,62M ;portuguese
@velhotejoga;https://www.youtube.com/@velhotejoga;1,73M ;portuguese
@Toddyncp;https://www.youtube.com/@Toddyncp;1,88M ;portuguese
@BrincadeiraseJogos;https://www.youtube.com/@BrincadeiraseJogos;10,3K ;portuguese
@rapazdosJogos;https://www.youtube.com/@rapazdosJogos;10,4K ;portuguese
@recriandojogosebrincadeiras;https://www.youtube.com/@recriandojogosebrincadeiras;10,5K ;portuguese
@daplayjogos7781;https://www.youtube.com/@daplayjogos7781;10,6K ;portuguese
@THAINIMES;https://www.youtube.com/@THAINIMES;107K ;portuguese
@wasune;https://www.youtube.com/@wasune;10K ;portuguese
@jogosfamosos;https://www.youtube.com/@jogosfamosos;11,4K ;portuguese
@Quintinator;https://www.youtube.com/@Quintinator;110K ;portuguese
@monkeyjogosff;https://www.youtube.com/@monkeyjogosff;112K ;portuguese
@estudiozero-jogos1174;https://www.youtube.com/@estudiozero-jogos1174;117K ;portuguese
@JogosDivertidos;https://www.youtube.com/@JogosDivertidos;118K ;portuguese
@tonyjogos-oficial;https://www.youtube.com/@tonyjogos-oficial;12,4K ;portuguese
@PoeiraJogos;https://www.youtube.com/@PoeiraJogos;123K ;portuguese
@ResumindoGames;https://www.youtube.com/@ResumindoGames;124K ;portuguese
@ToonToonJogos;https://www.youtube.com/@ToonToonJogos;124K ;portuguese
@SegredosDosGames;https://www.youtube.com/@SegredosDosGames;124K ;portuguese
@maniacaporgames;https://www.youtube.com/@maniacaporgames;13,2K ;portuguese
@caioteoriasejogosbelarmino;https://www.youtube.com/@caioteoriasejogosbelarmino;13,2K ;portuguese
@samuraijogos;https://www.youtube.com/@samuraijogos;13,3K ;portuguese
@inhonhoxd;https://www.youtube.com/@inhonhoxd;13,6K ;portuguese
@ORambodosJogos;https://www.youtube.com/@ORambodosJogos;13,6K ;portuguese
@leticiaoliveirajogos8248;https://www.youtube.com/@leticiaoliveirajogos8248;13,6K ;portuguese
@EternoNinja;https://www.youtube.com/@EternoNinja;130K ;portuguese
@ScorpionJogaJogos;https://www.youtube.com/@ScorpionJogaJogos;136K ;portuguese
@Jazzghost;https://www.youtube.com/@Jazzghost;14,5M ;portuguese
@STARTUOL;https://www.youtube.com/@STARTUOL;140K ;portuguese
@JogandoJogos;https://www.youtube.com/@JogandoJogos;142K ;portuguese
@JogosBocais;https://www.youtube.com/@JogosBocais;142K ;portuguese
@SalleSRJnaWeb3;https://www.youtube.com/@SalleSRJnaWeb3;148K ;portuguese
@TorneiodeJogos;https://www.youtube.com/@TorneiodeJogos;15,2K ;portuguese
@azuriztv;https://www.youtube.com/@azuriztv;15,3K ;portuguese
@CriacaodeJogos;https://www.youtube.com/@CriacaodeJogos;15,6K ;portuguese
@CantinhodoYoutuber;https://www.youtube.com/@CantinhodoYoutuber;15,8K ;portuguese
@Cogumelando;https://www.youtube.com/@Cogumelando;157K ;portuguese
@CrieSeusJogos;https://www.youtube.com/@CrieSeusJogos;158K ;portuguese
@raphaeldias-producaodejogo500;https://www.youtube.com/@raphaeldias-producaodejogo500;16,6K ;portuguese
@Apenasmaisumcanalsobrejogos;https://www.youtube.com/@Apenasmaisumcanalsobrejogos;16,7K ;portuguese
@BAROLOJOGOS;https://www.youtube.com/@BAROLOJOGOS;166K ;portuguese
@NOMUNDODOSJOGOS;https://www.youtube.com/@NOMUNDODOSJOGOS;17,1K ;portuguese
@elizabetejogosdaloteria4910;https://www.youtube.com/@elizabetejogosdaloteria4910;17,2K ;portuguese
@JogosMortaisYouTube;https://www.youtube.com/@JogosMortaisYouTube;17,3K ;portuguese
@AlgoSobreJogosSlim;https://www.youtube.com/@AlgoSobreJogosSlim;18,1K ;portuguese
@TMdoBrasil;https://www.youtube.com/@TMdoBrasil;18,2K ;portuguese
@NETLUSA;https://www.youtube.com/@NETLUSA;18,3K ;portuguese
@JogosBeemoov;https://www.youtube.com/@JogosBeemoov;19,8K ;portuguese
@SPFCJogosMemoraveis;https://www.youtube.com/@SPFCJogosMemoraveis;191K ;portuguese
@MaisJogosAoVivo;https://www.youtube.com/@MaisJogosAoVivo;19K ;portuguese
@PupiGames;https://www.youtube.com/@PupiGames;2,07M ;portuguese
@SegueoJogo;https://www.youtube.com/@SegueoJogo;2,33M ;portuguese
@Eng_Leo;https://www.youtube.com/@Eng_Leo;2,49M ;portuguese
@SoPorCausa;https://www.youtube.com/@SoPorCausa;2,6M ;portuguese
@VideosdeClassicosOficial;https://www.youtube.com/@VideosdeClassicosOficial;2,73M ;portuguese
@patoxjogos;https://www.youtube.com/@patoxjogos;21,7K ;portuguese
@GamePlaysCassi;https://www.youtube.com/@GamePlaysCassi;217K ;portuguese
@BondeJogos;https://www.youtube.com/@BondeJogos;21K ;portuguese
@edujogos6726;https://www.youtube.com/@edujogos6726;22,5K ;portuguese
@sMetalBear;https://www.youtube.com/@sMetalBear;237K ;portuguese
@FLASHPOINTGAMES;https://www.youtube.com/@FLASHPOINTGAMES;238K ;portuguese
@Jogosdodiabr_;https://www.youtube.com/@Jogosdodiabr_;24,6K ;portuguese
@afj;https://www.youtube.com/@afj;24K ;portuguese
@fabricaDjogos;https://www.youtube.com/@fabricaDjogos;25,3K ;portuguese
@blogfimdejogo;https://www.youtube.com/@blogfimdejogo;25,9K ;portuguese
@TonyRochaOficial;https://www.youtube.com/@TonyRochaOficial;261K ;portuguese
@AnaJoga;https://www.youtube.com/@AnaJoga;261K ;portuguese
@mundogalapagos;https://www.youtube.com/@mundogalapagos;28,8K ;portuguese
@GabrieleShirley;https://www.youtube.com/@GabrieleShirley;3,03M ;portuguese
@JOGOSDEDAMASvix;https://www.youtube.com/@JOGOSDEDAMASvix;30K ;portuguese
@defenestrandojogos;https://www.youtube.com/@defenestrandojogos;32,4K ;portuguese
@jogareganhar;https://www.youtube.com/@jogareganhar;322K ;portuguese
