channel name;channel url;subscriber;language
@iKuklaTV;https://www.youtube.com/@iKuklaTV;1,46M ;russian
@mrbeastgamingrussian;https://www.youtube.com/@mrbeastgamingrussian;1,49M ;russian
@yarikbrooo;https://www.youtube.com/@yarikbrooo;1,5M ;russian
@TheGideonGames;https://www.youtube.com/@TheGideonGames;1,72M ;russian
@0guitars;https://www.youtube.com/@0guitars;1,73M ;russian
@whoyourenemy;https://www.youtube.com/@whoyourenemy;1,75M ;russian
@user-qg3kt6nj1v;https://www.youtube.com/@user-qg3kt6nj1v;10,3K ;russian
@vovan.ua.;https://www.youtube.com/@vovan.ua.;10,7K ;russian
@BabushkaShoshoigri;https://www.youtube.com/@BabushkaShoshoigri;100K ;russian
@user-qv9sz1yx3i;https://www.youtube.com/@user-qv9sz1yx3i;100K ;russian
@nizagams;https://www.youtube.com/@nizagams;106K ;russian
@4GameFree;https://www.youtube.com/@4GameFree;106K ;russian
@1bitum1;https://www.youtube.com/@1bitum1;11,4K ;russian
@SaveThePirate;https://www.youtube.com/@SaveThePirate;11,6K ;russian
@vseigru;https://www.youtube.com/@vseigru;11,6K ;russian
@AlenaKravchenko;https://www.youtube.com/@AlenaKravchenko;114K ;russian
@gamesinprism;https://www.youtube.com/@gamesinprism;114K ;russian
@Basik582;https://www.youtube.com/@Basik582;12,8K ;russian
@MagicBG;https://www.youtube.com/@MagicBG;12,9K ;russian
@playschool_official_online;https://www.youtube.com/@playschool_official_online;12,9K ;russian
@videomobua;https://www.youtube.com/@videomobua;123K ;russian
@multoigriru;https://www.youtube.com/@multoigriru;12K ;russian
@NordicGamesLab;https://www.youtube.com/@NordicGamesLab;13,1K ;russian
@cyberstars-5839;https://www.youtube.com/@cyberstars-5839;134K ;russian
@TeoriaVsego;https://www.youtube.com/@TeoriaVsego;139K ;russian
@wkg_drujba;https://www.youtube.com/@wkg_drujba;14,6K ;russian
@games-syndicate;https://www.youtube.com/@games-syndicate;145K ;russian
@LeshaIgraet;https://www.youtube.com/@LeshaIgraet;149K ;russian
@user-cu7wr4ob1m;https://www.youtube.com/@user-cu7wr4ob1m;15,3K ;russian
@GoodBoyFun;https://www.youtube.com/@GoodBoyFun;15,3K ;russian
@THESTATIONFFH;https://www.youtube.com/@THESTATIONFFH;151K ;russian
@ICECREAM2019;https://www.youtube.com/@ICECREAM2019;167K ;russian
@Ghost_gamedev;https://www.youtube.com/@Ghost_gamedev;17,2K ;russian
@tvoy;https://www.youtube.com/@tvoy;179K ;russian
@user-io9cn9ut6l;https://www.youtube.com/@user-io9cn9ut6l;187K ;russian
@Deltastars333;https://www.youtube.com/@Deltastars333;19,4K ;russian
@Lehosc;https://www.youtube.com/@Lehosc;19,4K ;russian
@RaconGames;https://www.youtube.com/@RaconGames;19,6K ;russian
@pitergaga;https://www.youtube.com/@pitergaga;19,7K ;russian
@WinCondition;https://www.youtube.com/@WinCondition;19K ;russian
@VikiShowPLAY;https://www.youtube.com/@VikiShowPLAY;2,09M ;russian
@TilkaPlay;https://www.youtube.com/@TilkaPlay;2,22M ;russian
@Bekst;https://www.youtube.com/@Bekst;2,56M ;russian
@onlinegamercentral;https://www.youtube.com/@onlinegamercentral;2,65M ;russian
@chickencurryshow;https://www.youtube.com/@chickencurryshow;2,83M ;russian
@user-ig3ll2tr5c;https://www.youtube.com/@user-ig3ll2tr5c;20,3K ;russian
@AnrialGame;https://www.youtube.com/@AnrialGame;203K ;russian
@FirstFretLessons;https://www.youtube.com/@FirstFretLessons;210K ;russian
@Shvaygert_Family;https://www.youtube.com/@Shvaygert_Family;213K ;russian
@DenOvsyannikov;https://www.youtube.com/@DenOvsyannikov;220K ;russian
@kinatvideoplay;https://www.youtube.com/@kinatvideoplay;23,9K ;russian
