channel name;channel url;subscribers;language
@GGGames._;https://www.youtube.com/@GGGames._;618K ;spanish
@elfedelobo;https://www.youtube.com/@elfedelobo;7,86M ;spanish
@ELTINCHOJUEGOS;https://www.youtube.com/@ELTINCHOJUEGOS;43,6K ;spanish
@LosJuegosdeDaniyEvan;https://www.youtube.com/@LosJuegosdeDaniyEvan;938K ;spanish
@ABlistering;https://www.youtube.com/@ABlistering;1,71M ;spanish
@JuegosDeMELVIN;https://www.youtube.com/@JuegosDeMELVIN;90,3K ;spanish
@APKRoms;https://www.youtube.com/@APKRoms;12,9K ;spanish
@Jonnijuro;https://www.youtube.com/@Jonnijuro;139K ;spanish
@JuegosconLari;https://www.youtube.com/@JuegosconLari;19,6K ;spanish
@MeffyGames;https://www.youtube.com/@MeffyGames;8,93K ;spanish
@JuegosPerdidos;https://www.youtube.com/@JuegosPerdidos;5,62K ;spanish
@juegosdelprofesebas4365;https://www.youtube.com/@juegosdelprofesebas4365;9,76K ;spanish
@LaMesadeDam;https://www.youtube.com/@LaMesadeDam;53,2K ;spanish
@ToonToonJuegosES;https://www.youtube.com/@ToonToonJuegosES;4,3M ;spanish
@juegosef7145;https://www.youtube.com/@juegosef7145;78,1K ;spanish
@JuegosparaTodos1;https://www.youtube.com/@JuegosparaTodos1;315K ;spanish
@LosFamilukis;https://www.youtube.com/@LosFamilukis;2,01M ;spanish
@isaidjuegos;https://www.youtube.com/@isaidjuegos;70,6K ;spanish
@DANMKIE;https://www.youtube.com/@DANMKIE;16K ;spanish
@1000juegosfrivcom;https://www.youtube.com/@1000juegosfrivcom;6,49K ;spanish
@TitiJuegos;https://www.youtube.com/@TitiJuegos;2,03M ;spanish
@LeyendasyVideojuegos;https://www.youtube.com/@LeyendasyVideojuegos;656K ;spanish
@MoonbugKids_ParquedeJuegos;https://www.youtube.com/@MoonbugKids_ParquedeJuegos;1,31M ;spanish
@losjuegosdenoel;https://www.youtube.com/@losjuegosdenoel;7,99K ;spanish
@Infrecuentes;https://www.youtube.com/@Infrecuentes;103K ;spanish
@PokerCardsMex;https://www.youtube.com/@PokerCardsMex;212K ;spanish
@DescargandoloJuegos;https://www.youtube.com/@DescargandoloJuegos;792K ;spanish
@cristaljuegos5074;https://www.youtube.com/@cristaljuegos5074;9,5K ;spanish
@DikiDukiVideojuegos;https://www.youtube.com/@DikiDukiVideojuegos;893K ;spanish
@erroresdetragamonedasomega;https://www.youtube.com/@erroresdetragamonedasomega;11,9K ;spanish
@PepeElMago;https://www.youtube.com/@PepeElMago;2,53M ;spanish
@zacatrus;https://www.youtube.com/@zacatrus;56,7K ;spanish
@academiadevideojuegos;https://www.youtube.com/@academiadevideojuegos;60,5K ;spanish
@Guinxu;https://www.youtube.com/@Guinxu;846K ;spanish
@Counil;https://www.youtube.com/@Counil;124K ;spanish
@AdanJuegos;https://www.youtube.com/@AdanJuegos;10,4K ;spanish
@RULOJUEGOS;https://www.youtube.com/@RULOJUEGOS;11,4K ;spanish
@Axel_1UP;https://www.youtube.com/@Axel_1UP;384K ;spanish
@willgoldplay;https://www.youtube.com/@willgoldplay;49,1K ;spanish
@laracozygaming;https://www.youtube.com/@laracozygaming;28,7K ;spanish
