channel name;channel url;subscribers;language
@rinlove09;https://www.youtube.com/@rinlove09;1,32M;thailand
@ISong-Slot;https://www.youtube.com/@ISong-Slot;12,1K;thailand
@IamOhmZa;https://www.youtube.com/@IamOhmZa;12,9K;thailand
@LovelySakura;https://www.youtube.com/@LovelySakura;155K;thailand
@tonplaygame;https://www.youtube.com/@tonplaygame;17,1K;thailand
@poppab3d;https://www.youtube.com/@poppab3d;170K;thailand
@YikAlohaCH;https://www.youtube.com/@YikAlohaCH;174K;thailand
@adpokspeccom;https://www.youtube.com/@adpokspeccom;176K;thailand
@PlearnGaming;https://www.youtube.com/@PlearnGaming;189K;thailand
@Nontakans;https://www.youtube.com/@Nontakans;2,33M;thailand
@Slot_isong;https://www.youtube.com/@Slot_isong;32,3K;thailand
@KLAWKLA;https://www.youtube.com/@KLAWKLA;324K;thailand
@CatZGamer;https://www.youtube.com/@CatZGamer;353K;thailand
@nnplayh3n;https://www.youtube.com/@nnplayh3n;39,6K;thailand
@knngame;https://www.youtube.com/@knngame;5,71K;thailand
@ANKStudio0810;https://www.youtube.com/@ANKStudio0810;51,5K;thailand
@GFRTH;https://www.youtube.com/@GFRTH;548K;thailand
@user-rw2si2bu1j;https://www.youtube.com/@user-rw2si2bu1j;6,88K;thailand
@wakeupruj;https://www.youtube.com/@wakeupruj;805K;thailand
@SSRenz;https://www.youtube.com/@SSRenz;93,3K;thailand
