channel name;channel url;subscribers;language
@tumbiktv;https://www.youtube.com/@tumbiktv;1,19M ;turkish
@OyunKent;https://www.youtube.com/@OyunKent;1,22M ;turkish
@BiBaBuOyunDiyari;https://www.youtube.com/@BiBaBuOyunDiyari;1,29M ;turkish
@OyunKonsoluSerdar;https://www.youtube.com/@OyunKonsoluSerdar;1,31M ;turkish
@Bakirkertenkele31;https://www.youtube.com/@Bakirkertenkele31;1,31M ;turkish
@PqueeNN;https://www.youtube.com/@PqueeNN;1,45M ;turkish
@EasterGamersTv;https://www.youtube.com/@EasterGamersTv;1,46M ;turkish
@HUGOLA;https://www.youtube.com/@HUGOLA;1,72M ;turkish
@OYUNROTASI;https://www.youtube.com/@OYUNROTASI;1,96M ;turkish
@oyunkutusu1239;https://www.youtube.com/@oyunkutusu1239;10,1K ;turkish
@oyunhavalaritv;https://www.youtube.com/@oyunhavalaritv;10,8K ;turkish
@samedgungorlive;https://www.youtube.com/@samedgungorlive;102K ;turkish
@AriunOyun;https://www.youtube.com/@AriunOyun;103K ;turkish
@mobiloyunFerdi;https://www.youtube.com/@mobiloyunFerdi;109K ;turkish
@HamzaYigitAvc;https://www.youtube.com/@HamzaYigitAvc;11,6K ;turkish
@Marcus7z;https://www.youtube.com/@Marcus7z;11,6K ;turkish
@khulanoyun;https://www.youtube.com/@khulanoyun;11,8K ;turkish
@OyunNETTV;https://www.youtube.com/@OyunNETTV;12,1K ;turkish
@oyun_evimm;https://www.youtube.com/@oyun_evimm;12,3K ;turkish
@OyunKlavuzuGM;https://www.youtube.com/@OyunKlavuzuGM;12,4K ;turkish
@AlperenMizan;https://www.youtube.com/@AlperenMizan;12,5K ;turkish
@SertacAbii;https://www.youtube.com/@SertacAbii;122K ;turkish
@OnurUmurOyun;https://www.youtube.com/@OnurUmurOyun;12K ;turkish
@sezeoyun;https://www.youtube.com/@sezeoyun;13,3K ;turkish
@LaLaLifeGamesTurkey;https://www.youtube.com/@LaLaLifeGamesTurkey;149K ;turkish
@NDNOYUN;https://www.youtube.com/@NDNOYUN;14K ;turkish
@kirkaltioyunhavalari6093;https://www.youtube.com/@kirkaltioyunhavalari6093;15,6K ;turkish
@istencikincaoyun;https://www.youtube.com/@istencikincaoyun;15,7K ;turkish
@atlantisoyundunyasi;https://www.youtube.com/@atlantisoyundunyasi;16,5K ;turkish
@tilkiselim;https://www.youtube.com/@tilkiselim;165K ;turkish
@XTR17;https://www.youtube.com/@XTR17;17,3K ;turkish
@OyunOburu;https://www.youtube.com/@OyunOburu;173K ;turkish
@zeynepablaileoyunsaati;https://www.youtube.com/@zeynepablaileoyunsaati;175K ;turkish
@kartex07;https://www.youtube.com/@kartex07;176K ;turkish
@furkanoyuntuncer;https://www.youtube.com/@furkanoyuntuncer;18,9K ;turkish
@hiraylaoyunpesinde7338;https://www.youtube.com/@hiraylaoyunpesinde7338;187K ;turkish
@OrhunKayaalp;https://www.youtube.com/@OrhunKayaalp;188K ;turkish
@SelcukPekoz;https://www.youtube.com/@SelcukPekoz;19,8K ;turkish
@EnesBaturndng;https://www.youtube.com/@EnesBaturndng;2,07M ;turkish
@oyundelisiYT;https://www.youtube.com/@oyundelisiYT;2,45M ;turkish
@Oyunicioyunportal;https://www.youtube.com/@Oyunicioyunportal;2,45M ;turkish
@OyunCamiasi0;https://www.youtube.com/@OyunCamiasi0;206K ;turkish
@Oyun.Tadinda;https://www.youtube.com/@Oyun.Tadinda;21,1K ;turkish
@akdenizoyunhavalari;https://www.youtube.com/@akdenizoyunhavalari;23,4K ;turkish
@defneileoyunvakti;https://www.youtube.com/@defneileoyunvakti;234K ;turkish
@OyunGizemleriTV;https://www.youtube.com/@OyunGizemleriTV;238K ;turkish
@oyunlobisi3971;https://www.youtube.com/@oyunlobisi3971;23K ;turkish
@oyunekibi1;https://www.youtube.com/@oyunekibi1;24,4K ;turkish
@turkceoyunfilmi;https://www.youtube.com/@turkceoyunfilmi;24,7K ;turkish
@OMTGame;https://www.youtube.com/@OMTGame;24,9K ;turkish
@OYUNRAPSAVASLARI;https://www.youtube.com/@OYUNRAPSAVASLARI;25,9K ;turkish
@OyunGunluguNet;https://www.youtube.com/@OyunGunluguNet;252K ;turkish
@oyunhavalar1739;https://www.youtube.com/@oyunhavalar1739;26,5K ;turkish
@tugceoyuntv;https://www.youtube.com/@tugceoyuntv;27,5K ;turkish
@OyunHamuruTV;https://www.youtube.com/@OyunHamuruTV;273K ;turkish
@COCUKLARAOYUNTV;https://www.youtube.com/@COCUKLARAOYUNTV;28,2K ;turkish
@OyunPas0;https://www.youtube.com/@OyunPas0;29,2K ;turkish
@MertGultas2;https://www.youtube.com/@MertGultas2;312K ;turkish
@oyuncuaileyoutube;https://www.youtube.com/@oyuncuaileyoutube;314K ;turkish
@csnaber;https://www.youtube.com/@csnaber;319K ;turkish
@JabbaOyunTV;https://www.youtube.com/@JabbaOyunTV;33,5K ;turkish
@ZulaOyunEspor;https://www.youtube.com/@ZulaOyunEspor;33,8K ;turkish
@esmaoyuntv;https://www.youtube.com/@esmaoyuntv;333K ;turkish
@VURALUZUL2;https://www.youtube.com/@VURALUZUL2;351K ;turkish
@Fatihselimenes;https://www.youtube.com/@Fatihselimenes;368K ;turkish
@oyunztk4790;https://www.youtube.com/@oyunztk4790;369K ;turkish
@SiyahOyun;https://www.youtube.com/@SiyahOyun;373K ;turkish
@BeyazOyunYT;https://www.youtube.com/@BeyazOyunYT;376K ;turkish
@oyunburdavm;https://www.youtube.com/@oyunburdavm;38K ;turkish
@OyuncuYusuf;https://www.youtube.com/@OyuncuYusuf;4,59M ;turkish
@DilaKent;https://www.youtube.com/@DilaKent;4,75M ;turkish
@alya-tmr;https://www.youtube.com/@alya-tmr;40,1K ;turkish
@at0mdev;https://www.youtube.com/@at0mdev;434K ;turkish
@oyuncandir;https://www.youtube.com/@oyuncandir;44,8K ;turkish
@MAYAOZGUN;https://www.youtube.com/@MAYAOZGUN;450K ;turkish
@OYUNDOKTORUM;https://www.youtube.com/@OYUNDOKTORUM;49,3K ;turkish
@Kayagrayy;https://www.youtube.com/@Kayagrayy;49,5K ;turkish
@Kayagrayy;https://www.youtube.com/@Kayagrayy;49,5K ;turkish
@oyunseyri;https://www.youtube.com/@oyunseyri;5,1K ;turkish
@oyunoynuyoo;https://www.youtube.com/@oyunoynuyoo;5,2K ;turkish
@OyunKralicesi;https://www.youtube.com/@OyunKralicesi;5,33K ;turkish
@OyunFuryasi;https://www.youtube.com/@OyunFuryasi;5,42K ;turkish
