channel name;channel url;subscribers;language
@tienkhongchoigame;https://www.youtube.com/@tienkhongchoigame;11,1K;vietnamese
@mitro_game;https://www.youtube.com/@mitro_game;57,7K;vietnamese
@ShopTayCam;https://www.youtube.com/@ShopTayCam;10,5K;vietnamese
@5Bronze;https://www.youtube.com/@5Bronze;739K;vietnamese
@TanTaiGaming;https://www.youtube.com/@TanTaiGaming;548K;vietnamese
@GameCucHay;https://www.youtube.com/@GameCucHay;442K;vietnamese
@VeVeOfficial98;https://www.youtube.com/@VeVeOfficial98;728K;vietnamese
@hoangluanblv;https://www.youtube.com/@hoangluanblv;321K;vietnamese
@ThanhEJ;https://www.youtube.com/@ThanhEJ;823K;vietnamese
@GNDTT;https://www.youtube.com/@GNDTT;1,24M;vietnamese
@rikusan09;https://www.youtube.com/@rikusan09;35,9K;vietnamese
@duongfg;https://www.youtube.com/@duongfg;2,06M;vietnamese
@NuocMiaMOBA;https://www.youtube.com/@NuocMiaMOBA;64,5K;vietnamese
@hanhgamingtv;https://www.youtube.com/@hanhgamingtv;63K;vietnamese
@hienichoigame4126;https://www.youtube.com/@hienichoigame4126;8,66K;vietnamese
@thichchoigametv813;https://www.youtube.com/@thichchoigametv813;6,43K;vietnamese
@sangtraan;https://www.youtube.com/@sangtraan;315K;vietnamese
@SnooppiGame;https://www.youtube.com/@SnooppiGame;12,6K;vietnamese
@HaThaoLinhOfficial;https://www.youtube.com/@HaThaoLinhOfficial;429K;vietnamese
@SPupgaming;https://www.youtube.com/@SPupgaming;11,1K;vietnamese
@HUNGAKIRACHOIGAME;https://www.youtube.com/@HUNGAKIRACHOIGAME;47,2K;vietnamese
@VuaTroChoiOfficial;https://www.youtube.com/@VuaTroChoiOfficial;42,7K;vietnamese
@HatSnowPlayer;https://www.youtube.com/@HatSnowPlayer;682K;vietnamese
@noxusschoigame1251;https://www.youtube.com/@noxusschoigame1251;29,9K;vietnamese
@ntctrochoi;https://www.youtube.com/@ntctrochoi;6,89K;vietnamese
@ChangDoran2k;https://www.youtube.com/@ChangDoran2k;79,5K;vietnamese
@LordTrung;https://www.youtube.com/@LordTrung;20,1K;vietnamese
@ChiGaKiemThe;https://www.youtube.com/@ChiGaKiemThe;12,6K;vietnamese
@miulihamchoi9810;https://www.youtube.com/@miulihamchoi9810;184K;vietnamese
@TrucTiepGameVN;https://www.youtube.com/@TrucTiepGameVN;1,82M;vietnamese
