channel name;channel url;subscribers;language
@user-ke3gh2ff5f;https://www.youtube.com/@user-ke3gh2ff5f;10,8K;cantonese
@sports-story;https://www.youtube.com/@sports-story;10,9K;cantonese
@oldshih3;https://www.youtube.com/@oldshih3;109K;cantonese
@xiaopatiyu;https://www.youtube.com/@xiaopatiyu;11,3K;cantonese
@stanleybaseball;https://www.youtube.com/@stanleybaseball;111K;cantonese
@camerabaysports;https://www.youtube.com/@camerabaysports;113K;cantonese
@jianjian6524;https://www.youtube.com/@jianjian6524;12,1K;cantonese
@tiyuzhijia;https://www.youtube.com/@tiyuzhijia;12K;cantonese
@user-xi7uv5mb6h;https://www.youtube.com/@user-xi7uv5mb6h;13,7K;cantonese
@southeastmedia5923;https://www.youtube.com/@southeastmedia5923;131K;cantonese
@ssutv;https://www.youtube.com/@ssutv;138K;cantonese
@TiYuZG;https://www.youtube.com/@TiYuZG;15,3K;cantonese
@migusports2645;https://www.youtube.com/@migusports2645;15,5K;cantonese
@AsanteKotokoSC_official;https://www.youtube.com/@AsanteKotokoSC_official;15,5K;cantonese
@sportsyeah2;https://www.youtube.com/@sportsyeah2;16,3K;cantonese
@tiyulingyu;https://www.youtube.com/@tiyulingyu;16K;cantonese
@shidianzheng;https://www.youtube.com/@shidianzheng;17,9K;cantonese
@pts_sports;https://www.youtube.com/@pts_sports;18,1K;cantonese
@okazakitaiiku;https://www.youtube.com/@okazakitaiiku;193K;cantonese
@user-huangbrothers;https://www.youtube.com/@user-huangbrothers;2,2M;cantonese
@fenerbahce;https://www.youtube.com/@fenerbahce;2,52M;cantonese
@Galatasaray;https://www.youtube.com/@Galatasaray;2,68M;cantonese
@MOESPORTS;https://www.youtube.com/@MOESPORTS;203K;cantonese
@zhibotv;https://www.youtube.com/@zhibotv;21,5K;cantonese
@TVLeao;https://www.youtube.com/@TVLeao;238K;cantonese
@ptslivestream;https://www.youtube.com/@ptslivestream;252K;cantonese
@HaHaSports;https://www.youtube.com/@HaHaSports;26,2K;cantonese
@user-fo7zm3ub3w;https://www.youtube.com/@user-fo7zm3ub3w;28,1K;cantonese
@Sportcasttw;https://www.youtube.com/@Sportcasttw;32,2K;cantonese
@user-SnookerCluster;https://www.youtube.com/@user-SnookerCluster;33K;cantonese
@isportsyt;https://www.youtube.com/@isportsyt;35K;cantonese
@water8338;https://www.youtube.com/@water8338;36,4K;cantonese
@GetWinSport;https://www.youtube.com/@GetWinSport;39,1K;cantonese
@vlsports;https://www.youtube.com/@vlsports;428K;cantonese
@chinasport;https://www.youtube.com/@chinasport;43,7K;cantonese
@YoungAfricansSCTV;https://www.youtube.com/@YoungAfricansSCTV;456K;cantonese
@sanlorenzo;https://www.youtube.com/@sanlorenzo;48,7K;cantonese
@SportsInsights000;https://www.youtube.com/@SportsInsights000;48K;cantonese
@darksports;https://www.youtube.com/@darksports;5,21K;cantonese
@ChinaSportsLegends;https://www.youtube.com/@ChinaSportsLegends;5,32K;cantonese
@jiangsports77;https://www.youtube.com/@jiangsports77;5,55K;cantonese
@user-lp5jz2br1b;https://www.youtube.com/@user-lp5jz2br1b;5,6K;cantonese
@mplus7833;https://www.youtube.com/@mplus7833;5,85K;cantonese
@VideolandJapan;https://www.youtube.com/@VideolandJapan;507K;cantonese
@HOYTVHK;https://www.youtube.com/@HOYTVHK;523K;cantonese
@HOPSports;https://www.youtube.com/@HOPSports;53,6K;cantonese
@chivas;https://www.youtube.com/@chivas;547K;cantonese
@ctseducation;https://www.youtube.com/@ctseducation;57,8K;cantonese
@OficialRCDMallorca;https://www.youtube.com/@OficialRCDMallorca;58,3K;cantonese
@NipponTaiikuDaigaku;https://www.youtube.com/@NipponTaiikuDaigaku;6,11K;cantonese
@xujingyu;https://www.youtube.com/@xujingyu;6,26K;cantonese
@WeiTingSport;https://www.youtube.com/@WeiTingSport;6,27K;cantonese
@sports-chat;https://www.youtube.com/@sports-chat;6,3K;cantonese
@AllaboutfootballbyGaryLee;https://www.youtube.com/@AllaboutfootballbyGaryLee;6,65K;cantonese
@tdmmacau6947;https://www.youtube.com/@tdmmacau6947;6,91K;cantonese
@ELTASPORTSHD;https://www.youtube.com/@ELTASPORTSHD;651K;cantonese
@sportstoday;https://www.youtube.com/@sportstoday;7,18K;cantonese
@Sport_sa_taiwan;https://www.youtube.com/@Sport_sa_taiwan;7,85K;cantonese
@songieesiang;https://www.youtube.com/@songieesiang;7,88K;cantonese
@PrensaChacaritaJrs;https://www.youtube.com/@PrensaChacaritaJrs;7,91K;cantonese
@momosports75;https://www.youtube.com/@momosports75;70,8K;cantonese
@DST;https://www.youtube.com/@DST;71,8K;cantonese
@oursport_tv;https://www.youtube.com/@oursport_tv;73,3K;cantonese
@user-zb7sj8qr3s;https://www.youtube.com/@user-zb7sj8qr3s;8,48K;cantonese
@yahoo.hongkong;https://www.youtube.com/@yahoo.hongkong;83,4K;cantonese
@weare88888;https://www.youtube.com/@weare88888;86K;cantonese
@sdeibartv;https://www.youtube.com/@sdeibartv;9,27K;cantonese
@JinZhaoTiYu;https://www.youtube.com/@JinZhaoTiYu;9,91K;cantonese
@KC_SportsVision;https://www.youtube.com/@KC_SportsVision;97,5K;cantonese
