channel name;channel url;subscribers;language
@IAMATHLETE;https://www.youtube.com/@IAMATHLETE;1,04M;french
@paramountplus;https://www.youtube.com/@paramountplus;1,08M;french
@foxsports;https://www.youtube.com/@foxsports;1,09M;french
@EsportsRoyale;https://www.youtube.com/@EsportsRoyale;1,14M;french
@TillLindemann_official;https://www.youtube.com/@TillLindemann_official;1,17M;french
@CanalplusSport;https://www.youtube.com/@CanalplusSport;1,19M;french
@skysportsboxing;https://www.youtube.com/@skysportsboxing;1,21M;french
@TNTSportsAR;https://www.youtube.com/@TNTSportsAR;1,22M;french
@cbssportsgolazo;https://www.youtube.com/@cbssportsgolazo;1,36M;french
@RainbowSixEsports;https://www.youtube.com/@RainbowSixEsports;1,36M;french
@freefireesportsofficial;https://www.youtube.com/@freefireesportsofficial;1,47M;french
@talkSPORT;https://www.youtube.com/@talkSPORT;1,4M;french
@XGames;https://www.youtube.com/@XGames;1,65M;french
@SkySportDE;https://www.youtube.com/@SkySportDE;1,6M;french
@Riyadiyatv;https://www.youtube.com/@Riyadiyatv;1,74M;french
@SHOSports;https://www.youtube.com/@SHOSports;1,82M;french
@HNBMediaTV;https://www.youtube.com/@HNBMediaTV;1,88M;french
@MLBBeSports;https://www.youtube.com/@MLBBeSports;1,88M;french
@TNTSportsBR;https://www.youtube.com/@TNTSportsBR;10,4M;french
@beINSPORTS;https://www.youtube.com/@beINSPORTS;10,6M;french
@espn;https://www.youtube.com/@espn;10,9M;french
@internationalblindsportsfe7490;https://www.youtube.com/@internationalblindsportsfe7490;10K;french
@BernadettedeLourdes;https://www.youtube.com/@BernadettedeLourdes;11,3K;french
@ShauntheSheepOfficial;https://www.youtube.com/@ShauntheSheepOfficial;11,4M;french
@SBSSportau;https://www.youtube.com/@SBSSportau;119K;french
@NFL;https://www.youtube.com/@NFL;12,2M;french
@ArynewsTvofficial;https://www.youtube.com/@ArynewsTvofficial;12,6M;french
@RTLSport;https://www.youtube.com/@RTLSport;128K;french
@redbull;https://www.youtube.com/@redbull;13,4M;french
@TigoSportsElSalvador;https://www.youtube.com/@TigoSportsElSalvador;14,5K;french
@talkSPORTBoxing;https://www.youtube.com/@talkSPORTBoxing;147K;french
@unMAXdeSPORT;https://www.youtube.com/@unMAXdeSPORT;15,2K;french
@americasports;https://www.youtube.com/@americasports;15,9K;french
@RaidersReport;https://www.youtube.com/@RaidersReport;155K;french
@nbaextra-beinsports;https://www.youtube.com/@nbaextra-beinsports;158K;french
@live;https://www.youtube.com/@live;16,3M;french
@BeINSPORTSlive;https://www.youtube.com/@BeINSPORTSlive;17,2K;french
@ufc;https://www.youtube.com/@ufc;17,2M;french
@SportsVZLA;https://www.youtube.com/@SportsVZLA;17,3K;french
@sportsproductions2600;https://www.youtube.com/@sportsproductions2600;185K;french
@theodd1sout;https://www.youtube.com/@theodd1sout;19,2M;french
@UOLEsporte;https://www.youtube.com/@UOLEsporte;1M;french
@beINSPORTSFrance;https://www.youtube.com/@beINSPORTSFrance;2,02M;french
@oaktreesports;https://www.youtube.com/@oaktreesports;2,06M;french
@tycsports;https://www.youtube.com/@tycsports;2,27M;french
@ThePatMcAfeeShow;https://www.youtube.com/@ThePatMcAfeeShow;2,36M;french
@FIBA;https://www.youtube.com/@FIBA;2,4M;french
@terredesportequestre;https://www.youtube.com/@terredesportequestre;20,8K;french
@DesFit;https://www.youtube.com/@DesFit;204K;french
@DesFit;https://www.youtube.com/@DesFit;204K;french
@fifa;https://www.youtube.com/@fifa;20M;french
@SportsMaxTVLIVE;https://www.youtube.com/@SportsMaxTVLIVE;227K;french
@sportssalta;https://www.youtube.com/@sportssalta;23,2K;french
@SportsTodayofficial;https://www.youtube.com/@SportsTodayofficial;238K;french
@rdsca;https://www.youtube.com/@rdsca;24,3K;french
@WatchKSR;https://www.youtube.com/@WatchKSR;24,4K;french
@SportsMaximo;https://www.youtube.com/@SportsMaximo;24,7K;french
@gzhdigital;https://www.youtube.com/@gzhdigital;251K;french
@EASFCMOBILE;https://www.youtube.com/@EASFCMOBILE;268K;french
@bf1burkina;https://www.youtube.com/@bf1burkina;279K;french
@Watersportszone;https://www.youtube.com/@Watersportszone;29,6K;french
@ContesdeFoot;https://www.youtube.com/@ContesdeFoot;297K;french
@NBCSports;https://www.youtube.com/@NBCSports;3,45M;french
@lolesports;https://www.youtube.com/@lolesports;3,61M;french
@DAZNBoxing;https://www.youtube.com/@DAZNBoxing;3,7M;french
@sportclimbing;https://www.youtube.com/@sportclimbing;305K;french
@slbenfica;https://www.youtube.com/@slbenfica;310K;french
@RTSsport;https://www.youtube.com/@RTSsport;31K;french
@drsportsmedia;https://www.youtube.com/@drsportsmedia;333K;french
@TenSportsLiveChannel;https://www.youtube.com/@TenSportsLiveChannel;34,1K;french
@skysportsfootball;https://www.youtube.com/@skysportsfootball;344K;french
@LaOctavaSports;https://www.youtube.com/@LaOctavaSports;37,3K;french
@SportsMas;https://www.youtube.com/@SportsMas;37,9K;french
@scinternacional;https://www.youtube.com/@scinternacional;371K;french
@TSportsbd;https://www.youtube.com/@TSportsbd;4,07M;french
@VINDES;https://www.youtube.com/@VINDES;4,19M;french
@PUBGMOBILEEsports;https://www.youtube.com/@PUBGMOBILEEsports;4,44M;french
@jovempanesportes;https://www.youtube.com/@jovempanesportes;4,47M;french
@SportsHD;https://www.youtube.com/@SportsHD;4,61M;french
@skysportspremierleague;https://www.youtube.com/@skysportspremierleague;4,65M;french
@DougDeMuro;https://www.youtube.com/@DougDeMuro;4,76M;french
@92newshdTv;https://www.youtube.com/@92newshdTv;4,84M;french
@SkySportNext;https://www.youtube.com/@SkySportNext;41K;french
@Sportsbandok;https://www.youtube.com/@Sportsbandok;44,4K;french
@skysports;https://www.youtube.com/@skysports;449K;french
@SUNONewsHD;https://www.youtube.com/@SUNONewsHD;469K;french
@afriquesports;https://www.youtube.com/@afriquesports;488K;french
@afriquesports;https://www.youtube.com/@afriquesports;488K;french
@tntsportsmex;https://www.youtube.com/@tntsportsmex;495K;french
@easportsfc;https://www.youtube.com/@easportsfc;5,06M;french
@RESISTEOfficiel;https://www.youtube.com/@RESISTEOfficiel;5,22K;french
@Deestroying;https://www.youtube.com/@Deestroying;5,58M;french
@espnbrasil;https://www.youtube.com/@espnbrasil;5,68M;french
@ESPNFans;https://www.youtube.com/@ESPNFans;5,71M;french
@retromultisportsfootrugbyb4680;https://www.youtube.com/@retromultisportsfootrugbyb4680;5,82K;french
@HiSportsTV1;https://www.youtube.com/@HiSportsTV1;5,96K;french
@blueSport;https://www.youtube.com/@blueSport;52,3K;french
@pickaside;https://www.youtube.com/@pickaside;52,9K;french
@nbcsboston;https://www.youtube.com/@nbcsboston;53,2K;french
@livesportsofficial;https://www.youtube.com/@livesportsofficial;550K;french
@dibrousports;https://www.youtube.com/@dibrousports;552K;french
@fox4news;https://www.youtube.com/@fox4news;578K;french
@SkySportPremierLeague;https://www.youtube.com/@SkySportPremierLeague;58,1K;french
@Gamers8Esports;https://www.youtube.com/@Gamers8Esports;59,9K;french
@dudeperfect;https://www.youtube.com/@dudeperfect;59,9M;french
@TopTVSports;https://www.youtube.com/@TopTVSports;6,15K;french
@digitalcongotv8445;https://www.youtube.com/@digitalcongotv8445;6,19K;french
@starsports;https://www.youtube.com/@starsports;6,62M;french
@FISEeventschannel;https://www.youtube.com/@FISEeventschannel;60,2K;french
@CODMesports;https://www.youtube.com/@CODMesports;602K;french
@SkySportsGolf;https://www.youtube.com/@SkySportsGolf;61,5K;french
@myjoyonline;https://www.youtube.com/@myjoyonline;611K;french
@SWRSport_Fussball;https://www.youtube.com/@SWRSport_Fussball;62,5K;french
@directvsports;https://www.youtube.com/@directvsports;649K;french
@eurosport;https://www.youtube.com/@eurosport;657K;french
@Bobdoessports;https://www.youtube.com/@Bobdoessports;661K;french
@BBCSport;https://www.youtube.com/@BBCSport;688K;french
@ABC7Chicago;https://www.youtube.com/@ABC7Chicago;689K;french
@easportspgatour;https://www.youtube.com/@easportspgatour;7,25K;french
@easportspgatour;https://www.youtube.com/@easportspgatour;7,25K;french
@ONEChampionship;https://www.youtube.com/@ONEChampionship;7,71M;french
@PlaySportsBelgium;https://www.youtube.com/@PlaySportsBelgium;70,7K;french
@ftvsport;https://www.youtube.com/@ftvsport;706K;french
@CBSSports;https://www.youtube.com/@CBSSports;720K;french
@hoer.berlin;https://www.youtube.com/@hoer.berlin;727K;french
@BrianSuttererMD;https://www.youtube.com/@BrianSuttererMD;745K;french
@DAZNWomensFootball;https://www.youtube.com/@DAZNWomensFootball;760K;french
@beinsportsusa;https://www.youtube.com/@beinsportsusa;773K;french
@giosport1973;https://www.youtube.com/@giosport1973;8,08K;french
@asianetnews;https://www.youtube.com/@asianetnews;8,47M;french
@LaMarocainedesJeuxetdesSports;https://www.youtube.com/@LaMarocainedesJeuxetdesSports;8,7K;french
@TheOverlap;https://www.youtube.com/@TheOverlap;818K;french
@TNTSportsBoxing;https://www.youtube.com/@TNTSportsBoxing;823K;french
