channel name;channel url;subscribers;language
@EhOlahragaYuk;https://www.youtube.com/@EhOlahragaYuk;1,12M;indonesian
@FIONAFAMILY13sirin;https://www.youtube.com/@FIONAFAMILY13sirin;1,63M;indonesian
@ditprolansia;https://www.youtube.com/@ditprolansia;10,2K;indonesian
@Olahraga-populer;https://www.youtube.com/@Olahraga-populer;10K;indonesian
@KelasOlahraga03;https://www.youtube.com/@KelasOlahraga03;11K;indonesian
@tvOneNews;https://www.youtube.com/@tvOneNews;12,3M;indonesian
@POBSIofficial;https://www.youtube.com/@POBSIofficial;12,4K;indonesian
@NontonOlahraga;https://www.youtube.com/@NontonOlahraga;13,1K;indonesian
@onbikeschannel;https://www.youtube.com/@onbikeschannel;13,1K;indonesian
@pasukanolahraga1293;https://www.youtube.com/@pasukanolahraga1293;13,7K;indonesian
@sariantoch96;https://www.youtube.com/@sariantoch96;13,9K;indonesian
@SPOTV.Indonesia;https://www.youtube.com/@SPOTV.Indonesia;137K;indonesian
@olahragadoang;https://www.youtube.com/@olahragadoang;14,5K;indonesian
@dialogolahraga;https://www.youtube.com/@dialogolahraga;162K;indonesian
@Lensa_Olahraga;https://www.youtube.com/@Lensa_Olahraga;179K;indonesian
@OlahragaITB;https://www.youtube.com/@OlahragaITB;18,4K;indonesian
@magisterolahraga;https://www.youtube.com/@magisterolahraga;18,5K;indonesian
@sarjanaolahraga198;https://www.youtube.com/@sarjanaolahraga198;18,7K;indonesian
@marwahsportainment22;https://www.youtube.com/@marwahsportainment22;18,8K;indonesian
@BaliUsadaHealthMeditation;https://www.youtube.com/@BaliUsadaHealthMeditation;20,1K;indonesian
@olahragakhususwanita4807;https://www.youtube.com/@olahragakhususwanita4807;21,7K;indonesian
@lensaolahragakita8984;https://www.youtube.com/@lensaolahragakita8984;24,5K;indonesian
@EDONESIASPORT;https://www.youtube.com/@EDONESIASPORT;27,1K;indonesian
@pemprov_jateng;https://www.youtube.com/@pemprov_jateng;27K;indonesian
@mimbar_olahraga;https://www.youtube.com/@mimbar_olahraga;295K;indonesian
@teamrrq;https://www.youtube.com/@teamrrq;3,62M;indonesian
@doyanmainsepakbola1;https://www.youtube.com/@doyanmainsepakbola1;30K;indonesian
@chikakinsky19;https://www.youtube.com/@chikakinsky19;324K;indonesian
@PlayerDua;https://www.youtube.com/@PlayerDua;34,2K;indonesian
@FachriYosiStory;https://www.youtube.com/@FachriYosiStory;5,6K;indonesian
@narnosalimchannel7535;https://www.youtube.com/@narnosalimchannel7535;5,79K;indonesian
@susnadi;https://www.youtube.com/@susnadi;5,94K;indonesian
@catatanharianolahraga;https://www.youtube.com/@catatanharianolahraga;5,95K;indonesian
@daftarolahraga;https://www.youtube.com/@daftarolahraga;58,4K;indonesian
@langsingkanbadan;https://www.youtube.com/@langsingkanbadan;6,02K;indonesian
@maniakolahraga7557;https://www.youtube.com/@maniakolahraga7557;6,19K;indonesian
@BrandonKentEverything;https://www.youtube.com/@BrandonKentEverything;6,63M;indonesian
@CeritaDiana;https://www.youtube.com/@CeritaDiana;629K;indonesian
@snackvideoolahragaofficial2944;https://www.youtube.com/@snackvideoolahragaofficial2944;693K;indonesian
@edukasidanolahraga;https://www.youtube.com/@edukasidanolahraga;7,27K;indonesian
@ayoolahragachannel7525;https://www.youtube.com/@ayoolahragachannel7525;7,43K;indonesian
@Olahragadunia123;https://www.youtube.com/@Olahragadunia123;7,54K;indonesian
@AFDACADEMY;https://www.youtube.com/@AFDACADEMY;7,64K;indonesian
@arifmco;https://www.youtube.com/@arifmco;706K;indonesian
@denisechariestaofficial;https://www.youtube.com/@denisechariestaofficial;742K;indonesian
@BapackNadiem;https://www.youtube.com/@BapackNadiem;892K;indonesian
@SISITERANG;https://www.youtube.com/@SISITERANG;9,37M;indonesian
@MARIAVANIAMV;https://www.youtube.com/@MARIAVANIAMV;987K;indonesian
