channel name;channel url;subscribers;language
@EsportsRoyale;https://www.youtube.com/@EsportsRoyale;1,14M;japanese
@TNTSportsAR;https://www.youtube.com/@TNTSportsAR;1,22M;japanese
@GQsports;https://www.youtube.com/@GQsports;1,24M;japanese
@SHOSports;https://www.youtube.com/@SHOSports;1,82M;japanese
@yamamotosp;https://www.youtube.com/@yamamotosp;10,6K;japanese
@makitasports;https://www.youtube.com/@makitasports;10,7K;japanese
@DanceSport_Japan;https://www.youtube.com/@DanceSport_Japan;10,7K;japanese
@CBSSportsRadio;https://www.youtube.com/@CBSSportsRadio;10,8K;japanese
@100sportstv;https://www.youtube.com/@100sportstv;10,9K;japanese
@ntvsports;https://www.youtube.com/@ntvsports;106K;japanese
@chiroru53;https://www.youtube.com/@chiroru53;108K;japanese
@internationalblindsportsfe7490;https://www.youtube.com/@internationalblindsportsfe7490;10K;japanese
@TANABESPORTSchannel;https://www.youtube.com/@TANABESPORTSchannel;11,5K;japanese
@gekisaka_esports;https://www.youtube.com/@gekisaka_esports;11,8K;japanese
@ntte-sportsyoutube6644;https://www.youtube.com/@ntte-sportsyoutube6644;11K;japanese
@ONTHESPORTS;https://www.youtube.com/@ONTHESPORTS;12,4K;japanese
@hokkaino1;https://www.youtube.com/@hokkaino1;12,9K;japanese
@ohisan;https://www.youtube.com/@ohisan;121K;japanese
@melos--web4629;https://www.youtube.com/@melos--web4629;123K;japanese
@CapcomFightersJP;https://www.youtube.com/@CapcomFightersJP;126K;japanese
@htbsports;https://www.youtube.com/@htbsports;13,5K;japanese
@coordisports-;https://www.youtube.com/@coordisports-;13,6K;japanese
@prosports_TV;https://www.youtube.com/@prosports_TV;13,6K;japanese
@mnsports;https://www.youtube.com/@mnsports;133K;japanese
@piponeer;https://www.youtube.com/@piponeer;14,6K;japanese
@issfchannel;https://www.youtube.com/@issfchannel;141K;japanese
@FukuokaSports;https://www.youtube.com/@FukuokaSports;15,2K;japanese
@sportsnavi_baseball;https://www.youtube.com/@sportsnavi_baseball;150K;japanese
@samuspo;https://www.youtube.com/@samuspo;16,4K;japanese
@ABCTV-Sports;https://www.youtube.com/@ABCTV-Sports;17,4K;japanese
@akt5868;https://www.youtube.com/@akt5868;17,8K;japanese
@tvosakanews;https://www.youtube.com/@tvosakanews;179K;japanese
@user-qm9td8nl6x;https://www.youtube.com/@user-qm9td8nl6x;17K;japanese
@numberchannel;https://www.youtube.com/@numberchannel;18,1K;japanese
@seiyu-esports;https://www.youtube.com/@seiyu-esports;18,4K;japanese
@shigekistrongsports;https://www.youtube.com/@shigekistrongsports;18,7K;japanese
@SportsDiary1;https://www.youtube.com/@SportsDiary1;18,8K;japanese
@comnhacuame;https://www.youtube.com/@comnhacuame;18K;japanese
@SportsLoungeJapan;https://www.youtube.com/@SportsLoungeJapan;19,4K;japanese
@centralsportsweb;https://www.youtube.com/@centralsportsweb;19,6K;japanese
@SPORTS-gg1vr;https://www.youtube.com/@SPORTS-gg1vr;191K;japanese
@PremierSportsAcademy;https://www.youtube.com/@PremierSportsAcademy;20,3K;japanese
@japanreaction;https://www.youtube.com/@japanreaction;20,3K;japanese
@user-kk1kt6rx4b;https://www.youtube.com/@user-kk1kt6rx4b;20,8K;japanese
@tokyosportsmovie;https://www.youtube.com/@tokyosportsmovie;205K;japanese
@sasakisports;https://www.youtube.com/@sasakisports;20K;japanese
@ngoctuyen89;https://www.youtube.com/@ngoctuyen89;21,2K;japanese
@sports-ekiden;https://www.youtube.com/@sports-ekiden;21,4K;japanese
@dailysports;https://www.youtube.com/@dailysports;21,4K;japanese
@baseballshop;https://www.youtube.com/@baseballshop;21,8K;japanese
@PUBGEsports;https://www.youtube.com/@PUBGEsports;218K;japanese
@TV-pc3hb;https://www.youtube.com/@TV-pc3hb;22,1K;japanese
@mnesporttv;https://www.youtube.com/@mnesporttv;22,4K;japanese
@puyosega;https://www.youtube.com/@puyosega;22,7K;japanese
@aichi-news;https://www.youtube.com/@aichi-news;23,6K;japanese
@pawapuroprospi;https://www.youtube.com/@pawapuroprospi;234K;japanese
@kokaisoftballnavi;https://www.youtube.com/@kokaisoftballnavi;24,7K;japanese
@user-cq4eg8jc1v;https://www.youtube.com/@user-cq4eg8jc1v;272K;japanese
@jsports;https://www.youtube.com/@jsports;275K;japanese
@universitysportstv;https://www.youtube.com/@universitysportstv;27K;japanese
@gogosports8969;https://www.youtube.com/@gogosports8969;28,5K;japanese
@user-il4pz3ib3j;https://www.youtube.com/@user-il4pz3ib3j;28,6K;japanese
@TsukubaSports_official;https://www.youtube.com/@TsukubaSports_official;28,8K;japanese
@RENAISSANCEchannel;https://www.youtube.com/@RENAISSANCEchannel;28,9K;japanese
@sptv_soccer;https://www.youtube.com/@sptv_soccer;283K;japanese
@ThethaoHTV;https://www.youtube.com/@ThethaoHTV;284K;japanese
@tvtokyosports;https://www.youtube.com/@tvtokyosports;288K;japanese
@SuperSportsCollection_OFFICIAL;https://www.youtube.com/@SuperSportsCollection_OFFICIAL;29,9K;japanese
@identityvjp;https://www.youtube.com/@identityvjp;297K;japanese
@TBSSPORTS6;https://www.youtube.com/@TBSSPORTS6;298K;japanese
@NBCSports;https://www.youtube.com/@NBCSports;3,45M;japanese
@user-ul9hh3go9p;https://www.youtube.com/@user-ul9hh3go9p;30,7K;japanese
@sportclimbing;https://www.youtube.com/@sportclimbing;305K;japanese
@ctv_sports;https://www.youtube.com/@ctv_sports;31,5K;japanese
@user-uq6gr3zy3p;https://www.youtube.com/@user-uq6gr3zy3p;31,7K;japanese
@TOYOTAGAZOORacingJPchannel;https://www.youtube.com/@TOYOTAGAZOORacingJPchannel;310K;japanese
@SteP-Tube;https://www.youtube.com/@SteP-Tube;32,2K;japanese
@user-qo8tj4om4s;https://www.youtube.com/@user-qo8tj4om4s;32,6K;japanese
@yusaku_sports;https://www.youtube.com/@yusaku_sports;32,6K;japanese
@minorsports;https://www.youtube.com/@minorsports;34,8K;japanese
@s-park6203;https://www.youtube.com/@s-park6203;37,2K;japanese
@konamisportsandlife;https://www.youtube.com/@konamisportsandlife;37,4K;japanese
