channel name;channel url;subscribers;language
@cheerssports;https://www.youtube.com/@cheerssports;1,04M;korean
@kraftonindiaesports;https://www.youtube.com/@kraftonindiaesports;1,04M;korean
@foxsports;https://www.youtube.com/@foxsports;1,09M;korean
@SkySportsNews;https://www.youtube.com/@SkySportsNews;1,11M;korean
@EsportsRoyale;https://www.youtube.com/@EsportsRoyale;1,14M;korean
@LCK;https://www.youtube.com/@LCK;1,1M;korean
@skysportsboxing;https://www.youtube.com/@skysportsboxing;1,21M;korean
@TNTSportsAR;https://www.youtube.com/@TNTSportsAR;1,22M;korean
@fitvely;https://www.youtube.com/@fitvely;1,38M;korean
@gyeomsonisnothing;https://www.youtube.com/@gyeomsonisnothing;1,39M;korean
@KBS_1Radio;https://www.youtube.com/@KBS_1Radio;1,3M;korean
@uzuhama;https://www.youtube.com/@uzuhama;1,77M;korean
@SHOSports;https://www.youtube.com/@SHOSports;1,82M;korean
@SPOTV;https://www.youtube.com/@SPOTV;1,97M;korean
@toto.proto.sportstoto;https://www.youtube.com/@toto.proto.sportstoto;10,1K;korean
@TV-xr7wv;https://www.youtube.com/@TV-xr7wv;10,1K;korean
@IBSPORTS;https://www.youtube.com/@IBSPORTS;10,3K;korean
@SJS_Hospital;https://www.youtube.com/@SJS_Hospital;10,4K;korean
@TNTSportsBR;https://www.youtube.com/@TNTSportsBR;10,4M;korean
@pubgmesportskr;https://www.youtube.com/@pubgmesportskr;10,6K;korean
@espn;https://www.youtube.com/@espn;10,9M;korean
@Sportace1010;https://www.youtube.com/@Sportace1010;103K;korean
@HanwhaLifeEsports;https://www.youtube.com/@HanwhaLifeEsports;107K;korean
@JTBCGOLFSPORTS;https://www.youtube.com/@JTBCGOLFSPORTS;108K;korean
@SportsW_kr;https://www.youtube.com/@SportsW_kr;11,1K;korean
@sports_anifilm;https://www.youtube.com/@sports_anifilm;11,1K;korean
@1010SPORTS;https://www.youtube.com/@1010SPORTS;11,1K;korean
@TV-hp9sw;https://www.youtube.com/@TV-hp9sw;11,2K;korean
@afreecatvsports;https://www.youtube.com/@afreecatvsports;11,8K;korean
@leedosa;https://www.youtube.com/@leedosa;11,8K;korean
@meta-mind;https://www.youtube.com/@meta-mind;11,9K;korean
@aisportstv8043;https://www.youtube.com/@aisportstv8043;12,2K;korean
@user-wt1gr3yl3w;https://www.youtube.com/@user-wt1gr3yl3w;12,2K;korean
@Lovely-Sports;https://www.youtube.com/@Lovely-Sports;12,2K;korean
@SportsCheongChun;https://www.youtube.com/@SportsCheongChun;12,3K;korean
@ONTHESPORTS;https://www.youtube.com/@ONTHESPORTS;12,4K;korean
@CAPTAIN22211;https://www.youtube.com/@CAPTAIN22211;12,8K;korean
@CricketSports74;https://www.youtube.com/@CricketSports74;13,3K;korean
@warcraft3esports;https://www.youtube.com/@warcraft3esports;13,4K;korean
@KBS_fmmarch;https://www.youtube.com/@KBS_fmmarch;13,8K;korean
@dancesportmagazine;https://www.youtube.com/@dancesportmagazine;13K;korean
@SPORTAINERS;https://www.youtube.com/@SPORTAINERS;14,5K;korean
@fun_sports;https://www.youtube.com/@fun_sports;149K;korean
@KSHA2024;https://www.youtube.com/@KSHA2024;15,8K;korean
@wow_sports_korea;https://www.youtube.com/@wow_sports_korea;15,9K;korean
@beyondsports_official;https://www.youtube.com/@beyondsports_official;154K;korean
@all.sports;https://www.youtube.com/@all.sports;158K;korean
@pabsports;https://www.youtube.com/@pabsports;162K;korean
@KBOnews;https://www.youtube.com/@KBOnews;172K;korean
@99sports;https://www.youtube.com/@99sports;19,1K;korean
@hotsports0;https://www.youtube.com/@hotsports0;19,4K;korean
@kwakyoongy;https://www.youtube.com/@kwakyoongy;1M;korean
@gad-sports;https://www.youtube.com/@gad-sports;20,3K;korean
