channel name;channel url;subscribers;language
@Tajrobevarzesh;https://www.youtube.com/@Tajrobevarzesh;13,5K;persian
@Varzeshnews;https://www.youtube.com/@Varzeshnews;15,9K;persian
@ShailyFitness;https://www.youtube.com/@ShailyFitness;28,3K;persian
@SportiFun1;https://www.youtube.com/@SportiFun1;9,27K;persian
@VarzeshHub;https://www.youtube.com/@VarzeshHub;52,2K;persian
@SportsAnalyst19;https://www.youtube.com/@SportsAnalyst19;21,8K;persian
@arya_zamani;https://www.youtube.com/@arya_zamani;5,31K;persian
@IRANINTL;https://www.youtube.com/@IRANINTL;460K;persian
@TotoGamingArm;https://www.youtube.com/@TotoGamingArm;11,6K;persian
@afintltv;https://www.youtube.com/@afintltv;163K;persian
