channel name;channel url;subscribers;language
@TNTSportsBR;https://www.youtube.com/@TNTSportsBR;10,4M;portuguese
@revistaclubdoesporte;https://www.youtube.com/@revistaclubdoesporte;10,6K;portuguese
@TeclasDanielEsportes;https://www.youtube.com/@TeclasDanielEsportes;106K;portuguese
@RadioBandeirantesPOA;https://www.youtube.com/@RadioBandeirantesPOA;107K;portuguese
@itaesportesoficial;https://www.youtube.com/@itaesportesoficial;14,8K;portuguese
@PortalENM;https://www.youtube.com/@PortalENM;14,8K;portuguese
@GrupoVEGEsportes;https://www.youtube.com/@GrupoVEGEsportes;16,6K;portuguese
@maquinadoesporte;https://www.youtube.com/@maquinadoesporte;17K;portuguese
@CNNEsportes;https://www.youtube.com/@CNNEsportes;19,3K;portuguese
@UOLEsporte;https://www.youtube.com/@UOLEsporte;1M;portuguese
@ArquibancadaEC;https://www.youtube.com/@ArquibancadaEC;22,5K;portuguese
@EsporteNaCultura;https://www.youtube.com/@EsporteNaCultura;233K;portuguese
@WEBESPORTETV;https://www.youtube.com/@WEBESPORTETV;26,3K;portuguese
@alterosaesporteAE;https://www.youtube.com/@alterosaesporteAE;269K;portuguese
@ALLESPORTES;https://www.youtube.com/@ALLESPORTES;30K;portuguese
@esportesemgeral;https://www.youtube.com/@esportesemgeral;31,8K;portuguese
@AlternativaEsportes;https://www.youtube.com/@AlternativaEsportes;39,5K;portuguese
@jovempanesportes;https://www.youtube.com/@jovempanesportes;4,47M;portuguese
@puctvesportes;https://www.youtube.com/@puctvesportes;46,9K;portuguese
@EPE;https://www.youtube.com/@EPE;47,5K;portuguese
@R7Esporte;https://www.youtube.com/@R7Esporte;477K;portuguese
@ancesportes;https://www.youtube.com/@ancesportes;5,22K;portuguese
@RioGrandenseEsportes;https://www.youtube.com/@RioGrandenseEsportes;5,27K;portuguese
@maisesportes1741;https://www.youtube.com/@maisesportes1741;5,51K;portuguese
@EsportesAM;https://www.youtube.com/@EsportesAM;5,73K;portuguese
@A1Esportes;https://www.youtube.com/@A1Esportes;5,85K;portuguese
@topmilesportes;https://www.youtube.com/@topmilesportes;5,91K;portuguese
@EsportenaBand;https://www.youtube.com/@EsportenaBand;502K;portuguese
@JOVAESPORTES;https://www.youtube.com/@JOVAESPORTES;52,4K;portuguese
@Bandsportsoficial;https://www.youtube.com/@Bandsportsoficial;582K;portuguese
@f9esportes455;https://www.youtube.com/@f9esportes455;6,81K;portuguese
@EsporteMaisTV-TO;https://www.youtube.com/@EsporteMaisTV-TO;6,9K;portuguese
@MaestriaEsportes;https://www.youtube.com/@MaestriaEsportes;613K;portuguese
@TimeWebEsportes;https://www.youtube.com/@TimeWebEsportes;7,27K;portuguese
@STIEsporte;https://www.youtube.com/@STIEsporte;7,47K;portuguese
@RPESPORTES;https://www.youtube.com/@RPESPORTES;7,68K;portuguese
@TransamericaEsportesRJ;https://www.youtube.com/@TransamericaEsportesRJ;76K;portuguese
@arenaesportes-todomundove3368;https://www.youtube.com/@arenaesportes-todomundove3368;78,2K;portuguese
@RadioTupiEsportes;https://www.youtube.com/@RadioTupiEsportes;856K;portuguese
@esportes.brasilia;https://www.youtube.com/@esportes.brasilia;9,06K;portuguese
@emcesportes;https://www.youtube.com/@emcesportes;9,22K;portuguese
@FalandodeEsportes;https://www.youtube.com/@FalandodeEsportes;9,51K;portuguese
@itatiaiaesporte;https://www.youtube.com/@itatiaiaesporte;93,3K;portuguese
