channel name;channel url;subscribers;language
@avtoinstruktor_62;https://www.youtube.com/@avtoinstruktor_62;1,02M;russian
@fight7026;https://www.youtube.com/@fight7026;11,7K;russian
@grt_md;https://www.youtube.com/@grt_md;11,9K;russian
@16rus53;https://www.youtube.com/@16rus53;11K;russian
@RussianBoxingFederation;https://www.youtube.com/@RussianBoxingFederation;122K;russian
@kyrgyzsporttv312;https://www.youtube.com/@kyrgyzsporttv312;127K;russian
@androlog_mos;https://www.youtube.com/@androlog_mos;13,7K;russian
@SPORT54;https://www.youtube.com/@SPORT54;13,8K;russian
@Mushki070;https://www.youtube.com/@Mushki070;14,9K;russian
@sfbspb;https://www.youtube.com/@sfbspb;15,5K;russian
@mainstreamFS;https://www.youtube.com/@mainstreamFS;15,5K;russian
@PlayAsPro;https://www.youtube.com/@PlayAsPro;159K;russian
@sportofbelarus;https://www.youtube.com/@sportofbelarus;17,2K;russian
@user-py4lb1hw1b;https://www.youtube.com/@user-py4lb1hw1b;17,4K;russian
@pkk;https://www.youtube.com/@pkk;17,7K;russian
@MOLOTGAMES;https://www.youtube.com/@MOLOTGAMES;17,8K;russian
@mr_lazba;https://www.youtube.com/@mr_lazba;178K;russian
@user-mc5td9df2g;https://www.youtube.com/@user-mc5td9df2g;18,5K;russian
@SetantaSports;https://www.youtube.com/@SetantaSports;229K;russian
@SportsClubDnipro1;https://www.youtube.com/@SportsClubDnipro1;24,8K;russian
@user-mak;https://www.youtube.com/@user-mak;266K;russian
@sportsweekend5641;https://www.youtube.com/@sportsweekend5641;31,5K;russian
@KimchiMMA;https://www.youtube.com/@KimchiMMA;358K;russian
@SlutskyAlex;https://www.youtube.com/@SlutskyAlex;392K;russian
@ANIMULT;https://www.youtube.com/@ANIMULT;4,46M;russian
@TopRussianGymnastics;https://www.youtube.com/@TopRussianGymnastics;41,5K;russian
@okkosport;https://www.youtube.com/@okkosport;470K;russian
@user-hv9eh1ip6b;https://www.youtube.com/@user-hv9eh1ip6b;6,02K;russian
@user-nj3rg4tf2k;https://www.youtube.com/@user-nj3rg4tf2k;6,13K;russian
@user-jr2tf8qj9l;https://www.youtube.com/@user-jr2tf8qj9l;6,46K;russian
@Mycmep;https://www.youtube.com/@Mycmep;6,54K;russian
@user-rz5bd8dw5d;https://www.youtube.com/@user-rz5bd8dw5d;6,91K;russian
@TVSTARTLIVE;https://www.youtube.com/@TVSTARTLIVE;66,8K;russian
@presidentssportslub8900;https://www.youtube.com/@presidentssportslub8900;7,06K;russian
@babay03;https://www.youtube.com/@babay03;7,21K;russian
@sportydvizh;https://www.youtube.com/@sportydvizh;7,31K;russian
@arigustv;https://www.youtube.com/@arigustv;85,4K;russian
@user-rv5tt2oq5z;https://www.youtube.com/@user-rv5tt2oq5z;9,88K;russian
