channel name;channel url;subscribers;language
@NTDCHINESE;https://www.youtube.com/@NTDCHINESE;1,14M;simply_chinese
@sports-story;https://www.youtube.com/@sports-story;10,9K;simply_chinese
@xiaopatiyu;https://www.youtube.com/@xiaopatiyu;11,3K;simply_chinese
@NowSports-NowTV;https://www.youtube.com/@NowSports-NowTV;11,9K;simply_chinese
@zaobaodotsg;https://www.youtube.com/@zaobaodotsg;116K;simply_chinese
@mikotonoodle;https://www.youtube.com/@mikotonoodle;117K;simply_chinese
@ssutv;https://www.youtube.com/@ssutv;137K;simply_chinese
@TiYuZG;https://www.youtube.com/@TiYuZG;15,3K;simply_chinese
@migusports2645;https://www.youtube.com/@migusports2645;15,5K;simply_chinese
@tiyulingyu;https://www.youtube.com/@tiyulingyu;16K;simply_chinese
@shidianzheng;https://www.youtube.com/@shidianzheng;17,9K;simply_chinese
@pts_sports;https://www.youtube.com/@pts_sports;18,1K;simply_chinese
@MOESPORTS;https://www.youtube.com/@MOESPORTS;203K;simply_chinese
@zhibotv;https://www.youtube.com/@zhibotv;21,5K;simply_chinese
@__maakun__;https://www.youtube.com/@__maakun__;222K;simply_chinese
@career-horizon;https://www.youtube.com/@career-horizon;26,2K;simply_chinese
@user-fo7zm3ub3w;https://www.youtube.com/@user-fo7zm3ub3w;28,1K;simply_chinese
@ducksports6662;https://www.youtube.com/@ducksports6662;28,6K;simply_chinese
@ThethaoHTV;https://www.youtube.com/@ThethaoHTV;284K;simply_chinese
@MarvelHQ;https://www.youtube.com/@MarvelHQ;2M;simply_chinese
@NBCSports;https://www.youtube.com/@NBCSports;3,45M;simply_chinese
@sixfonia;https://www.youtube.com/@sixfonia;304K;simply_chinese
@Sportcasttw;https://www.youtube.com/@Sportcasttw;32,2K;simply_chinese
@SamNoHetareEiyutan;https://www.youtube.com/@SamNoHetareEiyutan;33,9K;simply_chinese
@user-SnookerCluster;https://www.youtube.com/@user-SnookerCluster;33K;simply_chinese
@vlsports;https://www.youtube.com/@vlsports;428K;simply_chinese
@chinasport;https://www.youtube.com/@chinasport;43,7K;simply_chinese
@297ch297ch;https://www.youtube.com/@297ch297ch;431K;simply_chinese
@blbl3605;https://www.youtube.com/@blbl3605;45,8K;simply_chinese
@SportsInsights000;https://www.youtube.com/@SportsInsights000;47,7K;simply_chinese
@V888;https://www.youtube.com/@V888;5,21K;simply_chinese
@ChinaSportsLegends;https://www.youtube.com/@ChinaSportsLegends;5,31K;simply_chinese
@jiangsports77;https://www.youtube.com/@jiangsports77;5,55K;simply_chinese
@FLUKELIVE;https://www.youtube.com/@FLUKELIVE;5,69K;simply_chinese
@user-lp5jz2br1b;https://www.youtube.com/@user-lp5jz2br1b;5,6K;simply_chinese
@kurosuya3;https://www.youtube.com/@kurosuya3;5,7K;simply_chinese
@mplus7833;https://www.youtube.com/@mplus7833;5,84K;simply_chinese
@BLComic;https://www.youtube.com/@BLComic;54,2K;simply_chinese
@ctseducation;https://www.youtube.com/@ctseducation;57,8K;simply_chinese
@WeiTingSport;https://www.youtube.com/@WeiTingSport;6,27K;simply_chinese
@SpaceX;https://www.youtube.com/@SpaceX;6,59M;simply_chinese
@hopeathletics;https://www.youtube.com/@hopeathletics;6,68K;simply_chinese
@studentenergy;https://www.youtube.com/@studentenergy;63,1K;simply_chinese
@ELTASPORTSHD;https://www.youtube.com/@ELTASPORTSHD;651K;simply_chinese
@momosports75;https://www.youtube.com/@momosports75;70,8K;simply_chinese
@OfficialWolvesVideo;https://www.youtube.com/@OfficialWolvesVideo;708K;simply_chinese
@DST;https://www.youtube.com/@DST;71,7K;simply_chinese
@oursport_tv;https://www.youtube.com/@oursport_tv;73,3K;simply_chinese
@user-vv5vq2uy8s;https://www.youtube.com/@user-vv5vq2uy8s;8,02K;simply_chinese
@DAZNTaiwan;https://www.youtube.com/@DAZNTaiwan;82K;simply_chinese
@NASASpaceflight;https://www.youtube.com/@NASASpaceflight;868K;simply_chinese
@JinZhaoTiYu;https://www.youtube.com/@JinZhaoTiYu;9,86K;simply_chinese
@NationwideChildrens;https://www.youtube.com/@NationwideChildrens;96,5K;simply_chinese
@KC_SportsVision;https://www.youtube.com/@KC_SportsVision;97,4K;simply_chinese
