channel name;channel url;subscribers;language
@deportes;https://www.youtube.com/@deportes;1,51M;spanish
@TUDNUSA;https://www.youtube.com/@TUDNUSA;1,74M;spanish
@AztecaDeportes;https://www.youtube.com/@AztecaDeportes;1,89M;spanish
@DeportesUncomo;https://www.youtube.com/@DeportesUncomo;1,8M;spanish
@macdeportes5677;https://www.youtube.com/@macdeportes5677;10,4K;spanish
@SwingCompletoBeisbol;https://www.youtube.com/@SwingCompletoBeisbol;105K;spanish
@deportesfmcenter;https://www.youtube.com/@deportesfmcenter;11,1K;spanish
@RFEJYDAJudo;https://www.youtube.com/@RFEJYDAJudo;11,9K;spanish
@deportestvchn;https://www.youtube.com/@deportestvchn;112K;spanish
@internetvdeportes9290;https://www.youtube.com/@internetvdeportes9290;12,1K;spanish
@maregadeportes;https://www.youtube.com/@maregadeportes;12,1K;spanish
@VamosDeportesPlus;https://www.youtube.com/@VamosDeportesPlus;12,2K;spanish
@EducacionFisicayDeportes;https://www.youtube.com/@EducacionFisicayDeportes;12,8K;spanish
@megustanlosdeportes9746;https://www.youtube.com/@megustanlosdeportes9746;13,2K;spanish
@mlbdeportes184;https://www.youtube.com/@mlbdeportes184;13,3K;spanish
@107Deportes;https://www.youtube.com/@107Deportes;139K;spanish
@deportesmax3350;https://www.youtube.com/@deportesmax3350;14,1K;spanish
@ciclismoydeportes8936;https://www.youtube.com/@ciclismoydeportes8936;14,2K;spanish
@tvc.deportes;https://www.youtube.com/@tvc.deportes;144K;spanish
@CostaDeportes;https://www.youtube.com/@CostaDeportes;161K;spanish
@deportesyalguitomas;https://www.youtube.com/@deportesyalguitomas;17,7K;spanish
@TVPDeportes;https://www.youtube.com/@TVPDeportes;18,7K;spanish
@SuperCombodelDeporte;https://www.youtube.com/@SuperCombodelDeporte;19,3K;spanish
@deportivisimo;https://www.youtube.com/@deportivisimo;19,7K;spanish
@MVPdeportes;https://www.youtube.com/@MVPdeportes;194K;spanish
@EdisonGilenlosdeportyMas;https://www.youtube.com/@EdisonGilenlosdeportyMas;20,4K;spanish
@obradeldeporte;https://www.youtube.com/@obradeldeporte;21,9K;spanish
@santafedeportes9924;https://www.youtube.com/@santafedeportes9924;22,3K;spanish
@GerenciaDeDesarrolloHumanoMML;https://www.youtube.com/@GerenciaDeDesarrolloHumanoMML;22,4K;spanish
@ElUniversalDeportes;https://www.youtube.com/@ElUniversalDeportes;223K;spanish
@tdtvhn;https://www.youtube.com/@tdtvhn;23,6K;spanish
@DEPORTESTERA;https://www.youtube.com/@DEPORTESTERA;24,1K;spanish
@aguacatedeportes;https://www.youtube.com/@aguacatedeportes;24,1K;spanish
@RPPDeportes;https://www.youtube.com/@RPPDeportes;26,2K;spanish
@deportesaltaco;https://www.youtube.com/@deportesaltaco;272K;spanish
@GuadaTV;https://www.youtube.com/@GuadaTV;28,1K;spanish
@DeportesBolivia;https://www.youtube.com/@DeportesBolivia;29K;spanish
@DeportesRCN;https://www.youtube.com/@DeportesRCN;307K;spanish
@HablaDeportesRadio;https://www.youtube.com/@HablaDeportesRadio;31,7K;spanish
@DeportesYLuchas;https://www.youtube.com/@DeportesYLuchas;314K;spanish
@canaldeportv;https://www.youtube.com/@canaldeportv;330K;spanish
@LaOctavaSports;https://www.youtube.com/@LaOctavaSports;37,3K;spanish
@espndeportes;https://www.youtube.com/@espndeportes;4,02M;spanish
@bigdeportes3237;https://www.youtube.com/@bigdeportes3237;4,04K;spanish
@TUDNMexico;https://www.youtube.com/@TUDNMexico;4,5M;spanish
@deportes-atv;https://www.youtube.com/@deportes-atv;40,7K;spanish
@piodeportes;https://www.youtube.com/@piodeportes;41,5K;spanish
@mpdeportes;https://www.youtube.com/@mpdeportes;44,9K;spanish
@foxdeportes;https://www.youtube.com/@foxdeportes;493K;spanish
@cdndeportes7085;https://www.youtube.com/@cdndeportes7085;5,03K;spanish
@micanaldeportes8080;https://www.youtube.com/@micanaldeportes8080;5,34K;spanish
@ecosdeldeporterl2365;https://www.youtube.com/@ecosdeldeporterl2365;5,35K;spanish
@caneladeportes;https://www.youtube.com/@caneladeportes;5,36K;spanish
@RDCDeportesBolivia;https://www.youtube.com/@RDCDeportesBolivia;5,37K;spanish
@Deportes360noticias;https://www.youtube.com/@Deportes360noticias;5,56K;spanish
@deportestvespana1074;https://www.youtube.com/@deportestvespana1074;5,65K;spanish
@deporteslibreradio;https://www.youtube.com/@deporteslibreradio;5,85K;spanish
@DeportesRepretel;https://www.youtube.com/@DeportesRepretel;50,7K;spanish
@deportestvmxbeto;https://www.youtube.com/@deportestvmxbeto;52,1K;spanish
@VMDeportes;https://www.youtube.com/@VMDeportes;54,5K;spanish
@anthonydeportes12;https://www.youtube.com/@anthonydeportes12;6,05K;spanish
@deportesenmeyt392;https://www.youtube.com/@deportesenmeyt392;6,26K;spanish
@TABDeportes;https://www.youtube.com/@TABDeportes;6,2K;spanish
@FEDHieloTV;https://www.youtube.com/@FEDHieloTV;6,2K;spanish
@abcdeportesmx8144;https://www.youtube.com/@abcdeportesmx8144;6,73K;spanish
@radiopasionydeportetransmis;https://www.youtube.com/@radiopasionydeportetransmis;6,8K;spanish
@internetvdeportess;https://www.youtube.com/@internetvdeportess;62,4K;spanish
@UltimaGrada;https://www.youtube.com/@UltimaGrada;62,5K;spanish
@dalequevadeportes;https://www.youtube.com/@dalequevadeportes;7,36K;spanish
@DeportesconImanol;https://www.youtube.com/@DeportesconImanol;7,42K;spanish
@MeketrefesDelDeporte;https://www.youtube.com/@MeketrefesDelDeporte;70,6K;spanish
@WowDeportes;https://www.youtube.com/@WowDeportes;8,57K;spanish
@DeportesCanal4;https://www.youtube.com/@DeportesCanal4;86,5K;spanish
@FUTDeportesOFICIAL;https://www.youtube.com/@FUTDeportesOFICIAL;9,52K;spanish
