channel name;channel url;subscribers;language
@NTDCHINESE;https://www.youtube.com/@NTDCHINESE;1,14M;traditional_chinese
@user-ke3gh2ff5f;https://www.youtube.com/@user-ke3gh2ff5f;10,8K;traditional_chinese
@sports-story;https://www.youtube.com/@sports-story;10,9K;traditional_chinese
@oldshih3;https://www.youtube.com/@oldshih3;109K;traditional_chinese
@sportsoho;https://www.youtube.com/@sportsoho;11,1K;traditional_chinese
@xiaopatiyu;https://www.youtube.com/@xiaopatiyu;11,3K;traditional_chinese
@NowSports-NowTV;https://www.youtube.com/@NowSports-NowTV;11,9K;traditional_chinese
@stanleybaseball;https://www.youtube.com/@stanleybaseball;111K;traditional_chinese
@camerabaysports;https://www.youtube.com/@camerabaysports;113K;traditional_chinese
@tiyuzhijia;https://www.youtube.com/@tiyuzhijia;12K;traditional_chinese
@jianjian6524;https://www.youtube.com/@jianjian6524;12K;traditional_chinese
@user-xi7uv5mb6h;https://www.youtube.com/@user-xi7uv5mb6h;13,7K;traditional_chinese
@ssutv;https://www.youtube.com/@ssutv;137K;traditional_chinese
@TiYuZG;https://www.youtube.com/@TiYuZG;15,3K;traditional_chinese
@ECJuventudeOficial;https://www.youtube.com/@ECJuventudeOficial;15,3K;traditional_chinese
@migusports2645;https://www.youtube.com/@migusports2645;15,5K;traditional_chinese
@ktotaipeivideo;https://www.youtube.com/@ktotaipeivideo;15,6K;traditional_chinese
@thevictorfan;https://www.youtube.com/@thevictorfan;15,9K;traditional_chinese
@HappyKongner;https://www.youtube.com/@HappyKongner;155K;traditional_chinese
@sportsyeah2;https://www.youtube.com/@sportsyeah2;16,3K;traditional_chinese
@tiyulingyu;https://www.youtube.com/@tiyulingyu;16K;traditional_chinese
@shidianzheng;https://www.youtube.com/@shidianzheng;17,9K;traditional_chinese
@pts_sports;https://www.youtube.com/@pts_sports;18,1K;traditional_chinese
@user-eb7rs8zs9v;https://www.youtube.com/@user-eb7rs8zs9v;180K;traditional_chinese
@user-huangbrothers;https://www.youtube.com/@user-huangbrothers;2,2M;traditional_chinese
@TVBSNEWS01;https://www.youtube.com/@TVBSNEWS01;2,52M;traditional_chinese
@Galatasaray;https://www.youtube.com/@Galatasaray;2,68M;traditional_chinese
@MOESPORTS;https://www.youtube.com/@MOESPORTS;203K;traditional_chinese
@zhibotv;https://www.youtube.com/@zhibotv;21,5K;traditional_chinese
@CiencianoTV;https://www.youtube.com/@CiencianoTV;23K;traditional_chinese
@ptslivestream;https://www.youtube.com/@ptslivestream;252K;traditional_chinese
@HaHaSports;https://www.youtube.com/@HaHaSports;26,1K;traditional_chinese
@user-fo7zm3ub3w;https://www.youtube.com/@user-fo7zm3ub3w;28,1K;traditional_chinese
@ducksports6662;https://www.youtube.com/@ducksports6662;28,6K;traditional_chinese
@ducksports6662;https://www.youtube.com/@ducksports6662;28,6K;traditional_chinese
@Vtuber8U;https://www.youtube.com/@Vtuber8U;3,06K;traditional_chinese
@sportingdegijon;https://www.youtube.com/@sportingdegijon;30,2K;traditional_chinese
@user-SnookerCluster;https://www.youtube.com/@user-SnookerCluster;33K;traditional_chinese
@isportsyt;https://www.youtube.com/@isportsyt;35K;traditional_chinese
@isportsyt;https://www.youtube.com/@isportsyt;35K;traditional_chinese
@water8338;https://www.youtube.com/@water8338;36,3K;traditional_chinese
@GetWinSport;https://www.youtube.com/@GetWinSport;39,1K;traditional_chinese
@vlsports;https://www.youtube.com/@vlsports;428K;traditional_chinese
@chinasport;https://www.youtube.com/@chinasport;43,7K;traditional_chinese
@SportsInsights000;https://www.youtube.com/@SportsInsights000;47,8K;traditional_chinese
@sanlorenzo;https://www.youtube.com/@sanlorenzo;48,7K;traditional_chinese
@darksports;https://www.youtube.com/@darksports;5,21K;traditional_chinese
@ChinaSportsLegends;https://www.youtube.com/@ChinaSportsLegends;5,31K;traditional_chinese
@jiangsports77;https://www.youtube.com/@jiangsports77;5,55K;traditional_chinese
@mplus7833;https://www.youtube.com/@mplus7833;5,84K;traditional_chinese
@willtravelforliondance;https://www.youtube.com/@willtravelforliondance;5,92K;traditional_chinese
