channel name;channel url;subscribers;language
@SporDelisiHD;https://www.youtube.com/@SporDelisiHD;1,09M;turkish
@tgrthaber;https://www.youtube.com/@tgrthaber;1,24M;turkish
@beinsportsturkiye;https://www.youtube.com/@beinsportsturkiye;1,6M;turkish
@tvfvoleyboltv;https://www.youtube.com/@tvfvoleyboltv;109K;turkish
@cataklispor4959;https://www.youtube.com/@cataklispor4959;11,2K;turkish
@ENDEXSPOR;https://www.youtube.com/@ENDEXSPOR;12,4K;turkish
@GurmeSpor;https://www.youtube.com/@GurmeSpor;152K;turkish
@SporGecesiDigital;https://www.youtube.com/@SporGecesiDigital;161K;turkish
@YeniSafakSpor;https://www.youtube.com/@YeniSafakSpor;17,1K;turkish
@IBBSporIstanbul;https://www.youtube.com/@IBBSporIstanbul;17,4K;turkish
@SkySpor_TR;https://www.youtube.com/@SkySpor_TR;182K;turkish
@fenerbahce;https://www.youtube.com/@fenerbahce;2,52M;turkish
@Galatasaray;https://www.youtube.com/@Galatasaray;2,68M;turkish
@trivelaspor2019;https://www.youtube.com/@trivelaspor2019;21,4K;turkish
@asumspor;https://www.youtube.com/@asumspor;23,1K;turkish
@NTVSpor;https://www.youtube.com/@NTVSpor;248K;turkish
@mbspor3632;https://www.youtube.com/@mbspor3632;26,1K;turkish
@VeryansnTv;https://www.youtube.com/@VeryansnTv;281K;turkish
@goztepe;https://www.youtube.com/@goztepe;32,5K;turkish
@VakfBankSK;https://www.youtube.com/@VakfBankSK;39,3K;turkish
@livespor4339;https://www.youtube.com/@livespor4339;4,95K;turkish
@trtspor;https://www.youtube.com/@trtspor;402K;turkish
@sporarena;https://www.youtube.com/@sporarena;43,7K;turkish
@SporveAkademi;https://www.youtube.com/@SporveAkademi;5,16K;turkish
@keremspor224;https://www.youtube.com/@keremspor224;5,18K;turkish
@vtrspor;https://www.youtube.com/@vtrspor;5,46K;turkish
@Ozsoytv;https://www.youtube.com/@Ozsoytv;5,51K;turkish
@SPORFIT;https://www.youtube.com/@SPORFIT;5,61K;turkish
@trtsporyildiz;https://www.youtube.com/@trtsporyildiz;612K;turkish
@L1Ucgen;https://www.youtube.com/@L1Ucgen;623K;turkish
@ASpor;https://www.youtube.com/@ASpor;637K;turkish
@TivibuSporTurkTelekom;https://www.youtube.com/@TivibuSporTurkTelekom;662K;turkish
@VOLEapp;https://www.youtube.com/@VOLEapp;675K;turkish
@LiveVoleybol;https://www.youtube.com/@LiveVoleybol;7,02K;turkish
@spor_egitim;https://www.youtube.com/@spor_egitim;8,04K;turkish
@MuhlisKoyuncu;https://www.youtube.com/@MuhlisKoyuncu;8,39K;turkish
@maysporakademisi4313;https://www.youtube.com/@maysporakademisi4313;8,5K;turkish
@1461TrabzonFK;https://www.youtube.com/@1461TrabzonFK;8,69K;turkish
@iddaabilirTV;https://www.youtube.com/@iddaabilirTV;85,9K;turkish
@PlaySpor;https://www.youtube.com/@PlaySpor;86,2K;turkish
@5OcakTV;https://www.youtube.com/@5OcakTV;9,04K;turkish
